node	Country_ACCTRAN	Country_DELTRAN	Country_DOWNPASS	Country_JOINT	Country_MAP	Country_MPPA
ROOT	Africa	Africa	Africa	Africa	Africa	Africa
node_1	Africa	Africa	Africa	Africa	Africa	Africa
node_1						WestEurope
node_2	Africa	Africa	Africa	Africa	Africa	Africa
node_3	Africa	Africa	Africa	Africa	Africa	Africa
node_3						WestEurope
node_4	Africa	Africa	Africa	Africa	Africa	Africa
node_4						WestEurope
00CZAY4286	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
node_5	Africa	Africa	Africa	Africa	Africa	Africa
97CDAF6238	Africa	Africa	Africa	Africa	Africa	Africa
94CYAF6237	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
97CDAF6240	Africa	Africa	Africa	Africa	Africa	Africa
node_6	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
node_7	Africa	Africa	Africa	Africa	Africa	Africa
node_8	Africa	Africa	Africa	Africa	Africa	Africa
03ESAY2109	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
03ESAY2098	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
85UGM62320	Africa	Africa	Africa	Africa	Africa	Africa
node_9	Africa	Africa	Africa	Africa	Africa	Africa
node_10	Africa	Africa	Africa	Africa	Africa	Africa
node_11	Africa	Africa	Africa	Africa	Africa	Africa
node_12	Africa	Africa	Africa	Africa	Africa	Africa
node_18	WestEurope	Africa	Africa	Africa	Africa	Africa
node_18			WestEurope			
node_19	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
99SEAY5206	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
node_14	Africa	Africa	Africa	Africa	Africa	Africa
node_15	Africa	Africa	Africa	Africa	Africa	Africa
node_16	Africa	Africa	Africa	Africa	Africa	Africa
00GAAJ3391	Africa	Africa	Africa	Africa	Africa	Africa
node_17	Africa	Africa	Africa	Africa	Africa	Africa
node_25	WestEurope	Africa	Africa	Greece	WestEurope	Greece
node_25			EastEurope			WestEurope
node_25			Greece			
node_25			WestEurope			
node_26	WestEurope	Africa	Africa	Africa	Africa	Africa
node_26			WestEurope			
00CZAY4248	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
node_27	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
99SDAY2494	Africa	Africa	Africa	Africa	Africa	Africa
90UGAF7846	Africa	Africa	Africa	Africa	Africa	Africa
node_28	Africa	Africa	Africa	Africa	Africa	Africa
node_21	Greece	Africa	Africa	Africa	Africa	Africa
node_21	WestEurope		Greece			
node_21			WestEurope			
node_22	Africa	Africa	Africa	Africa	Africa	Africa
00KEAF7081	Africa	Africa	Africa	Africa	Africa	Africa
node_23	Africa	Africa	Africa	Africa	Africa	Africa
98CMAJ6934	Africa	Africa	Africa	Africa	Africa	Africa
node_24	Africa	Africa	Africa	Africa	Africa	Africa
node_32	WestEurope	Greece	Greece	Greece	WestEurope	Greece
node_32		WestEurope	WestEurope			WestEurope
node_33	EastEurope	Africa	Africa	Greece	Greece	Greece
node_33	Greece		EastEurope			WestEurope
node_33			Greece			
node_33			WestEurope			
00SEAY5240	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
node_34	Africa	Africa	Africa	Africa	Africa	Africa
node_35	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
node_36	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
99UGAF4478	Africa	Africa	Africa	Africa	Africa	Africa
node_37	Africa	Africa	Africa	Africa	Africa	Africa
99ESAY7467	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
node_29	Greece	Africa	Africa	Africa	Africa	Africa
node_29			Greece			
node_29			WestEurope			
97CMAJ6931	Africa	Africa	Africa	Africa	Africa	Africa
node_30	Africa	Africa	Africa	Africa	Africa	Africa
98SDAY2482	Africa	Africa	Africa	Africa	Africa	Africa
node_40	Africa	Africa	Africa	Africa	Africa	Africa
node_41	Africa	Africa	Africa	Africa	Africa	Africa
00GAAJ3398	Africa	Africa	Africa	Africa	Africa	Africa
03ESAY2099	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
node_43	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
03ESAY2111	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
00GRAF5753	Greece	Greece	Greece	Greece	Greece	Greece
02GRAY0270	Greece	Greece	Greece	Greece	Greece	Greece
97YUAF9960	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
98CMAJ6932	Africa	Africa	Africa	Africa	Africa	Africa
node_44	Africa	Africa	Africa	Africa	Africa	Africa
00CZAY4362	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
00CZAY4336	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
00CZAY4296	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
00UAAF3968	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
97BYAF3275	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
node_54	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
00KEAF7083	Africa	Africa	Africa	Africa	Africa	Africa
node_47	Africa	Africa	Africa	Africa	Africa	Africa
node_38	Greece	Greece	Greece	Greece	Greece	Greece
node_39	Greece	Africa	Africa	Africa	Africa	Africa
node_39			Greece			
node_39			WestEurope			
97CMAJ6930	Africa	Africa	Africa	Africa	Africa	Africa
92UGAB8332	Africa	Africa	Africa	Africa	Africa	Africa
node_50	Africa	Africa	Africa	Africa	Africa	Africa
node_51	Africa	Africa	Africa	Africa	Africa	Africa
node_52	Africa	Africa	Africa	Africa	Africa	Africa
node_53	Africa	Africa	Africa	Africa	Africa	Africa
98FRAJ0552	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
97FRAJ0558	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope	WestEurope
98CMAJ6933	Africa	Africa	Africa	Africa	Africa	Africa
96CMAJ6134	Africa	Africa	Africa	Africa	Africa	Africa
02SIAJ1139	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
node_64	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope	EastEurope
00KEAF7079	Africa	Africa	Africa	Africa	Africa	Africa
node_55	Africa	Africa	Africa	Africa	Africa	Africa
02GRAY0300	Greece	Greece	Greece	Greece	Greece	Greece
02GRAY0299	Greece	Greece	Greece	Greece	Greece	Greece
node_48	Greece	Africa	Africa	Africa	Greece	Africa
node_48			Greece			Greece
node_48			WestEurope			WestEurope
node_49	Africa	Africa	Africa	Africa	Africa	Africa
node_49			WestEurope			
98UGAF4507	Africa	Africa	Africa	Africa	Africa	Africa
