parameter	value
pastml_version	1.9.50
character	Country
log_likelihood	-110.17768809695957
log_likelihood_restricted_JOINT	-114.25495474753288
log_likelihood_restricted_MAP	-114.47964823900395
log_likelihood_restricted_MPPA	-111.66204269115325
num_scenarios	96
num_states_per_node_avg	1.022950819672131
num_unresolved_nodes	6
percentage_of_unresolved_nodes	1.9672131147540983
method	MPPA
model	F81
num_nodes	305
num_tips	154
scaling_factor	3.841428255673047
state_changes_per_avg_branch	0.10670346818950707
smoothing_factor	0
Africa	0.0815898326740132
Albania	0.028330097478358976
EastEurope	0.0808892533447978
Greece	0.3652084957822459
WestEurope	0.44398232072058424
