node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
AB189123_FJ467493	0.05630264156023844	0.15536451806885065	0.04775763121847065	0.23803804442706067	0.02129397272843488	0.08480415843145941	0.16983862519114787	0.1517000028767221	0.053091389174985945	0.02180901632262946
AB189123_GQ398257	0.009222321880246985	0.03259851829926569	0.009839209886650054	0.04926619623675005	0.004372925470653547	0.018877472687272242	0.03489200447368423	0.7017307309701262	0.13472192515289566	0.004478694942455155
EF105378_FJ467493	0.18853584373260782	0.11228214189413765	0.034519091522617805	0.17204759149080912	0.015391600438392461	0.061260641026154514	0.12276141699246176	0.24219674251002715	0.03524106359409884	0.01576386679869287
AB189123_DQ181801	0.000522849707256855	0.0020999339059774324	0.0005566503430401705	0.0035835577840831337	0.00024782019253479295	0.0035475845845935683	0.0019769619803939637	0.9584904707448334	0.028720356451146286	0.00025381430614054493
AF100465_GQ398257	0.004959427660851068	0.019261908531369738	0.0054228063962621096	0.026536166232441736	0.0023685748191649906	0.01050888047254748	0.018940287254730445	0.5305542950411648	0.3790217892244534	0.002425864367014172
EF105378_EU003591	0.9995569727033452	7.367586273986608e-05	2.2650505059679095e-05	0.00011289277220336633	1.0197365938459958e-05	4.019598079568225e-05	8.055287349764644e-05	6.953597948716865e-05	2.298211232580199e-05	1.0343844607106683e-05
EF105379_FJ467493	0.0039425383523356925	0.00762353638308723	0.002343738171931377	0.011681466066347275	0.0010450422451102502	0.0041592404306649245	0.008335127231606608	0.9574207785800819	0.002378213667136573	0.0010703188716982115
AF022434_DQ181801	0.00023694685676582311	0.001319166145794506	0.00025325863124648474	0.002712392946987398	0.00011282701059215235	0.004994696883869561	0.0008999909662656038	0.9819137225084456	0.0074414420530551145	0.00011555599697774523
AB189123_JX475906	0.00038546903299754696	0.001320716249401801	0.0003951461604342714	0.0020687975791414204	0.00017614365741444889	0.0010146066368852693	0.0014049464767861078	0.9460027522772144	0.04705101782396436	0.0001804041057604568
AF100465_JQ922552	4.0650762384860394e-05	0.005533778928269595	0.0003480721756709783	0.00021759897894740334	1.945064425006407e-05	0.0025050330243216895	0.00028935236559135064	0.00164986243050074	0.9893762795862681	1.9921103795261605e-05
GQ398257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EF105378_EF457904	0.9999827832025592	2.8743550242993443e-06	8.83677190387826e-07	4.4043492446576345e-06	8.346991015322235e-07	1.5681798443317623e-06	3.142656254745848e-06	2.2095162790836e-06	8.958140450224604e-07	4.035504566894664e-07
0.993495	0.9999565782032891	7.288623360922128e-06	2.2407755178111723e-06	1.1168286670516217e-05	1.0064303195784212e-06	3.976511983475657e-06	7.96895777533353e-06	6.47597235394191e-06	2.272939893917627e-06	1.0232988356380747e-06
