node	Location
AB189123_FJ467493	Caribbean
AB189123_FJ467493	Eastern Asia
AB189123_FJ467493	Oceania
AB189123_FJ467493	South America
AB189123_FJ467493	South-eastern Asia
EF105378_FJ467493	Africa
EF105378_FJ467493	Caribbean
EF105378_FJ467493	Eastern Asia
EF105378_FJ467493	South America
EF105378_FJ467493	South-eastern Asia
AB189123_GQ398257	South-eastern Asia
EF105379_FJ467493	South-eastern Asia
EF105378_EU003591	Africa
AB189123_DQ181801	South-eastern Asia
AF100465_GQ398257	South-eastern Asia
AF100465_GQ398257	Southern Asia
EF105379	South-eastern Asia
FJ467493	South-eastern Asia
EF105384_EU003591	Africa
EF105378_EF457904	Africa
AB189123_JX475906	South-eastern Asia
AF022434_DQ181801	South-eastern Asia
AF100465_JQ922552	Southern Asia
GQ398257	South-eastern Asia
EF105384_EF105385	Africa
EF105387_EU003591	Africa
EF105389_EF457904	Africa
EF105378_EF105383	Africa
AB189123_GU131843	South-eastern Asia
AF276619_JX475906	Southern Asia
AF100466_DQ181801	South-eastern Asia
AF022434_KJ734727	South-eastern Asia
AF100465_EU056812	Caribbean
HM582107_HM582115	Oceania
JQ922550_JQ922553	Southern Asia
JQ922552	Southern Asia
EF105384	Africa
EF105385	Africa
EF105387_EF105388	Africa
EU003591	Africa
EF105389_JF260983	Africa
EF457904	Africa
EF105380_EF105383	Africa
EF105378	Africa
AB189123_GQ398263	South-eastern Asia
GQ398259_GU131843	South-eastern Asia
AF276619_FJ882602	Southern Asia
JX475906	Southern Asia
AF100466_JN819418	South-eastern Asia
AF119661_DQ181801	South-eastern Asia
AF022434_M84728	South-eastern Asia
AF204177_KJ734727	Oceania
AF204177_KJ734727	South-eastern Asia
AF100465_GQ868600	Caribbean
EU056812	Caribbean
HM582107	Oceania
HM582115	Oceania
JQ922553	Southern Asia
JQ922550	Southern Asia
EF105388	Africa
EF105387	Africa
JF260983	Europe
EF105389	Africa
EF105380	Africa
EF105383	Africa
AB189123_FJ196854	South-eastern Asia
GQ398263	South-eastern Asia
GQ398262_GU131843	South-eastern Asia
GQ398259	South-eastern Asia
FJ882602	Southern Asia
AF276619_JQ955623	Southern Asia
JQ922551	Southern Asia
AF100466_M20558	Caribbean
JN819418	South-eastern Asia
AF119661_FJ639701	South-eastern Asia
DQ181801	South-eastern Asia
AF022434_AJ487271	South-eastern Asia
M84727_M84728	South-eastern Asia
AF204177_KF704355	Oceania
KJ734727	Eastern Asia
AF100465_GQ868592	Central America
AF100465_GQ868592	South America
GQ868600	Caribbean
AB189123_JN851131	South-eastern Asia
AY037116_FJ196854	South-eastern Asia
GU131843	Africa
GQ398262	South-eastern Asia
DQ448231_JQ955623	Southern Asia
AF276619_KF041236	Southern Asia
AF100466_GQ398284	Caribbean
M20558	Caribbean
EU482449_FJ639701	South-eastern Asia
AF119661	Eastern Asia
AF022434_DQ181804	South-eastern Asia
AJ487271	South-eastern Asia
M84727	South-eastern Asia
M84728	South-eastern Asia
AF204177_M29095	Oceania
KF704355	Caribbean
AF100465_FJ898449	Central America
AF100467_GQ868592	South America
AB189123	South-eastern Asia
DQ645550_JN851131	South-eastern Asia
FJ196853_FJ196854	Eastern Asia
AY858035_JN851127	South-eastern Asia
AY037116	Oceania
DQ448231_JQ922549	Southern Asia
JQ955623	Southern Asia
AF276619	Eastern Asia
KF041236	Southern Asia
AF100466_GQ868603	Caribbean
EU482572_GQ398284	Caribbean
AF208496_JN819419	Caribbean
FJ639697_FJ639701	South-eastern Asia
EU482449_FM210227	South-eastern Asia
FM210208_FM210222	South-eastern Asia
DQ181804	South-eastern Asia
AF022434_EU726767	South-eastern Asia
DQ181805	South-eastern Asia
AF204177	Eastern Asia
M29095	Oceania
AF204178	Eastern Asia
AF100469_FJ898449	Central America
AF100465	South America
AF100467_AF100468	South America
GQ868592	South America
DQ645550_FJ196852	Eastern Asia
JN851131	South-eastern Asia
FJ196854	Eastern Asia
FJ196853	Eastern Asia
AY858036_JN851127	South-eastern Asia
EU081180	South-eastern Asia
GU370051_JN851121	South-eastern Asia
AY858035_JX470186	South-eastern Asia
JN851128_JN851129	South-eastern Asia
DQ448231_KJ010186	Southern Asia
JQ922549	Southern Asia
AF100466_FJ898450	Caribbean
EU482561_GQ868603	Caribbean
EU529701_GQ398284	Caribbean
EU482572	Caribbean
AF208496_EU920828	Caribbean
EU482545_JN819419	Caribbean
FJ639697_JX649148	South-eastern Asia
FJ639701	South-eastern Asia
EU482449_FM210218	South-eastern Asia
FM210204_FM210227	South-eastern Asia
FM210208_FM210243	South-eastern Asia
FM210213_FM210222	South-eastern Asia
