node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
AF100461_EU003591	0.09925168981709583	0.06283320002773204	0.05515430073513504	0.17229858277968968	0.02510027376397502	0.10125254144522008	0.20476539984084965	0.1738918560332607	0.08039682910900578	0.025055326448036094
EF105378_EU003591	0.9984246779448626	0.0001230014292593084	0.00010814574021333544	0.00033767552134785444	4.938349127234591e-05	0.00019737926508851174	0.00040178312316672987	0.00019031194852012112	0.00011836828890452356	4.9273247364725566e-05
AF100461_GQ398257.2	0.01549539521067031	0.017588610885955137	0.014751808203459834	0.046726519437734745	0.006147021435434806	0.03158185506816669	0.0536682922847813	0.6334069305594326	0.1744975528014842	0.006136014112880338
0.645	0.9998954362010317	8.173579934192031e-06	7.186539624942458e-06	2.2439207713027374e-05	3.309164437974029e-06	1.3115425372394776e-05	2.669965459624613e-05	1.2530282002780489e-05	7.835509599965564e-06	3.274435686841912e-06
EF105387_EU003591	0.9999939469650396	4.748290927679379e-07	4.1750733243286146e-07	1.3036050582901048e-06	1.90603338413683e-07	7.618291902894545e-07	1.551165759556822e-06	7.121578083733492e-07	4.5109139895087446e-07	1.9024598129023995e-07
AF100461_JX475906.1	0.003319164390839675	0.006717482489950844	0.0013824168979006443	0.014865622905530479	0.00060579777971872	0.010844017900612965	0.0050883617010827895	0.9076671766608115	0.048905246279470106	0.0006047129940822147
AF100465_GQ398257.2	0.007083762181161051	0.008187791109498485	0.010740788012696623	0.022215222769022516	0.0031322973794323345	0.02302575384214763	0.03646735837127585	0.47422009462437265	0.4118002432491116	0.0031266884612813003
EF105378_EF457904.2	0.9999834165142735	1.2602443338761974e-06	1.1081195687740692e-06	3.45992778114822e-06	1.0378399353070198e-06	2.021910429948361e-06	4.117019381032447e-06	1.879102344323457e-06	1.1943733531149823e-06	5.049485989640567e-07
EF105385_EF105385.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU003591	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105387	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF100461_JX649148	0.001602470254961885	0.00944932090504315	0.0008603952284572059	0.013806424802381345	0.00038296941224011974	0.014584633021355058	0.0031797277253491794	0.936447772245922	0.019304002764639543	0.0003822836396505509
AY037116_JX475906.1	0.010477183753322778	0.002110454196006195	0.0011047120866688382	0.024264079568060686	0.0005001060773230714	0.003956711947294877	0.004096436067728139	0.8730765362225162	0.07991456952921265	0.0004992105518665335
GQ398257_GQ398257.2	5.1077923003440535e-09	5.957225038673098e-09	5.6004395921501305e-09	1.6328251063176693e-08	2.375433638628468e-09	1.0569326524547068e-08	2.0455713220835752e-08	0.9999998842563952	4.697824335397486e-08	2.3711800189856534e-09
AF100465_JQ922552	0.0017250512206438454	0.002005261192722536	0.010445279648322536	0.005475814926359875	0.0007876498783755894	0.024979463951872748	0.031078968545939455	0.05467187362649669	0.8680443975529498	0.0007862394563169632
EF105389_EF457904.2	0.9998766258368748	2.2801050085221958e-06	2.004878731936851e-06	6.25991019548902e-06	9.525494835890522e-05	3.658123971278164e-06	7.4487773485634905e-06	3.3943208193866876e-06	2.1595090640306885e-06	9.135896272399493e-07
EF105378_EF105383.3	0.9999936121506666	5.012543478016648e-07	4.4074905330154217e-07	1.376167792832574e-06	2.061429210928166e-07	8.041957753672499e-07	1.637526216397748e-06	7.462229948480954e-07	4.7474829771584443e-07	2.0084193400167508e-07
EF105385.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105385	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF100466_JX649148	0.001200910177415795	0.09564135328125736	0.001137857791745982	0.004906974528036788	0.0005181665062713489	0.0036613805689443032	0.00424808104119887	0.8847037863320714	0.0034642511323605394	0.000517238640697548
AF100461_KJ734727.1	0.0013324122357921738	0.005316945256089237	0.000978654302159813	0.02225516857485109	0.0004418919700829421	0.03108509802588538	0.0036276219196930692	0.9243466087853042	0.010174498243267683	0.00044110068687438543
