node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
root	0.07403319309587615	0.12987608066851816	0.041105582377784174	0.20688574260277973	0.018418798764476132	0.07477255911319534	0.1438302441863983	0.2392848726887599	0.05341240337738583	0.018380523124826312
n0	0.22572237244222562	0.09005582802855848	0.028758376395639412	0.14488609637955296	0.012900518489584826	0.05193051921421551	0.10072630356489977	0.30172392234483464	0.030422353708528596	0.012873709431960315
n12	0.008992136814144736	0.04017511221141034	0.009125458640066668	0.043904725648996265	0.0038880788735784007	0.021959912115063464	0.030534553627914626	0.7282166297841358	0.10932339309826664	0.0038799991864230253
n1	0.004856522421462306	0.00632883210034938	0.002024187845197089	0.010199712479306395	0.0009081904710826309	0.0036505327228158703	0.007090935176740499	0.9619780277418768	0.0020567558633884215	0.0009063031777806509
n2	0.9989760822590542	0.00015820510860143895	5.060096691262227e-05	0.0002549747406334279	2.2707860952014702e-05	9.125468611023848e-05	0.000177260812036241	0.00019487714223518458	5.1380442422195544e-05	2.265598104231023e-05
n13	0.00042349425131264605	0.0018398618497179173	0.000440275418559373	0.0026842624271867684	0.0001928353880070813	0.003398493134979619	0.001509657054914282	0.9676913751058991	0.02162731070609584	0.0001924346633273244
n340	0.005104686869609729	0.056733084216626595	0.006706281231530808	0.026666084206251717	0.0023701951321286143	0.02554373514731861	0.019055202631428417	0.5764775400336404	0.27897792082109657	0.002365269710368632
FJ467493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EF105379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n3	0.9999590927492764	6.432901935803417e-06	2.057699568625835e-06	1.0368701580427042e-05	9.292286327143479e-07	3.7106350204518604e-06	7.2084172706976016e-06	7.193623828135774e-06	2.0847227656954657e-06	9.213201208047301e-07
n10	0.9999993215702915	1.1251628955814875e-07	3.599948755255787e-08	1.8140549902768597e-07	1.6153112355912728e-08	6.4904654866496e-08	1.2611475401787403e-07	8.898040254086881e-08	3.623651313436203e-08	1.6118995482457674e-08
n14	0.00017273669070718353	0.0009633326402769407	0.00018205832687487848	0.0018445082686068235	8.060074215631208e-05	0.004634005355597077	0.0006302429971531353	0.9863409810124623	0.00507110071765911	8.043324850595241e-05
n298	0.00033790714744890083	0.0011492459010511462	0.000348276821841556	0.001816343979503053	0.00015565162039117572	0.0009691954679200755	0.001215814940763334	0.9555226479884955	0.03832958796648098	0.0001553281661039645
n341	0.0022384435563214296	0.11484082303237292	0.006175184912255755	0.011943959610614069	0.001062803039560656	0.04606287785958786	0.009766819413064775	0.09995143064298857	0.7068970634682269	0.001060594465007043
GQ398257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n4	0.9999969041963989	5.205578714795138e-07	1.6656223103081498e-07	8.393316537419318e-07	7.474066184556796e-08	3.0028543487884386e-07	5.835109733039076e-07	3.6884995960496976e-07	1.673849719975921e-07	7.457984311745771e-08
n5	0.9999921060087763	1.2914555277849011e-06	4.1322306494033144e-07	2.082290703602949e-06	3.8934628841429526e-07	7.449794089818674e-07	1.4476273779639432e-06	9.247185321864617e-07	4.1532583956648345e-07	1.8502448031220268e-07
n11	0.9999999329213511	1.1274552668052418e-08	3.6074974336704937e-09	1.817870804546484e-08	1.6186595867259698e-09	6.503758772549376e-09	1.2638002623955367e-08	8.016682953450272e-09	3.6254953587494737e-09	1.6152913527444524e-09
EU003591	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n15	3.342931492349565e-05	0.004284296822465978	3.58167913235531e-05	0.00022431507658971867	1.6056940110080674e-05	0.00011912035008328709	0.00012538027027387709	0.9950476440893895	9.791677210523915e-05	1.602357273527461e-05
n190	0.00037106741482500653	0.0015360710800374638	0.0003964191764820451	0.006136145198319729	0.00017732988429322488	0.01858707725880221	0.0013850063621146642	0.9684067191396613	0.002827203104310873	0.00017696138115362456
n299	3.572803317891109e-05	4.977154765306753e-05	1.544943005157902e-05	7.991812419994329e-05	6.916926564887081e-06	3.6246094608526415e-05	5.4018407164294675e-05	0.9987699857997043	0.0009450630841369888	6.902552737577882e-06
n325	1.3384306497249246e-05	4.4883725313896695e-05	1.4343437934273365e-05	7.23814329486813e-05	6.435217710070001e-06	2.6174795547625647e-05	5.0244855603712536e-05	0.0009152679579546006	0.9988504624255843	6.421844905652358e-06
n342	6.413102491091735e-05	0.00238953188274162	0.00014525009280306233	0.00034349527309034854	3.057102690020972e-05	0.0009695119334038877	0.00026844551877648983	0.002069240032349515	0.9936893157167253	3.050749829867565e-05
n344	0.0023281337807346146	0.5558211594476375	0.021913174456862347	0.012552030324504991	0.0011175039339013902	0.2162482874694433	0.01621940782001197	0.02500200351518667	0.1476831175643026	0.0011151816874146335
EF105385	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105384	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n6	0.9999369902529529	2.323236426413734e-06	7.433655451680308e-07	3.7459300841687292e-06	4.9537693378726895e-05	1.3401670335864727e-06	2.604204539247822e-06	1.635332697711065e-06	7.469681172568963e-07	3.328492248332866e-07
n8	0.9999975377204243	4.141740481131663e-07	1.32523182332664e-07	6.678041146400199e-07	6.049558899596499e-08	2.3891773929561394e-07	4.6426347202442647e-07	2.915970688411118e-07	1.3316580540531752e-07	5.933855587415218e-08
EF105388	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105387	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n16	0.00011849567740792086	0.09106924591828754	0.00012709674387059998	0.000647547421839002	5.7025094341586596e-05	0.00023795621268284984	0.00044524579493980234	0.9071027533480853	0.0001377271960894793	5.6906592455944994e-05
n167	3.4086057828632607e-06	0.00020161351009576913	3.6543481414487203e-06	8.844933646013591e-05	1.6390496724786963e-06	9.074730985619743e-06	1.2797794061618743e-05	0.9996712320749952	6.494906185099962e-06	1.6356436197617433e-06
n191	0.0036698640006571363	0.014396602454590813	0.003935602404951911	0.09804617270382701	0.001765589377421684	0.3386425641690479	0.013785468655510601	0.5187609990132777	0.005235216853808291	0.0017619203669068464
n195	1.5909816708105654e-05	5.6497514852244786e-05	1.7048170957075326e-05	0.00013071302159729496	7.643532294091096e-06	0.0002242260491979194	5.9683573975709075e-05	0.9994372244280466	4.3426243838334514e-05	7.627648532620069e-06
n300	4.986756210741757e-06	1.3822545844073238e-05	4.403115599358239e-06	2.6135900161505048e-05	1.975018843029627e-06	8.507640362517854e-06	1.54209272728386e-05	0.9998799143604425	4.2862820639080945e-05	1.9709146243443707e-06
n323	0.00029742852444047637	1.7526784194966194e-05	5.595511376940535e-06	2.825101407350076e-05	2.510264637521709e-06	1.0308768319595388e-05	1.9599780144675176e-05	0.9995861794213995	3.009488327010851e-05	2.5050481429802205e-06
