node	American	AsianAmerican	AsianI	AsianII	Cosmopolitan	Sylvatic
root	0.24213502810949877	0.05533301939726637	0.039119326709512195	0.0586200363748869	0.0836824429768399	0.5211101464319959
n0	0.008676582148123651	0.0024154241481571	0.0017241477962324776	0.0022165450380863994	0.003005763183341251	0.9819615376860592
n12	0.511808040983037	0.08044213078301518	0.055478979059342966	0.11411805866996329	0.17628147877780528	0.06187131172683633
n1	6.838349223222121e-05	2.4292062651661122e-05	1.7504296123015717e-05	1.8878168038182908e-05	2.3776012344576168e-05	0.9998471659686103
n2	4.462830787371126e-06	1.593928970935565e-06	1.148758711938962e-06	1.2343247971570095e-06	1.5518069051389675e-06	0.9999900083498274
n13	0.16684928369950147	0.1486709071811311	0.10205113768287939	0.22094859832555427	0.34477512643076424	0.016704946680169436
n340	0.9914020232033847	0.0014691402127056331	0.001019032023109536	0.0019637302131507496	0.002991805460469361	0.0011542688871800173
FJ467493	0.0	0.0	0.0	0.0	0.0	1.0
EF105379	0.0	0.0	0.0	0.0	0.0	1.0
n3	1.8081030889745035e-07	7.874743695348924e-08	5.709957417424749e-08	5.3806741057513524e-08	6.310406576670813e-08	0.999999566431873
n10	9.785244196274405e-09	4.733450424800111e-09	3.441648448574312e-09	3.0384122460255187e-09	3.4228774801669743e-09	0.9999999755783673
n14	0.1190495769091276	0.21378261901261036	0.14663695644788466	0.3199645104700798	0.19043300556632145	0.010133331593976008
n298	0.0002521798038870578	0.00021583111389312864	0.0001485902726752029	0.00031164948705728144	0.9990387480421086	3.3001280378706456e-05
n341	0.9999684816597979	5.5528797252790515e-06	3.869479486823111e-06	7.0514046412924925e-06	1.0607006015425776e-05	4.437570333327315e-06
GQ398257	1.0	0.0	0.0	0.0	0.0	0.0
n4	5.4600128509488604e-08	2.664432910598455e-08	1.937703297617196e-08	1.7016166769437326e-08	1.9102942326762028e-08	0.9999998632594003
n5	1.2836360108703918e-07	6.262225458514652e-08	4.554158448813571e-08	3.999979669211344e-08	4.491026734679602e-08	0.9999996785624958
n11	1.2696863560670394e-09	6.195199108268945e-10	4.5054323574447156e-10	3.9567860322096794e-10	4.4422383029081726e-10	0.9999999968203481
EU003591	0.0	0.0	0.0	0.0	0.0	1.0
n15	0.07283742067884037	0.9240955327578427	0.0006772815133479111	0.0014321398065581885	0.0008685948923174482	8.903035109346611e-05
n190	0.04872102935709397	0.08511343388498734	0.245921955913539	0.5397663329017754	0.0756628924873795	0.004814355455224758
n299	1.1121228872312891e-06	9.255283594669297e-07	6.38539605713836e-07	1.3083116007201755e-06	0.9999958469854853	1.6851206165082293e-07
n325	1.3223946391401717e-07	9.82619571592654e-08	6.841706467956309e-08	1.2594167550452683e-07	0.9999995448011735	3.033866530018767e-08
n342	0.9999987549771037	2.6379977515168046e-07	1.8842970942008102e-07	2.3943321273363257e-07	3.23271567529111e-07	2.3008863160017144e-07
n344	0.9999985228614883	3.582146511949621e-07	2.597639324405852e-07	2.4427675120884146e-07	2.8613756571160853e-07	3.2874561119402496e-07
EF105385	0.0	0.0	0.0	0.0	0.0	1.0
EF105384	0.0	0.0	0.0	0.0	0.0	1.0
n6	3.528255930536343e-08	1.722091039237333e-08	1.252393138849968e-08	1.0996735709828265e-08	1.234436139473055e-08	0.9999999116315018
n8	4.501625239676986e-08	2.1971725535918925e-08	1.5978967324740117e-08	1.403048039847038e-08	1.5749902047200134e-08	0.9999998872526722
EF105388	0.0	0.0	0.0	0.0	0.0	1.0
EF105387	0.0	0.0	0.0	0.0	0.0	1.0
n16	9.05703518989723e-05	0.9999046409161374	1.0784086506659896e-06	1.980378928320372e-06	1.311025344389827e-06	4.189190401827432e-07
n167	0.088789391343931	0.9107175665025534	0.00010928417277857226	0.00022524032912190159	0.00013875074107645146	1.976691053843229e-05
n191	0.0010848482848728324	0.001798179230969718	0.00511424290373934	0.9902762556266202	0.0015920448634510432	0.00013442909034676946
