node	Location	genotype
root	Caribbean	American
root	Eastern Asia	Sylvatic
root	Oceania	
root	South America	
root	South-eastern Asia	
n0	Africa	Sylvatic
n0	Caribbean	
n0	Eastern Asia	
n0	South America	
n0	South-eastern Asia	
n12	South-eastern Asia	American
n12		AsianII
n12		Cosmopolitan
n1	South-eastern Asia	Sylvatic
n2	Africa	Sylvatic
n13	South-eastern Asia	American
n13		AsianAmerican
n13		AsianI
n13		AsianII
n13		Cosmopolitan
n340	South-eastern Asia	American
n340	Southern Asia	
EF105379	South-eastern Asia	Sylvatic
FJ467493	South-eastern Asia	Sylvatic
n3	Africa	Sylvatic
n7	Africa	Sylvatic
n14	South-eastern Asia	Cosmopolitan
n56	South-eastern Asia	American
n56		AsianAmerican
n56		AsianI
n56		AsianII
n56		Cosmopolitan
n341	Southern Asia	American
GQ398257	South-eastern Asia	American
n4	Africa	Sylvatic
n5	Africa	Sylvatic
n8	Africa	Sylvatic
n10	Africa	Sylvatic
n15	South-eastern Asia	Cosmopolitan
n41	Southern Asia	Cosmopolitan
n57	South-eastern Asia	AsianAmerican
n232	South-eastern Asia	AsianI
n232		AsianII
n342	Caribbean	American
n351	Oceania	American
n353	Southern Asia	American
JQ922552	Southern Asia	American
EF105384	Africa	Sylvatic
EF105385	Africa	Sylvatic
n6	Africa	Sylvatic
EU003591	Africa	Sylvatic
n9	Africa	Sylvatic
EF457904	Africa	Sylvatic
n11	Africa	Sylvatic
EF105378	Africa	Sylvatic
n16	South-eastern Asia	Cosmopolitan
n39	South-eastern Asia	Cosmopolitan
n42	Southern Asia	Cosmopolitan
JX475906	Southern Asia	Cosmopolitan
n58	South-eastern Asia	AsianAmerican
n209	South-eastern Asia	AsianAmerican
n233	South-eastern Asia	AsianI
n336	Oceania	AsianII
n336	South-eastern Asia	
n343	Caribbean	American
EU056812	Caribbean	American
HM582107	Oceania	American
HM582115	Oceania	American
JQ922553	Southern Asia	American
JQ922550	Southern Asia	American
EF105388	Africa	Sylvatic
EF105387	Africa	Sylvatic
JF260983	Europe	Sylvatic
EF105389	Africa	Sylvatic
EF105380	Africa	Sylvatic
EF105383	Africa	Sylvatic
n17	South-eastern Asia	Cosmopolitan
GQ398263	South-eastern Asia	Cosmopolitan
n40	South-eastern Asia	Cosmopolitan
GQ398259	South-eastern Asia	Cosmopolitan
FJ882602	Southern Asia	Cosmopolitan
n44	Southern Asia	Cosmopolitan
JQ922551	Southern Asia	Cosmopolitan
n59	Caribbean	AsianAmerican
JN819418	South-eastern Asia	AsianAmerican
n210	South-eastern Asia	AsianAmerican
DQ181801	South-eastern Asia	American
n234	South-eastern Asia	AsianI
n335	South-eastern Asia	AsianI
n337	Oceania	AsianII
KJ734727	Eastern Asia	AsianII
n344	Central America	American
n344	South America	
GQ868600	Caribbean	American
n18	South-eastern Asia	Cosmopolitan
n21	South-eastern Asia	Cosmopolitan
GU131843	Africa	Cosmopolitan
GQ398262	South-eastern Asia	Cosmopolitan
n45	Southern Asia	Cosmopolitan
n55	Southern Asia	Cosmopolitan
n60	Caribbean	AsianAmerican
M20558	Caribbean	AsianAmerican
n211	South-eastern Asia	AsianAmerican
AF119661	Eastern Asia	American
n235	South-eastern Asia	AsianI
AJ487271	South-eastern Asia	AsianI
M84727	South-eastern Asia	AsianI
M84728	South-eastern Asia	AsianI
n338	Oceania	AsianII
KF704355	Caribbean	AsianII
n345	Central America	American
n348	South America	American
AB189123	South-eastern Asia	Cosmopolitan
n19	South-eastern Asia	Cosmopolitan
n38	Eastern Asia	Cosmopolitan
n23	South-eastern Asia	Cosmopolitan
AY037116	Oceania	Cosmopolitan
n46	Southern Asia	Cosmopolitan
JQ955623	Southern Asia	Cosmopolitan
AF276619	Eastern Asia	Cosmopolitan
KF041236	Southern Asia	Cosmopolitan
n61	Caribbean	AsianAmerican
n113	Caribbean	AsianAmerican
n115	Caribbean	AsianAmerican
n229	South-eastern Asia	AsianAmerican
n213	South-eastern Asia	AsianAmerican
n221	South-eastern Asia	AsianAmerican
DQ181804	South-eastern Asia	AsianI
n237	South-eastern Asia	AsianI
DQ181805	South-eastern Asia	AsianI
AF204177	Eastern Asia	AsianII
M29095	Oceania	AsianII
AF204178	Eastern Asia	AsianII
n346	Central America	American
AF100465	South America	American
n349	South America	American
GQ868592	South America	American
n20	Eastern Asia	Cosmopolitan
JN851131	South-eastern Asia	Cosmopolitan
FJ196854	Eastern Asia	Cosmopolitan
FJ196853	Eastern Asia	Cosmopolitan
n24	South-eastern Asia	Cosmopolitan
EU081180	South-eastern Asia	Cosmopolitan
n31	South-eastern Asia	Cosmopolitan
n33	South-eastern Asia	Cosmopolitan
n37	South-eastern Asia	Cosmopolitan
n47	Southern Asia	Cosmopolitan
JQ922549	Southern Asia	Cosmopolitan
n62	Caribbean	AsianAmerican
n96	Caribbean	AsianAmerican
n114	Caribbean	AsianAmerican
EU482572	Caribbean	AsianAmerican
n116	Caribbean	AsianAmerican
n203	Caribbean	AsianAmerican
n230	South-eastern Asia	AsianAmerican
FJ639701	South-eastern Asia	AsianAmerican
n214	South-eastern Asia	AsianAmerican
n220	South-eastern Asia	AsianAmerican
n222	South-eastern Asia	AsianAmerican
n226	South-eastern Asia	AsianAmerican
n334	South-eastern Asia	AsianI
DQ181803	South-eastern Asia	AsianI
n250	South-eastern Asia	AsianI
n241	South-eastern Asia	AsianI
DQ181802	South-eastern Asia	AsianI
n347	Central America	American
FJ898449	Central America	American
AF100467	South America	American
AF100468	South America	American
FJ196852	Eastern Asia	Cosmopolitan
DQ645550	Eastern Asia	Cosmopolitan
n25	South-eastern Asia	Cosmopolitan
AY858036	South-eastern Asia	Cosmopolitan
GU370051	South-eastern Asia	Cosmopolitan
JN851121	South-eastern Asia	Cosmopolitan
n34	South-eastern Asia	Cosmopolitan
n35	South-eastern Asia	Cosmopolitan
JN851129	South-eastern Asia	Cosmopolitan
JN851128	South-eastern Asia	Cosmopolitan
n48	Southern Asia	Cosmopolitan
n51	Southern Asia	Cosmopolitan
n63	South America	AsianAmerican
n76	Caribbean	AsianAmerican
n97	Caribbean	AsianAmerican
GQ868603	Caribbean	AsianAmerican
GQ398284	Caribbean	AsianAmerican
EU529701	Caribbean	AsianAmerican
n117	South America	AsianAmerican
n179	Caribbean	AsianAmerican
n202	Caribbean	AsianAmerican
n204	South America	AsianAmerican
EU482545	Caribbean	AsianAmerican
n231	South-eastern Asia	AsianAmerican
JX649148	South-eastern Asia	AsianAmerican
n215	South-eastern Asia	AsianAmerican
n218	South-eastern Asia	AsianAmerican
FM210204	South-eastern Asia	AsianAmerican
FM210227	South-eastern Asia	AsianAmerican
n223	South-eastern Asia	AsianAmerican
FM210243	South-eastern Asia	AsianAmerican
n227	South-eastern Asia	AsianAmerican
FM210213	South-eastern Asia	AsianAmerican
EU726767	South-eastern Asia	AsianI
AF100462	South-eastern Asia	AsianI
GQ868542	South-eastern Asia	AsianI
DQ181799	South-eastern Asia	AsianI
n253	South-eastern Asia	AsianI
n254	South-eastern Asia	AsianI
