node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
root	0.05848610528813967	0.1535076862238886	0.047114731899156145	0.24139261604463164	0.021445809971117332	0.08647591182485936	0.1652439267221907	0.15173146226405207	0.05317733462801168	0.021424415133952792
n0	0.19848016537010837	0.10835178433295631	0.033260384327175097	0.170404182894188	0.015139869576884608	0.06101284769360034	0.11665480057574272	0.2472722567691784	0.03429895891399324	0.015124749546172801
n12	0.00880309986907141	0.03016977794271996	0.009078143141690876	0.04671745623738449	0.004121108160986242	0.01792306939695574	0.03177468695185299	0.7180629059928677	0.12923275520820332	0.004116997098267339
n1	0.003925052981735567	0.00694940062895101	0.002133256814536286	0.010929369634682879	0.0009710424701269057	0.0039130894778432014	0.007482021665741651	0.9605416163124851	0.002185076409401697	0.0009700736044956095
n2	0.999552791703744	7.367324378531874e-05	2.2615470881731945e-05	0.00011586642204391512	1.0397159513973493e-05	4.148413905272438e-05	7.93197724528355e-05	7.040485426972318e-05	2.316311302506288e-05	1.0284121230816469e-05
n13	0.0004778547057726062	0.0018599414344309926	0.0004927054101040684	0.0032124534264898496	0.00022398263529373557	0.00311204689830553	0.0017263673361675193	0.9612163314301919	0.02745455752430887	0.0002237591989350423
n340	0.004834974885484861	0.018279003431027657	0.005100183618775136	0.025750864674760638	0.0022831152513084346	0.010232271299074945	0.017663698954790138	0.5523324016360265	0.3612426485432027	0.0022808377055489513
EF105379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FJ467493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n3	0.9999565190801644	7.242106970210942e-06	2.2231102884856997e-06	1.138971662726754e-05	1.019538566089724e-06	4.077900105110911e-06	7.797167375431818e-06	6.444275731905272e-06	2.2761706615922193e-06	1.0109335094525784e-06
n7	0.9999825297828208	2.9017402562047258e-06	8.907484968892561e-07	4.563592948743447e-06	8.635501486955695e-07	1.6339125843142275e-06	3.124143661567919e-06	2.176121513029309e-06	9.113500048332203e-07	4.0505756514474603e-07
n14	0.0003681040508872946	0.001229728285708168	0.0003677438000979893	0.0019699826873090273	0.000167357709072321	0.0009496539338579473	0.0012895836991865836	0.9483551638052706	0.045135491268896974	0.0001671907597130544
n56	0.000210985271506621	0.0011552718685202848	0.000218491831612907	0.0023803923985684836	9.93845624820744e-05	0.0044093918766239665	0.0007659058571426595	0.9838844679737664	0.006776422939408501	9.928542036802363e-05
n341	4.143695472628171e-05	0.005684007882536834	0.000287038644297523	0.0002209054132028424	1.961260753959666e-05	0.0025391487476634214	0.00035895728971052177	0.0017062396515276817	0.98912305976601	1.9593042785409036e-05
GQ398257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n4	0.9999963103890941	6.355616822252247e-07	1.9509874253454392e-07	9.995539232746635e-07	8.881457287108969e-08	3.578717599754851e-07	6.842745518929342e-07	4.401648835296139e-07	1.99551889694527e-07	8.871889967023856e-08
