node	Location	genotype
root	Africa	American
root	Caribbean	Cosmopolitan
root	Central America	Sylvatic
root	Eastern Asia	
root	South America	
root	South-eastern Asia	
n0	Africa	Sylvatic
n0	Caribbean	
n0	Eastern Asia	
n0	South America	
n0	South-eastern Asia	
n13	South-eastern Asia	American
n13		AsianII
n13		Cosmopolitan
n1	Africa	Sylvatic
n10	South-eastern Asia	Sylvatic
n14	South-eastern Asia	American
n14		AsianAmerican
n14		AsianII
n14		Cosmopolitan
n343	Caribbean	American
n343	South-eastern Asia	
n343	Southern Asia	
n2	Africa	Sylvatic
n8	Africa	Sylvatic
n11	South-eastern Asia	Sylvatic
n12	South-eastern Asia	Sylvatic
n15	South-eastern Asia	Cosmopolitan
n55	South-eastern Asia	American
n55		AsianAmerican
n55		AsianI
n55		AsianII
n55		Cosmopolitan
n344	Caribbean	American
n344	Central America	
n344	South America	
n344	South-eastern Asia	
n344	Southern Asia	
n353	South-eastern Asia	American
n3	Africa	Sylvatic
n6	Africa	Sylvatic
n9	Africa	Sylvatic
EF105388	Africa	Sylvatic
EF105379	South-eastern Asia	Sylvatic
EF105379.1	South-eastern Asia	Sylvatic
FJ467493	South-eastern Asia	Sylvatic
FJ467493.1	South-eastern Asia	Sylvatic
n16	Southern Asia	Cosmopolitan
n31	South-eastern Asia	Cosmopolitan
n56	South-eastern Asia	AsianI
n56		AsianII
n167	South-eastern Asia	AsianAmerican
n345	Caribbean	American
n345	Central America	
n345	South America	
n345	Southern Asia	
JQ922553	Southern Asia	American
GQ398257	South-eastern Asia	American
GQ398257.1	South-eastern Asia	American
n4	Africa	Sylvatic
EF457904	Africa	Sylvatic
n7	Africa	Sylvatic
EF105380	Africa	Sylvatic
EF105387	Africa	Sylvatic
EU003591	Africa	Sylvatic
n17	Southern Asia	Cosmopolitan
n30	Southern Asia	Cosmopolitan
n32	South-eastern Asia	Cosmopolitan
n54	South-eastern Asia	Cosmopolitan
n57	Oceania	AsianII
n57	South-eastern Asia	
n59	South-eastern Asia	AsianI
n168	Caribbean	AsianAmerican
n320	South-eastern Asia	AsianAmerican
n346	Central America	American
n346	South America	
EU056812	Caribbean	American
n5	Africa	Sylvatic
JF260983	Europe	Sylvatic
EF105378	Africa	Sylvatic
EF105378.1	Africa	Sylvatic
n18	Southern Asia	Cosmopolitan
n22	Southern Asia	Cosmopolitan
FJ882602.1	Southern Asia	Cosmopolitan
FJ882602	Southern Asia	Cosmopolitan
n33	South-eastern Asia	Cosmopolitan
n35	South-eastern Asia	Cosmopolitan
GQ398262	South-eastern Asia	Cosmopolitan
GU131843	Africa	Cosmopolitan
n58	Oceania	AsianII
KJ734727	Eastern Asia	AsianII
n60	South-eastern Asia	AsianI
n63	South-eastern Asia	AsianI
n169	Caribbean	AsianAmerican
n170	Caribbean	AsianAmerican
n321	South-eastern Asia	AsianAmerican
DQ181801	South-eastern Asia	American
n347	Central America	American
n347	South America	
n350	South America	American
EF105389.1	Africa	Sylvatic
EF105389	Africa	Sylvatic
n19	Eastern Asia	Cosmopolitan
n20	Southern Asia	Cosmopolitan
n23	Southern Asia	Cosmopolitan
JQ955623	Southern Asia	Cosmopolitan
n34	South-eastern Asia	Cosmopolitan
GQ398263	South-eastern Asia	Cosmopolitan
n36	South-eastern Asia	Cosmopolitan
n53	South-eastern Asia	Cosmopolitan
KF704355	Caribbean	AsianII
M29095	Oceania	AsianII
n61	South-eastern Asia	AsianI
M84728	South-eastern Asia	AsianI
n64	South-eastern Asia	AsianI
AJ487271	South-eastern Asia	AsianI
M20558.1	Caribbean	AsianAmerican
M20558	Caribbean	AsianAmerican
n270	Caribbean	AsianAmerican
n172	Caribbean	AsianAmerican
n173	Caribbean	AsianAmerican
n322	South-eastern Asia	AsianAmerican
AF119661	Eastern Asia	American
n348	Central America	American
n348	South America	
FJ898449	Central America	American
n351	South America	American
GQ868592	South America	American
AF276619	Eastern Asia	Cosmopolitan
AF276619.1	Eastern Asia	Cosmopolitan
n21	Southern Asia	Cosmopolitan
KF041236.2	Southern Asia	Cosmopolitan
n24	Southern Asia	Cosmopolitan
DQ448231	Southern Asia	Cosmopolitan
GQ398263.1	South-eastern Asia	Cosmopolitan
