node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
root	0.058847923418155486	0.14444319394363223	0.061387928976720935	0.21047248255345874	0.025862477966990854	0.05123566521491656	0.20270866981677357	0.16298478445111994	0.05612526930864848	0.02593160434958334
n0	0.16079374595529933	0.11330676238058109	0.048105017095677945	0.16541908867262428	0.020327685428092244	0.0401868640624181	0.15920522645687235	0.22844232059329325	0.0438313796874486	0.0203819096676927
n13	0.014646699713803875	0.059884963057289464	0.030326134469158692	0.05641994949166347	0.006817890643072592	0.0216658634590877	0.06525061752547137	0.6958357144111985	0.04231605242292821	0.006836114806326115
n1	0.9945770317215126	0.0008281055623882296	0.00035156536404314104	0.0012090424473712343	0.0001495131444941853	0.00029370579470104516	0.0011635999290133098	0.0009581670465869998	0.00032029804057248033	0.00014897094931662014
n10	0.006358278827781697	0.01258000696095324	0.005340738274554677	0.018366934010660148	0.0022570317575312995	0.004461775333575474	0.01767660373245142	0.9258298198736308	0.004865747934718003	0.002263063294143335
n14	0.00202938108423201	0.01339741084331263	0.0026039923135049423	0.008281834713830516	0.0007755673933476109	0.018728806380945942	0.006716189340194549	0.9343288161419651	0.012360361294829593	0.0007776404938369267
n343	0.0084551166411319	0.09985415146800565	0.07179209686122852	0.03249001440769818	0.0039772488860644875	0.008949098581439953	0.08325010276885217	0.5819511749716675	0.10529311537287801	0.00398788004103374
n2	0.9998946570515269	1.5929421911071655e-05	6.762688318826462e-06	2.3257216987068668e-05	4.891829000346189e-06	5.649717362247866e-06	2.238304622363493e-05	1.7442229311260013e-05	6.1611843797269395e-06	2.8656149790541597e-06
n8	0.9999993389506325	1.0203412212040477e-07	4.331762833441563e-08	1.4897156468539135e-07	1.8352710832550867e-08	3.618862870016069e-08	1.4337213293959348e-07	1.1099246760728437e-07	3.946472815943655e-08	1.835538421992136e-08
n11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n12	1.8238353403374332e-08	4.517024096238311e-08	1.9176584105835847e-08	6.594943561125914e-08	8.10423344381333e-09	1.602061045124706e-08	6.347053846959837e-08	0.9999997382732442	1.7470864339438108e-08	8.125894990473269e-09
n15	0.0028483539666035195	0.002927084021402875	0.0009614853578631027	0.003565154249886278	0.00037670947234316537	0.0023301795219467063	0.003008851963367923	0.9485726901045144	0.035031774845554545	0.00037771649651744684
n55	0.001174729624880626	0.014218291034301623	0.001454936894562782	0.006675745695953324	0.00047716051781456615	0.02589676612762484	0.004009175437863751	0.9400558366194603	0.00555892207704751	0.0004784359704907698
n344	0.006248898129158115	0.2109299728794248	0.16572218064492114	0.02400165014608287	0.0029450030602043106	0.0061379475838190195	0.15565713123382519	0.17970370544350683	0.24570063584848356	0.0029528750305741766
n353	2.463397845863709e-05	0.00013074053432322194	8.048657336657029e-05	9.461059779654889e-05	1.1613270930008123e-05	2.388079863136798e-05	0.00013522429321400693	0.9993799453524504	0.00010722028771568712	1.1644313113499445e-05
n3	0.999802542523427	9.629241757622141e-06	4.087997126910431e-06	1.4058902262943949e-05	0.00013724072569318142	3.4152201732990595e-06	1.3530451051851725e-05	1.003831672334886e-05	3.7243678599673098e-06	1.732253923737007e-06
n6	0.9999883315470198	1.8092400295795063e-06	7.680946670803454e-07	2.641528980159526e-06	3.465893255487097e-07	6.416863660903139e-07	2.5422384913735974e-06	1.8938290490533245e-06	6.997726583340284e-07	3.254734127653962e-07
n9	0.9999999414365588	9.084836483638362e-09	3.856877311031047e-09	1.3264046501611153e-08	1.6312103075249068e-09	3.2221351618114016e-09	1.2765476940528937e-08	9.590729996820847e-09	3.5138120515595826e-09	1.6343165011339254e-09
EF105388	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EF105379.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FJ467493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FJ467493.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n16	9.679905712156714e-05	0.00023891695774336616	0.00010046481397409152	0.0006952926836674661	4.235595262775116e-05	8.917112158680102e-05	0.0003319230898999132	0.0034937599225850187	0.9948688445212522	4.247187954187665e-05
n31	0.002890748013061198	0.0006087911420370045	0.00021098093043740804	0.0011278073409540428	8.41609449214242e-05	0.00045169872974587863	0.0006690149956986572	0.9879132086203235	0.005959203362385355	8.43859204357212e-05
n56	0.0012460444960210196	0.012619335257619053	0.001466337278739844	0.010289568734812923	0.0005475379809373204	0.0557174581249273	0.0044307900280933085	0.9095799666970042	0.0035539598527963593	0.0005490015490485594
n167	0.0008540797977004646	0.08147200932413694	0.0009629628077198814	0.004616068562629508	0.00039797066201477605	0.002415488434739088	0.0031345821261852575	0.9045941731124773	0.0011536307374435074	0.00039903443495338374
n345	0.004540104781683255	0.3005807801292086	0.24132340594668766	0.017436628747526436	0.0021405349348888217	0.0043858844371808346	0.2140894655461954	0.09184372031076733	0.12151321859761412	0.0021462565682475185
JQ922553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
GQ398257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
GQ398257.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n4	0.998171128175589	7.032891732320887e-05	2.9857429206115563e-05	0.00010268175309890853	0.0013891185436014483	2.4943681192138007e-05	9.882211161111466e-05	7.32659619584487e-05	2.7201594388589976e-05	1.2651832031121572e-05
EF457904	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105380	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105387	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU003591	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n17	4.584363075194862e-06	1.1518521583667372e-05	4.856909487238956e-06	0.000507255588059436	2.049093567772108e-06	4.237675519763236e-06	1.6054938643970363e-05	0.00012351345351544775	0.9993238710711803	2.0583853673068835e-06
n30	5.422269663476918e-10	1.4132432044995732e-09	5.991891808992721e-10	2.346620327499206e-09	2.531413409597356e-10	5.048624820610365e-10	1.9827095031530577e-09	4.124996150335378e-09	0.9999999879791907	2.538202011940218e-10
n32	0.0002787736774165194	0.0001348778268512213	5.319971416912481e-05	0.0014069594193259756	2.2054922249376127e-05	0.00010361544922281299	0.0001735747971577104	0.9972630212599096	0.0005418090576164934	2.2113876081180975e-05
n54	0.0234674470250498	0.0011438973076384484	0.0004724672206368361	0.0017363678924032634	0.00019828339287776813	0.00047107891047339865	0.0015556511625520748	0.9687266190295901	0.0020293746520425936	0.0001988134067359395
n57	0.004309596733797027	0.03445897442071279	0.0048517003394376425	0.05588637530507492	0.002012052413699106	0.3817969338512993	0.015833694679098752	0.49323469485355187	0.005598546787203558	0.0020174306161250613
n59	0.00010189631696834536	0.00044840268125506184	0.0001152207030030591	0.0004975764460468536	4.7300213008853555e-05	0.001148612195014155	0.0003731983087778465	0.9970725598446979	0.00014780664504883672	4.7426646179137294e-05
n168	2.3762041921893224e-05	0.9977072701858881	2.6551042831270208e-05	9.409034625202715e-05	1.1201631602600292e-05	2.5614319885069163e-05	8.779255912384533e-05	0.0019877081688344836	2.4778130181811886e-05	1.1231573478893484e-05
n320	0.00011114640973938933	0.0064787361779595435	0.0001248291026020306	0.0024143917933923476	5.205235743404823e-05	0.00023008232260042247	0.00040904951785617275	0.9899922183131165	0.00013530251228127056	5.219149301847827e-05
n346	0.0015011821814690832	0.050182113122813024	0.48957921692014184	0.005764832310025048	0.0007080662426751232	0.0014244551128604146	0.4130473354159217	0.016831736306665436	0.02025110348913215	0.0007099588982962958
EU056812	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JF260983	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EF105378	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105378.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
