accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
KC294211	DENV2_KC294211_AsianAmerican_PE_2011	PE	DENV2	AsianAmerican	2011.0	PER	Americas	Peru	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ410228	DENV2_FJ410228_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ868592	DENV2_GQ868592_American_CO_1986	CO	DENV2	American	1986.0	COL	Americas	Colombia	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482575	DENV2_EU482575_AsianAmerican_PR_1987	PR	DENV2	AsianAmerican	1987.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FM210227	DENV2_FM210227_AsianAmerican_VN_2002	VN	DENV2	AsianAmerican	2002.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210217	DENV2_FM210217_AsianAmerican_VN_1999	VN	DENV2	AsianAmerican	1999.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ868553	DENV2_GQ868553_AsianAmerican_CO_1999	CO	DENV2	AsianAmerican	1999.0	COL	Americas	Colombia	Latin America and the Caribbean	Americas	South America	Developing	South America
KC294222	DENV2_KC294222_AsianAmerican_PE_2002	PE	DENV2	AsianAmerican	2002.0	PER	Americas	Peru	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482642	DENV2_EU482642_Asian_I_VN_2006	VN	DENV2	AsianI	2006.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ906957	DENV2_FJ906957_Asian_I_TH_1996	TH	DENV2	AsianI	1996.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ410259	DENV2_FJ410259_Asian_I_VN_2008	VN	DENV2	AsianI	2008.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482551	DENV2_EU482551_AsianAmerican_PR_2006	PR	DENV2	AsianAmerican	2006.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FJ639701	DENV2_FJ639701_AsianAmerican_KH_2002	KH	DENV2	AsianAmerican	2002.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU677148	DENV2_EU677148_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ398257	DENV2_GQ398257_American_ID_1977	ID	DENV2	American	1977.0	IDN	Asia	Indonesia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ898466	DENV2_FJ898466_AsianAmerican_VE_2000	VE	DENV2	AsianAmerican	2000.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
AF100464	DENV2_AF100464_Asian_I_TH_1996	TH	DENV2	AsianI	1996.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482552	DENV2_EU482552_AsianAmerican_PR_2006	PR	DENV2	AsianAmerican	2006.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU482721	DENV2_EU482721_AsianAmerican_PR_2006	PR	DENV2	AsianAmerican	2006.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
