	norm_rf	norm_qt
0 vs 1	0.05681818181818181	0.0014235284070179812
0 vs 2	0.04444444444444445	0.005751681506467497
0 vs 3	0.06432748538011697	0.0005428670428959078
0 vs 4	0.07303370786516854	0.00017904992405813565
1 vs 2	0.09467455621301776	0.007327213305607904
1 vs 3	0.0718562874251497	0.0008578495483606071
1 vs 4	0.09937888198757763	0.0013716940727714995
2 vs 3	0.05202312138728324	0.0035386056242962907
2 vs 4	0.05780346820809248	0.0034590346678837077
3 vs 4	0.059171597633136085	0.0003010965077947431
mean	0.06735317323621685	0.0024752620607154273
