,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
usa,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
taiwan,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
china,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
russia,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
oceania,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
south_west_asia,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
japan,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
mexico,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
south_america,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
canada,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
europe,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
south_east_asia,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
korea,-0.93,0.34,0.25,0.88,-1.05,-0.51,-0.11,-0.22,0.46,-0.32,0.11,-0.58,0.1,-0.04
