,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.53
usa,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21
taiwan,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54,629.54
china,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88,134.88
russia,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44
oceania,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
south_west_asia,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34,208.34
japan,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62,342.62
mexico,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49,52.49
south_america,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71
canada,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17
europe,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18,96.18
south_east_asia,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71,69.71
korea,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35,475.35
