,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0,80300000.0
usa,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0,295000000.0
taiwan,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0,22800000.0
china,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0
russia,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0,144000000.0
oceania,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0,24600000.0
south_west_asia,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0,1380000000.0
japan,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0
mexico,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0,103000000.0
south_america,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0
canada,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0,31600000.0
europe,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0
south_east_asia,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0,206000000.0
korea,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0,47300000.0
