,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,0.0,14975591.6910743,11127224.1479913,9588979.7869245,9421459.63883138,11209859.3583082,5749980.87021352,12787545.3224436,15360415.4162438,9272617.75517156,14751167.4584427,8081074.91336199,7748054.05508802,12038556.5001057
usa,14975591.6910743,0.0,11883076.4295818,12009543.8802516,9663127.18641709,13761208.7032373,11944566.0718502,10077728.8222873,2018845.77737956,7423637.19468393,1244226.57840707,8264595.90221267,14089225.7716086,10554395.2635625
taiwan,11127224.1479913,11883076.4295818,0.0,2203552.50885481,5323073.5968585,7091351.01355203,7465592.09755953,1845494.451823,13002069.4470944,19220252.1264554,10895187.7655137,9378808.56812639,3406765.44169465,1344808.26490739
china,9588979.7869245,12009543.8802516,2203552.50885481,0.0,3471891.60426998,8915573.19899678,5275191.70088639,3277267.48711197,13661427.3089291,17458511.303484,10820921.8880174,7394417.48711715,2152531.6124671,2511496.92576302
russia,9421459.63883138,9663127.18641709,5323073.5968585,3471891.60426998,0.0,12354632.2592561,3698889.31477751,5300441.97866519,11652933.3661488,14108651.0953249,8425068.80818915,4061041.33446403,4791662.23708641,4766629.82225279
oceania,11209859.3583082,13761208.7032373,7091351.01355203,8915573.19899678,12354632.2592561,0.0,12930758.0597169,7755894.00786961,12537919.0368471,13554292.9273723,14060249.7534356,16263028.5675235,8297587.62783209,7973820.25126716
south_west_asia,5749980.87021352,11944566.0718502,7465592.09755953,5275191.70088639,3698889.31477751,12930758.0597169,0.0,8306114.53890312,13864920.092647,12366733.199662,10882014.3753862,3791874.53299657,4831703.05573666,7592382.13865342
japan,12787545.3224436,10077728.8222873,1845494.451823,3277267.48711197,5300441.97866519,7755894.00786961,8306114.53890312,0.0,11160523.2386645,17501363.3054111,9151800.81686538,9208618.94711061,5055175.76115217,765957.680487716
mexico,15360415.4162438,2018845.77737956,13002069.4470944,13661427.3089291,11652933.3661488,12537919.0368471,13864920.092647,11160523.2386645,0.0,6444871.9609359,3235115.1497254,10102879.7194424,15811665.5620963,11776436.330408
south_america,9272617.75517156,7423637.19468393,19220252.1264554,17458511.303484,14108651.0953249,13554292.9273723,12366733.199662,17501363.3054111,6444871.9609359,0.0,8370660.79285484,10093464.5453444,16822791.2517747,17897350.4235795
canada,14751167.4584427,1244226.57840707,10895187.7655137,10820921.8880174,8425068.80818915,14060249.7534356,10882014.3753862,9151800.81686538,3235115.1497254,8370660.79285484,0.0,7334884.39982686,12868993.02623,9551306.66029336
europe,8081074.91336199,8264595.90221267,9378808.56812639,7394417.48711715,4061041.33446403,16263028.5675235,3791874.53299657,9208618.94711061,10102879.7194424,10093464.5453444,7334884.39982686,0.0,8019697.53431729,8770358.58486193
south_east_asia,7748054.05508802,14089225.7716086,3406765.44169465,2152531.6124671,4791662.23708641,8297587.62783209,4831703.05573666,5055175.76115217,15811665.5620963,16822791.2517747,12868993.02623,8019697.53431729,0.0,4328308.88143139
korea,12038556.5001057,10554395.2635625,1344808.26490739,2511496.92576302,4766629.82225279,7973820.25126716,7592382.13865342,765957.680487716,11776436.330408,17897350.4235795,9551306.66029336,8770358.58486193,4328308.88143139,0.0
