,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
usa,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
taiwan,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
china,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
russia,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
oceania,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
south_west_asia,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
japan,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
mexico,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
south_america,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
canada,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
europe,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
south_east_asia,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
korea,44.53,32.21,629.54,134.88,8.44,3.06,208.34,342.62,52.49,20.71,3.17,96.18,69.71,475.35
