,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
usa,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
taiwan,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
china,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
russia,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
oceania,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
south_west_asia,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
japan,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
mexico,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
south_america,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
canada,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
europe,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
south_east_asia,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
korea,23.0,318.0,17.0,122.0,17.0,225.0,26.0,327.0,12.0,101.0,24.0,85.0,175.0,46.0
