,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
usa,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
taiwan,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
china,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
russia,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
oceania,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
south_west_asia,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
japan,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
mexico,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
south_america,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
canada,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
europe,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
south_east_asia,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
korea,25300000.0,251000000.0,13200000.0,162000000.0,86800000.0,22700000.0,188000000.0,95700000.0,58400000.0,135000000.0,26000000.0,264000000.0,81100000.0,39200000.0
