	norm_rf	norm_qt
0 vs 1	0.7491749174917491	0.428321022450437
0 vs 2	0.7524752475247525	0.44237466151941013
0 vs 3	0.7428492849284929	0.436241754622919
0 vs 4	0.7425742574257426	0.47662777640624887
1 vs 2	0.7533003300330033	0.43565393322121193
1 vs 3	0.7477997799779978	0.3933887658347764
1 vs 4	0.7365236523652365	0.4355934032462415
2 vs 3	0.746974697469747	0.4151969223606679
2 vs 4	0.7422992299229924	0.479420163569033
3 vs 4	0.7472497249724972	0.4261457530445713
mean	0.7461221122112212	0.4368964156275517
