	norm_rf	norm_qt
0 vs 1	0.6292629262926293	0.46418300852477323
0 vs 2	0.6347634763476347	0.47084039745164463
0 vs 3	0.6333883388338833	0.4491411481294282
0 vs 4	0.6155115511551155	0.42296141881187954
1 vs 2	0.6512651265126512	0.3542141483976995
1 vs 3	0.643014301430143	0.3463178110566022
1 vs 4	0.6526402640264026	0.43727451569609904
2 vs 3	0.6306380638063807	0.3836341906152291
2 vs 4	0.6504400440044005	0.4173665728752548
3 vs 4	0.6394389438943895	0.4306606174545296
mean	0.6380363036303631	0.41765938290131394
