	norm_rf	norm_qt
0 vs 1	0.6830811554332875	0.4369903968895958
0 vs 2	0.6814305364511691	0.45030943890210207
0 vs 3	0.6819807427785419	0.4297901742610042
0 vs 4	0.6781292984869326	0.40847626929447856
1 vs 2	0.6693259972489684	0.4692368667921235
1 vs 3	0.6646492434662998	0.44076184544370783
1 vs 4	0.6671251719394773	0.3999054306435213
2 vs 3	0.6753782668500687	0.48637131500533975
2 vs 4	0.6767537826685007	0.4333866897051049
3 vs 4	0.6602475928473177	0.4685263160168789
mean	0.6738101788170564	0.4423754742953857
