node	Loc	RTM184V
ROOT	Central Africa	sensitive
node_0	Central Africa	sensitive
node_3616	Central Africa	sensitive
GQ400615	Europe	sensitive
KM050570	Central Africa	sensitive
node_4	Central Africa	sensitive
node_3615	Central Africa	sensitive
AY253307	East Africa	sensitive
node_3	Central Africa	sensitive
node_22	Central Africa	sensitive
node_3614	Central Africa	sensitive
EU248524	Europe	sensitive
node_2	Central Africa	sensitive
GU199527	Southern Africa ex SA	sensitive
node_21	Central Africa	sensitive
node_27	Central Africa	sensitive
node_3613	Central Africa	sensitive
MF373128	Europe	sensitive
node_1	Central Africa	sensitive
KM050580	Central Africa	sensitive
node_20	Central Africa	sensitive
node_25	Central Africa	sensitive
node_26	Central Africa	sensitive
node_33	Central Africa	sensitive
node_3612	Central Africa	sensitive
AM041002	Central Africa	sensitive
FR666658	Central Africa	sensitive
node_19	Central Africa	sensitive
KM050502	Central Africa	sensitive
HM119839	Central Africa	sensitive
node_24	Central Africa	sensitive
HM119789	Central Africa	sensitive
KM050514	Central Africa	sensitive
node_29	Central Africa	sensitive
node_32	Central Africa	sensitive
node_36	Central Africa	sensitive
node_3611	Central Africa	sensitive
node_9	Central Africa	sensitive
node_18	Central Africa	sensitive
FJ445732	Southern Africa ex SA	sensitive
node_23	Central Africa	sensitive
HM119972	Central Africa	sensitive
node_28	South Africa	sensitive
node_30	Central Africa	sensitive
node_31	Central Africa	sensitive
node_34	Central Africa	sensitive
node_35	Central Africa	sensitive
node_69	Central Africa	sensitive
node_3610	Central Africa	sensitive
node_8	Central Africa	sensitive
KM050754	Central Africa	sensitive
node_16	Central Africa	sensitive
node_17	Central Africa	sensitive
HM120027	Central Africa	sensitive
KM050069	Central Africa	sensitive
AY136971	South Africa	sensitive
AY136970	South Africa	sensitive
EF602585	Southern Africa ex SA	sensitive
KM050679	Central Africa	sensitive
GQ433870	Central Africa	sensitive
KM050228	Central Africa	sensitive
AJ578177	Europe	sensitive
KM050663	Central Africa	sensitive
AY734551	East Africa	sensitive
HM119797	Central Africa	sensitive
node_65	Central Africa	sensitive
node_68	Central Africa	sensitive
node_70	Central Africa	sensitive
node_3609	Central Africa	sensitive
HM119675	Central Africa	sensitive
node_7	Central Africa	sensitive
node_14	West Africa	sensitive
node_15	Central Africa	sensitive
GQ433821	Central Africa	sensitive
KM050083	Central Africa	sensitive
node_55	Central Africa	sensitive
node_64	Central Africa	sensitive
node_66	Central Africa	sensitive
node_67	Central Africa	sensitive
node_67	South Africa	
HM119774	Central Africa	sensitive
HM119741	Central Africa	sensitive
node_125	Central Africa	sensitive
node_3608	Central Africa	sensitive
node_5	Central Africa	sensitive
node_6	Central Africa	sensitive
node_12	West Africa	sensitive
node_13	West Africa	sensitive
AY032091	North America	sensitive
KM050311	Central Africa	sensitive
node_40	Central Africa	sensitive
node_54	Central Africa	sensitive
node_60	Central Africa	sensitive
node_63	Central Africa	sensitive
HM119802	Central Africa	sensitive
HM119620	Central Africa	sensitive
EF602177	South Africa	sensitive
DQ164118	South Africa	sensitive
node_105	Central Africa	sensitive
node_124	Central Africa	sensitive
node_131	Central Africa	sensitive
node_3607	Central Africa	sensitive
AY165209	Europe	sensitive
HM119976	Central Africa	sensitive
HM120045	Central Africa	sensitive
HM119844	Central Africa	sensitive
node_10	Europe	sensitive
node_11	West Africa	sensitive
AY140617	West Africa	sensitive
AJ583739	West Africa	sensitive
HM119763	Central Africa	sensitive
node_39	Central Africa	sensitive
node_41	Central Africa	sensitive
node_53	Central Africa	sensitive
node_59	Central Africa	sensitive
HM119727	Central Africa	sensitive
node_61	Central Africa	sensitive
node_62	Central Africa	sensitive
node_103	Central Africa	sensitive
node_103	South Africa	
node_103	Southern Africa ex SA	
node_104	Central Africa	sensitive
node_118	Central Africa	sensitive
node_123	Central Africa	sensitive
node_130	Central Africa	sensitive
HM119877	Central Africa	sensitive
node_132	Central Africa	sensitive
node_3606	Central Africa	sensitive
EU255374	Europe	sensitive
GQ241127	Europe	sensitive
GQ241073	Europe	sensitive
FN557338	West Africa	sensitive
node_37	Central Africa	sensitive
node_38	Central Africa	sensitive
AY589870	South Africa	sensitive
HM120034	Central Africa	sensitive
node_44	Central Africa	sensitive
node_52	Central Africa	sensitive
AY756867	Southern Africa ex SA	sensitive
node_58	Europe	sensitive
KX907390	East Africa	sensitive
EF602241	South Africa	sensitive
DQ164129	South Africa	sensitive
GQ433880	Central Africa	sensitive
node_101	South Africa	sensitive
node_101	Southern Africa ex SA	
node_102	South Africa	sensitive
HM572406	East Africa	sensitive
HM120073	Central Africa	sensitive
node_110	Central Africa	sensitive
node_117	Central Africa	sensitive
node_122	Central Africa	sensitive
GQ427126	Central Africa	sensitive
node_127	Central Africa	sensitive
node_129	South Africa	sensitive
HM120010	Central Africa	sensitive
HM119781	Central Africa	sensitive
node_135	Central Africa	sensitive
node_3605	Central Africa	sensitive
AM260225	East Africa	sensitive
HM119662	Central Africa	sensitive
HM119635	Central Africa	sensitive
HM119607	Central Africa	sensitive
node_42	Southern Africa ex SA	sensitive
node_43	Central Africa	sensitive
node_47	Central Africa	sensitive
node_51	Central Africa	sensitive
AJ287041	Europe	sensitive
node_57	Europe	sensitive
node_100	Southern Africa ex SA	sensitive
KC156116	South Africa	sensitive
AY878060	South Africa	sensitive
GQ999976	South Africa	sensitive
node_109	Central Africa	sensitive
HM119809	Central Africa	sensitive
node_111	Central Africa	sensitive
node_116	Asia	sensitive
node_121	Central Africa	sensitive
GQ427114	Central Africa	sensitive
node_126	Central Africa	sensitive
node_126	South Africa	
GQ427136	Central Africa	sensitive
EF602237	South Africa	sensitive
node_128	South Africa	sensitive
HM120043	Central Africa	sensitive
node_134	Central Africa	sensitive
node_159	Central Africa	sensitive
node_3604	Central Africa	sensitive
AY829282	Southern Africa ex SA	sensitive
AM071444	Southern Africa ex SA	sensitive
GQ433878	Central Africa	sensitive
KM050510	Central Africa	sensitive
HM119715	Central Africa	sensitive
node_46	Central Africa	sensitive
node_50	Central Africa	sensitive
AF286224	Central Africa	sensitive
EU673406	Europe	sensitive
node_56	Europe	sensitive
AY829305	Southern Africa ex SA	sensitive
node_99	Southern Africa ex SA	sensitive
node_108	Central Africa	sensitive
HM119746	Central Africa	sensitive
AF361875	East Africa	sensitive
GQ400682	Europe	sensitive
node_113	Asia	sensitive
node_115	Asia	sensitive
node_120	Central Africa	sensitive
HM120044	Central Africa	sensitive
EF602213	South Africa	sensitive
EF602209	South Africa	sensitive
AM071428	Southern Africa ex SA	sensitive
GU253405	South Africa	sensitive
HM120032	Central Africa	sensitive
node_133	Central Africa	sensitive
node_157	Central Africa	sensitive
node_158	South Africa	sensitive
node_175	Central Africa	sensitive
node_3603	Central Africa	sensitive
node_45	Central Africa	sensitive
KM050572	Central Africa	sensitive
node_49	Central Africa	sensitive
KM050003	Central Africa	sensitive
EU673407	Europe	sensitive
FJ388952	Europe	sensitive
node_71	Southern Africa ex SA	sensitive
node_98	Southern Africa ex SA	sensitive
node_107	Central Africa	sensitive
HM119667	Central Africa	sensitive
HM572407	East Africa	sensitive
node_112	Asia	sensitive
node_114	Asia	sensitive
AY787536	Asia	sensitive
GQ427132	Central Africa	sensitive
node_119	Europe	sensitive
GQ433881	Central Africa	sensitive
GQ433830	Central Africa	sensitive
node_139	Central Africa	sensitive
node_156	Central Africa	sensitive
EU244678	South Africa	sensitive
EF602182	South Africa	sensitive
node_172	Central Africa	sensitive
node_174	Central Africa	sensitive
node_232	Central Africa	sensitive
node_3602	Central Africa	sensitive
DQ878365	Europe	sensitive
HM120091	Central Africa	sensitive
HM119822	Central Africa	sensitive
node_48	Central Africa	sensitive
AF443078	Southern Africa ex SA	sensitive
DQ011167	South Africa	sensitive
AY829337	Southern Africa ex SA	sensitive
node_97	Southern Africa ex SA	sensitive
HM119815	Central Africa	sensitive
node_106	Central Africa	sensitive
EU447779	Asia	sensitive
KX069220	Asia	sensitive
HM119608	Central Africa	sensitive
HQ456682	Asia	sensitive
HM191548	Europe	sensitive
HM191547	Europe	resistant
node_137	Central Africa	sensitive
node_137	South Africa	
node_138	Central Africa	sensitive
node_150	Central Africa	sensitive
node_155	Central Africa	sensitive
node_161	Central Africa	sensitive
node_171	Central Africa	sensitive
HM119659	Central Africa	sensitive
node_173	Central Africa	sensitive
node_227	Central Africa	sensitive
node_231	Central Africa	sensitive
node_239	Central Africa	sensitive
node_3601	Central Africa	sensitive
KM050577	Central Africa	sensitive
KM050576	Central Africa	sensitive
node_96	Southern Africa ex SA	sensitive
FJ199732	South Africa	sensitive
KM049927	Central Africa	sensitive
KM049928	Central Africa	sensitive
DQ275655	South Africa	sensitive
node_136	South Africa	sensitive
GU253415	South Africa	sensitive
HM120149	Central Africa	sensitive
node_144	Central Africa	sensitive
node_149	Central Africa	sensitive
node_154	Central Africa	sensitive
DQ877803	Europe	sensitive
node_160	Central Africa	sensitive
node_160	Southern Africa ex SA	
HM119980	Central Africa	sensitive
node_162	Central Africa	sensitive
node_170	Central Africa	sensitive
KM050026	Central Africa	sensitive
KM050681	Central Africa	sensitive
node_211	Central Africa	sensitive
node_226	Central Africa	sensitive
HM119889	Central Africa	sensitive
node_230	Central Africa	sensitive
node_235	Central Africa	sensitive
node_238	Central Africa	sensitive
node_398	Central Africa	sensitive
node_3600	Central Africa	sensitive
