parameter	value
character	RTK103N
log_likelihood	-672.8345371630676
log_likelihood_restricted_JOINT	-712.5190585609433
log_likelihood_restricted_MAP	-764.4388196767948
log_likelihood_restricted_MPPA	-701.7079615904856
method	MPPA
model	F81
num_nodes	7237
num_scenarios	463168356949264781694283940034751631413079938662562256157830336031652518559744
num_states_per_node_avg	1.0356501312698632
num_tips	3619
num_unresolved_nodes	258
percentage_of_unresolved_nodes	3.56501312698632
scaling_factor	3.923551921711751
state_changes_per_avg_branch	0.08963349086032006
resistant	0.046006550090198425
sensitive	0.9539934499098015
