parameter	value
character	RTY181C
log_likelihood	-449.2527093066288
log_likelihood_restricted_JOINT	-466.32488264045156
log_likelihood_restricted_MAP	-469.4553092443289
log_likelihood_restricted_MPPA	-462.73083720586055
method	MPPA
model	F81
num_nodes	7237
num_scenarios	8796093022208
num_states_per_node_avg	1.0059416885449772
num_tips	3619
num_unresolved_nodes	43
percentage_of_unresolved_nodes	0.5941688544977201
scaling_factor	2.146753308376445
state_changes_per_avg_branch	0.04904255044540695
resistant	0.032167465119728414
sensitive	0.9678325348802717
