,Ap,Ef,Lb,Lbl,Lc,Li,Ln,Ls,Lx,Ma,Mc,Ml,My,Nh,Ph,Ps,Tb
Ap,0.001,0.999999,0.131926823,0.630884888,0.998093531,0.023175227,0.874554346,0.011274566,0.088489185,0.001,0.674152926,0.544229558,0.728197569,0.032125109,0.529646154,0.060654874,0.773330991
Ef,0.350810308,0.001,0.576068561,0.326668453,0.99268662,0.098096281,0.914530102,0.004700011,0.031042918,0.111254299,0.255905872,0.719226944,0.292028297,0.297516267,0.18580533,0.444348723,0.468980589
Lb,0.080339893,0.999999933,0.001,0.001,0.988914569,0.170285762,0.925327198,0.00815877,0.001,0.193126823,0.001,0.71309991,0.011562879,0.516459788,0.01903271,0.764603681,0.420313775
Lbl,0.677509322,0.999999,9.45E-05,0.001,0.997952637,0.001,0.870041009,0.001,0.095028822,0.001,0.58193606,0.650341975,0.668353328,0.001,0.421647013,0.001,0.597385233
Lc,0.35271819,0.999991803,0.573874927,0.328398675,0.001,0.092396295,0.920323004,0.004734817,0.031271363,0.111390027,0.257115352,0.303803852,0.293810392,0.293283814,0.187172672,0.441196809,0.465824797
Li,0.082878865,1,1,0.001,0.935013204,0.001,0.561485345,0.848543056,1.00E-02,0.607643267,0.001,0.402663697,0.001,0.987896909,0.001,0.959691865,0.950586329
Ln,0.335472773,0.999991103,0.582864577,0.310774266,0.99897389,0.060226704,0.001,0.113859748,0.010712341,0.090564353,0.23339935,0.755943753,0.001,0.278282088,0.158496758,0.443048579,0.420153215
Ls,0.027116161,0.032222179,0.032222179,0.001,0.964414163,0.57066657,0.713884717,0.001,0.001,0.62023378,0.001,0.626244405,0.001,0.94040563,0.001,0.032222179,0.83800085
Lx,1,1,0.001,1,1,0.001,0.315590343,0.001,0.001,0.001,1,0.047325022,1,0.001,1,0.001,1
Ma,0.001,1,1,0.001,0.993905825,0.535777448,0.744461691,0.813172371,0.001,0.001,0.001,0.708429769,0.001,0.999962335,0.001,0.990626359,0.7697533
Mc,0.924167131,1,0.001,0.742851858,0.997386504,0.001,0.834106027,0.001,0.121306002,0.001,0.001,0.661182741,0.911854418,0.001,0.591444037,0.001,0.666837643
Ml,0.265450537,0.999988687,0.571154659,0.295377982,0.998694956,0.054919194,0.96121489,0.127003883,0.002042596,0.109582888,0.235250685,0.001,0.020322085,0.284180069,0.104865413,0.468630948,0.295869594
My,0.874775546,1,0.022809474,0.747632846,0.998752651,0.001,0.854626274,0.001,0.106301063,0.001,0.799062631,0.598910304,0.001,0.001,0.559183488,3.23E-05,0.629826356
Nh,0.037879675,0.999999998,0.999999998,0.001,0.978572725,0.325726768,0.855414101,0.461050502,0.001,0.373929497,0.001,0.68699529,0.001,0.001,0.001,0.954873307,0.61104878
Ph,1,1,0.059008785,0.741306921,1,0.001,0.7801248,0.001,0.16707227,0.001,0.814583745,0.40592422,0.87886285,0.001,0.001,0.006230689,0.869517695
Ps,0.047886613,1,0.991257879,0.001,0.985653242,0.211865586,0.911862343,0.010577303,0.001,0.248029161,0.001,0.758538958,0.0000212,0.639340968,0.002605376,0.001,0.448927218
Tb,0.578127217,0.99940271,0.515980729,0.415860176,0.985425933,0.198714592,0.81883277,0.26047984,0.066152795,0.18249628,0.363652028,0.453478658,0.39195068,0.387411273,0.344288288,0.425094541,0.001
