,Ap,Ef,Lb,Lbl,Lc,Li,Ln,Ls,Lx,Ma,Mc,Ml,My,Nh,Ph,Ps,Tb
Ap,0.001,0.5,0.6,0.6,2,1.6,0.5,0.6,1.6,0.85859375,0.5,0.1,0.2,0.7,0.4,0.1,2.1
Ef,0.5,0.001,0.1,0.1,1.5,1.1,0.001,0.1,1.1,0.85859375,1,0.6,0.3,0.2,0.9,0.4,1.6
Lb,0.6,0.1,0.001,0.001,1.4,1,0.1,0.001,1,0.85859375,1.1,0.7,0.4,0.1,1,0.5,1.5
Lbl,0.6,0.1,0.001,0.001,1.4,1,0.1,0.001,1,0.85859375,1.1,0.7,0.4,0.1,1,0.5,1.5
Lc,2,1.5,1.4,1.4,0.001,0.4,1.5,1.4,0.4,0.85859375,2.5,2.1,1.8,1.3,2.4,1.9,0.1
Li,1.6,1.1,1,1,0.4,0.001,1.1,1,0.001,0.85859375,2.1,1.7,1.4,0.9,2,1.5,0.5
Ln,0.5,0.001,0.1,0.1,1.5,1.1,0.001,0.1,1.1,0.85859375,1,0.6,0.3,0.2,0.9,0.4,1.6
Ls,0.6,0.1,0.001,0.001,1.4,1,0.1,0.001,1,0.85859375,1.1,0.7,0.4,0.1,1,0.5,1.5
Lx,1.6,1.1,1,1,0.4,0.001,1.1,1,0.001,0.85859375,2.1,1.7,1.4,0.9,2,1.5,0.5
Ma,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.001,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375,0.85859375
Mc,0.5,1,1.1,1.1,2.5,2.1,1,1.1,2.1,0.85859375,0.001,0.4,0.7,1.2,0.1,0.6,2.6
Ml,0.1,0.6,0.7,0.7,2.1,1.7,0.6,0.7,1.7,0.85859375,0.4,0.001,0.3,0.8,0.3,0.2,2.2
My,0.2,0.3,0.4,0.4,1.8,1.4,0.3,0.4,1.4,0.85859375,0.7,0.3,0.001,0.5,0.6,0.1,1.9
Nh,0.7,0.2,0.1,0.1,1.3,0.9,0.2,0.1,0.9,0.85859375,1.2,0.8,0.5,0.001,1.1,0.6,1.4
Ph,0.4,0.9,1,1,2.4,2,0.9,1,2,0.85859375,0.1,0.3,0.6,1.1,0.001,0.5,2.5
Ps,0.1,0.4,0.5,0.5,1.9,1.5,0.4,0.5,1.5,0.85859375,0.6,0.2,0.1,0.6,0.5,0.001,2
Tb,2.1,1.6,1.5,1.5,0.1,0.5,1.6,1.5,0.5,0.85859375,2.6,2.2,1.9,1.4,2.5,2,0.001
