,Ap,Ef,Lb,Lbl,Lc,Li,Ln,Ls,Lx,Ma,Mc,Ml,My,Nh,Ph,Ps,Tb
Ap,0.001,1.3,5.9,5.9,8.4,3.891836735,0.1,5.9,3.891836735,3.891836735,3.3,0.6,0.3,2.6,1.2,2.5,3.4
Ef,1.3,0.001,4.6,4.6,7.1,3.891836735,1.2,4.6,3.891836735,3.891836735,4.6,1.9,1.6,1.3,2.5,3.8,2.1
Lb,5.9,4.6,0.001,0.001,2.5,3.891836735,5.8,0.001,3.891836735,3.891836735,9.2,6.5,6.2,3.3,7.1,8.4,2.5
Lbl,5.9,4.6,0.001,0.001,2.5,3.891836735,5.8,0.001,3.891836735,3.891836735,9.2,6.5,6.2,3.3,7.1,8.4,2.5
Lc,8.4,7.1,2.5,2.5,0.001,3.891836735,8.3,2.5,3.891836735,3.891836735,11.7,9,8.7,5.8,9.6,10.9,5
Li,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,0.001,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735
Ln,0.1,1.2,5.8,5.8,8.3,3.891836735,0.001,5.8,3.891836735,3.891836735,3.4,0.7,0.4,2.5,1.3,2.6,3.3
Ls,5.9,4.6,0.001,0.001,2.5,3.891836735,5.8,0.001,3.891836735,3.891836735,9.2,6.5,6.2,3.3,7.1,8.4,2.5
Lx,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,0.001,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735
Ma,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,0.001,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735,3.891836735
Mc,3.3,4.6,9.2,9.2,11.7,3.891836735,3.4,9.2,3.891836735,3.891836735,0.001,2.7,3,5.9,2.1,0.8,6.7
Ml,0.6,1.9,6.5,6.5,9,3.891836735,0.7,6.5,3.891836735,3.891836735,2.7,0.001,0.3,3.2,0.6,1.9,4
My,0.3,1.6,6.2,6.2,8.7,3.891836735,0.4,6.2,3.891836735,3.891836735,3,0.3,0.001,2.9,0.9,2.2,3.7
Nh,2.6,1.3,3.3,3.3,5.8,3.891836735,2.5,3.3,3.891836735,3.891836735,5.9,3.2,2.9,0.001,3.8,5.1,0.8
Ph,1.2,2.5,7.1,7.1,9.6,3.891836735,1.3,7.1,3.891836735,3.891836735,2.1,0.6,0.9,3.8,0.001,1.3,4.6
Ps,2.5,3.8,8.4,8.4,10.9,3.891836735,2.6,8.4,3.891836735,3.891836735,0.8,1.9,2.2,5.1,1.3,0.001,5.9
Tb,3.4,2.1,2.5,2.5,5,3.891836735,3.3,2.5,3.891836735,3.891836735,6.7,4,3.7,0.8,4.6,5.9,0.001
