,Afghanistan,Algeria,Argentina,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Haiti,Honduras,Hungary,India,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Madagascar,Malaysia,Mali,Mauritania,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Niger,Nigeria,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Svalbard,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Viet Nam,Zaire,Zambia,Zimbabwe
Afghanistan,0.31131382530739193,0.19065010710437358,0.20503973987438073,0.3587055911976583,0.9291523956382057,0.7564941608080868,0.7582635811179379,0.6421359670216227,0.9435530127449221,0.5297250653751546,0.1421044084183345,0.7496212470167732,0.990281349078268,0.3658663483825355,0.17754426437955517,0.9626253603672481,0.1813984101616547,0.7419043921399738,0.9483827459141644,0.16124204854059077,0.3787233582925532,0.13086338508904405,0.8458805472422823,0.6196663564709431,0.29727932178214533,0.20851709780003314,0.5877204171911703,0.7021794629190833,0.3167655903386979,0.1255645472730582,0.16970873213324522,0.1354089823867214,0.008030721828125365,0.9638101420247339,0.3384867429075694,0.46034200408563963,0.4918426803959375,0.14524811905757362,0.3695938698079205,0.21168021048164487,0.1315682456949243,0.18365451549563083,0.9003653457339694,0.7348368310073198,0.04091790994841649,0.7906388328196154,0.2897585437968655,0.6673135614652412,0.8264461386931002,0.2211831174074087,0.6551280484614552,0.3919387341737043,0.28707288554093857,0.6308560316338928,0.43243524822170454,0.4972630922096344,0.4555701818345408,0.9302368090961532,0.7785775246652789,0.5125552550396724,0.522999489825665,0.45019100726627126,0.9418148655013447,0.8923899688527384,0.9185892537072592,0.7066118726630964,0.2685133017671576,0.7702551050409318,0.2735946350902547,0.6502914931708188,0.30529670963583244,0.47459174743833965,0.07678791842792676,0.8096916093729764,0.01741274464652176,0.9305880157241726,0.30848659001344725,0.373723147198751,0.8522703609034793,0.4887044364627947,0.19680206180286042,0.48993976397861383,0.575933942116478,0.7934185119464736,0.22331757466824054,0.48075704664350805,0.6982128410727172,0.23327360596965208,0.3613640668756203,0.8576036191885725,0.7339712720634068,0.19047765659548122,0.771869803339173,0.9817203983911454,0.005830128768256615,0.06534597132643094,0.5085428402224531,0.42404174449975485,0.7804716630111661,0.8862000760324502,0.17704734979531167,0.2021824758216333,0.1827826720068786,0.7923899292443631,0.36763560910828996,0.7526481791122349,0.7729658128817724,0.7933840535310555,0.9911525917712275,0.14341405198582935,0.46325330520829233,0.5876553503973065,0.009466689598416789,0.2788681713542228,0.2693447090709241,0.7019817571492983,0.5300183409137867,0.2459110510749417,0.059759497190680855,0.004482406948073225,0.4831925915466263
Algeria,0.4949263807565111,0.5452944708218558,0.5290399334298115,0.5472057265714232,0.9636572960382329,0.9251930328733616,0.3250003481478262,0.35794069261465233,0.14358504791994342,0.5595041713604302,0.6817057343012874,0.6843795087817045,0.09863020138693024,0.3118003505129545,0.127513559325935,0.6735431018424557,0.577857698794971,0.11303779494088417,0.7896687445761768,0.9233291916810235,0.8826971652408532,0.7135652186411764,0.08116230215822584,0.5156248599961605,0.24930244679399494,0.9412796842728495,0.1144702343511993,0.10910039534152338,0.7391165610360519,0.2590698465759884,0.6769356703177003,0.2039295052190977,0.9778078401088198,0.7321958591371915,0.5968235427544011,0.9122138781015754,0.3088300206487471,0.033353701680494896,0.2592482761052355,0.07367971411526253,0.4442169283939139,0.2943630305392321,0.43859354469636536,0.17403038698610973,0.7572575795067261,0.18386588575843743,0.16280535192541978,0.11809720325150741,0.027594041799353985,0.22808229603343644,0.8125564437014542,0.5882450444129154,0.23459410816622317,0.6154708641321786,0.12069321566727387,0.7462237444929845,0.3386480217875192,0.5387703013266284,0.12242313392601034,0.4789275894982614,0.21348387080711484,0.45348267239546924,0.31545310908234947,0.9823021366436084,0.22663297740679045,0.186038862767112,0.9031170665865861,0.8614631300087147,0.7769421399731823,0.3848902988684699,0.05980424041480514,0.812451428940372,0.18402689499106406,0.6644048851539897,0.7418310872961944,0.9551932334085683,0.5468035843607463,0.07744236110326674,0.7906104998068961,0.18296043239948,0.5803547731672005,0.48415368213125654,0.02235724744758527,0.11019645189316529,0.08613651649978471,0.7109581086366872,0.24697817096575447,0.9467296659957677,0.7934709256980699,0.9611464751638193,0.41876762232648035,0.45978379018121973,0.15276386674442077,0.19700719185653082,0.5039614298968229,0.9582876015343688,0.8789303660501157,0.46556114992263753,0.46505532446547293,0.11030134163473071,0.5346370944426977,0.46767516194331127,0.9108247040415983,0.8742573055549435,0.9489484771844543,0.06399976402349039,0.13097297735357827,0.2928384021037933,0.5927514372864973,0.16843527207342313,0.181922175038998,0.4031055533807688,0.6836453146754083,0.5834974826291532,0.1169534602700254,0.4152541709682146,0.05669950903872334,0.21601171927645102,0.9859666480497166,0.05876567734334992,0.10663318759984097
Argentina,0.22504309986162796,0.6609021198840817,0.04400590338069188,0.17142806930471233,0.871060736522433,0.4791599111520166,0.9072097835249584,0.9908971002716966,0.4305488035603042,0.1256892262754633,0.8927033028609976,0.3177137227869754,0.9107409456655301,0.7390175929756275,0.25659851943325795,0.022647192361449187,0.17779269976095635,0.696657312173798,0.2295440492483426,0.45622338200428547,0.6965037255040686,0.7779546193435724,0.8309138601712591,0.5850147451782693,0.2249763050080531,0.12406464925850469,0.7275779725512919,0.8842880114194012,0.47683041991108477,0.006271522050855682,0.33033402646696497,0.6386664318358707,0.3790682801600733,0.4878363902317576,0.5128536257808061,0.2715673859005535,0.36444267056187063,0.5715419214752159,0.2900997412425268,0.43120994696091297,0.6934827730606065,0.7001349803324127,0.6951633875115052,0.04080682063088015,0.13007284814269293,0.011883523166139498,0.810162643596172,0.9622337582594955,0.07632252095875314,0.2673396461030161,0.3005555228923906,0.3906295247335213,0.9149206184757537,0.538377721496903,0.6870901560443369,0.9265623390979625,0.4096985789032205,0.4070038475511969,0.7175412189008397,0.5824577261897915,0.8428813753530735,0.009597779480085222,0.706494909250049,0.917338753229808,0.06735107122011297,0.36402053103413246,0.42852529548524676,0.5905701570310486,0.5674141669024899,0.7973715294570597,0.1904413037875019,0.04834171468617876,0.16013894331394862,0.12358407627417956,0.6258706831785646,0.008424860528370326,0.6148020588334084,0.9019727607991224,0.7049634888064706,0.5559841913883727,0.3985888041727029,0.4909916563144312,0.6971829006732448,0.45841768808781436,0.830844931102914,0.8559208212463537,0.5581100045274658,0.10836504630662924,0.6535817668438744,0.013884435262041084,0.22330295922469523,0.2647474639297279,0.0841710201565733,0.8484281150373734,0.5311137691041841,0.4454372496235902,0.8860420790461607,0.9195600255764738,0.16069770135121964,0.629825854069699,0.8376210419854668,0.1902427818128123,0.4629846877804834,0.9730751188763732,0.9506609956457351,0.5281040861417432,0.32982195462866126,0.5212797654319657,0.19205457159661832,0.8402461646530327,0.8332748107843284,0.7704815808726309,0.5419757868954919,0.6752073926840746,0.5244205880726841,0.14942953691668337,0.43191099955178314,0.2068552387559761,0.11685024671209321,0.1372340224246944,0.4906741054360244
Austria,0.30718483899555504,0.09530119811103699,0.5931556423320209,0.39790662397645526,0.8757243484939791,0.7931907016269001,0.05878012985374881,0.6671503874906288,0.13463619834286145,0.16092525867036656,0.09902324539684215,0.14195362206421713,0.9338168608392857,0.7200708807712273,0.670102039796077,0.787382097857826,0.2742742054746782,0.31931092199660827,0.83672517408478,0.17303159543370494,0.6192804337956576,0.8189541323720194,0.37047975142576073,0.373004096818067,0.09886569919471977,0.03316441157757832,0.34064825320093295,0.06541353200800493,0.8247015259478212,0.28700928555337757,0.7629340411159478,0.5368698721774797,4.1420864933638946e-05,0.25279337229932186,0.6297365092162046,0.8659406273437861,0.030240843823707175,0.008183095758051984,0.9691056498231969,0.21554160538159883,0.9480207521955673,0.34105215885083173,0.9503296168423638,0.2785958966043529,0.11644369536763877,0.3359720185416317,0.3370601180570818,0.06514072482185829,0.9653600130922605,0.4974196603196507,0.08283261319889246,0.9414313352002401,0.18940431147120274,0.7479791265176905,0.06319888363121018,0.7420650467775551,0.25295876791427074,0.976584818868743,0.08099202881120204,0.1881817383088461,0.9534259185642449,0.17962149035743014,0.7830443083976649,0.16335248914149125,0.11290023616424338,0.8829291762109058,0.3102593203394466,0.6795342849090892,0.5663903042640354,0.3266608597518118,0.6867066910878938,0.2106321212565313,0.8621838571815145,0.0006582412281516126,0.9403453428471867,0.7024244337212561,0.3958809828406542,0.26428797072305876,0.027886990490642694,0.642831808635294,0.9718115927627056,0.685456947842554,0.8166626075278058,0.10501478959745547,0.5835859210024932,0.23314073951646275,0.4734334867224492,0.7065349936613372,0.845029847143443,0.5033459938579372,0.3491778018695071,0.4236157588780808,0.3231606540393982,0.8660466805989397,0.18024149874509832,0.5947116897773973,0.15089126237415984,0.06115468247403599,0.09503338069080114,0.40267747957416156,0.21407570437714507,0.041348807954225686,0.10161464683947485,0.36762102990196643,0.4220516401768518,0.6679826180282774,0.021202993780352175,0.9411912761006266,0.591121473522996,0.37797563060884287,0.901701315019597,0.5843033201120112,0.6062852650970398,0.030603621587738106,0.15902311968401328,0.3688904017402421,0.9765483507896272,0.2022842290993231,0.7054344372535372,0.6558003053441007,0.9878969309923766
Azerbaijan,0.7789744842565423,0.7604318117614667,0.18838657923086355,0.64326611588706,0.06699593267174653,0.9308895334613018,0.9712028622530771,0.18103071647456537,0.6554729280583593,0.4350628985296945,0.9196621984186456,0.8820814511003048,0.42112923679852476,0.37400311827744637,0.6012936061015429,0.8022188121859267,0.7195704326285178,0.7727742125407709,0.30599168704390456,0.2166760314140197,0.12272863472254814,0.2678323792095584,0.046399734269207515,0.14250342182155884,0.483423181546365,0.4583009663256018,0.470294087839387,0.42323775108568273,0.6771457158390528,0.5431712739272425,0.97379328634421,0.659174736506351,0.23698065180762806,0.7009407163092651,0.5723663126003062,0.7012773970322206,0.3020670557411427,0.8850996114153122,0.9018153774100385,0.3903591025400376,0.24969254924948547,0.4983664257166105,0.8351473447513846,0.9512562727090698,0.9649682981441872,0.7566397321774277,0.47420928964336007,0.06937131516479456,0.06047566232505952,0.9513047288816697,0.20695851991206315,0.41718921149755994,0.2579335187155112,0.2055413208782786,0.20963946311080472,0.6021275032621473,0.4015451297751448,0.7181709461277513,0.6163772756084483,0.1374459256644155,0.9601359680549126,0.4218122010647902,0.9474296422227506,0.3148056875100117,0.8116261473796915,0.8059018861490288,0.7119000365275582,0.7630638641832305,0.49781264888171917,0.12869328189317641,0.9332115015633423,0.2200162346573994,0.8403601095372664,0.836125014423417,0.9739586140764964,0.3727940837887129,0.12041558304371824,0.9588583303011008,0.08115336329276435,0.422859576306439,0.82269425970988,0.4699394784081701,0.42706203236814577,0.060181604584249815,0.7319764944167266,0.2549085608329319,0.6061315848835714,0.6012090323399137,0.7783785046799732,0.6102616696335099,0.4921319473822102,0.4805829795510015,0.1604001847141563,0.9861289199792753,0.6969024342687381,0.6581797836706631,0.44999098392352466,0.5478692472721819,0.5513068016240424,0.9977584408130306,0.10680294696130155,0.34270064031196124,0.3807801955273248,0.523103358532439,0.9433109026368491,0.4107809812693811,0.8195369810289372,0.8471887194999174,0.4047675593784076,0.5949359282627746,0.3906424157700046,0.39339815513987575,0.5409675701552031,0.5049913311468316,0.4947583376237059,0.8844417999396875,0.9363657805214988,0.9091813861350686,0.6961859599331605,0.20520797011520087,0.8144263451954322
Bangladesh,0.15145944895950436,0.805790723018106,0.3741689858673335,0.7610632392588874,0.3261387871716078,0.9473167404908462,0.6792344814573801,0.5856538147099953,0.5239357792905973,0.739174200268184,0.06041090418763739,0.7337291281093515,0.06440693093003658,0.8525138312714161,0.9565427774612087,0.8703060205869888,0.6715473282573227,0.04024821674795742,0.033886775428602744,0.17034155291665998,0.3055144246437195,0.5764644787662394,0.48574383507203533,0.8084714619516168,0.6456022044168633,0.10767064913634294,0.36449227299047193,0.9838378010207326,0.5999189567316869,0.9391245420983031,0.6632146197488441,0.5341487947893827,0.5591432307715266,0.037262765897946526,0.34472910175881255,0.6786148159944808,0.3652733245413641,0.01612884906174028,0.7491496302853383,0.8874924913860787,0.257815905175268,0.4604865847674722,0.5456148376686075,0.24548689040400096,0.5747358174899437,0.4994714740618109,0.6388498045964378,0.32266004885592336,0.8827646714732456,0.31244733365393884,0.10866280009661677,0.7036823972489068,0.9768474163577323,0.9764191247151843,0.7843238905159838,0.4265213515786114,0.11718014328064341,0.9136885007938615,0.06492194461399825,0.8500573573758362,0.25347006022038876,0.6548658524480188,0.8744602691865729,0.1682793663409804,0.16181844754232866,0.4920777174088128,0.12292532196859585,0.5030406221657514,0.4386278971197761,0.12069471259609044,0.6894004038836652,0.5513418499046648,0.48473846740665116,0.11377209648064324,0.7873770842816376,0.8254189443365157,0.6716860808049685,0.09220572185945197,0.10821923507623732,0.6645094116970508,0.9879711405085266,0.3706509170943153,0.8273360027695592,0.8378075214483779,0.9491405939118677,0.8007628356084814,0.5250608712367387,0.6339298439368236,0.5923562922167493,0.6585284491687489,0.25907176958810196,0.025524135466033715,0.02175201555945805,0.9123684561739168,0.23234009475714523,0.3722662779307173,0.6962543576359771,0.6322699873133439,0.7134766871851861,0.9588959522032909,0.13469699857770223,0.724514979462038,0.03677977153996326,0.23566087349761167,0.9136291801493795,0.7283170207988193,0.86760891011147,0.32641483764957935,0.1639654227226668,0.23648663581290863,0.5250056921945847,0.5136990636357972,0.014574067007416036,0.6523753787016141,0.7957257248913697,0.23776990644443963,0.5721635076788223,0.9548155488280139,0.7179246853986501,0.8225879304001731,0.2258598114858108
Belgium,0.7273133061098171,0.06148429278581291,0.6438700574221407,0.6614840683506126,0.2872700690225809,0.9655457449363195,0.21253011103745967,0.870110865620442,0.4431256680516299,0.32260587800932805,0.40184036537338275,0.3275804183361525,0.2596517969996731,0.14373458359163593,0.06993381636002272,0.7187093205424314,0.11566848387516016,0.3432646381287566,0.9601139062216257,0.14308036248070743,0.9109940958637794,0.7545299003677766,0.1388553743355797,0.6491017073123165,0.8041102158745925,0.7069761929940169,0.10698032117382772,0.39017427631205115,0.3144443767248125,0.6816851338639872,0.06425846074240515,0.41944122414158647,0.2940773497193897,0.013608821440703744,0.41099214815453655,0.8796628341801783,0.9392807785024972,0.4651322027902989,0.24169334732948788,0.5480350717092249,0.887651172865424,0.3616757649504647,0.4465168490007769,0.36110652984482616,0.6806594234027491,0.19499763833897177,0.9850644666730836,0.07434537127566598,0.2903654827029192,0.829293358470533,0.9251309655474127,0.6406709493226553,0.7175329893932821,0.32948396289022364,0.549071107068063,0.94947505950485,0.8066080036702099,0.4192623662812286,0.0883507380460764,0.801121917923385,0.7150722439967125,0.7330317706654362,0.4131571821647152,0.661860423160909,0.4192104432743592,0.5027567843748497,0.46334338628892036,0.5431892030380929,0.6139530688807835,0.44086806556087177,0.5071567057403218,0.12019033730934481,0.9536120302158672,0.15891273529473737,0.610349720441763,0.9330231096839561,0.254214910266104,0.49510375524029915,0.28103885946585694,0.0643922863954497,0.0940195745717024,0.24507266761272284,0.9935465531766572,0.040420831620545106,0.6795302841314708,0.9455030226466494,0.9092430998732471,0.7392495448140355,0.7484452507282865,0.4923456279131596,0.20963143399331552,0.5396024705578095,0.8306109694887698,0.12301931651760079,0.540110379211397,0.34759037168040796,0.8865822062154861,0.04103465579802801,0.4470120359705555,0.019660129808995896,0.10432785302400438,0.44552183596112416,0.7204332609244244,0.9988275469397926,0.1828030262445821,0.022066749069531655,0.26380794358388127,0.3932196992704077,0.026902522640877446,0.24850316093785763,0.8080996445583626,0.6055774172397131,0.8532167864513629,0.28336437186942376,0.22183551896592513,0.27287284574335546,0.7591488687125362,0.707695821782872,0.46896441122424004,0.34369725412058494,0.5732918716748084
Benin,0.959387956761166,0.13199555425076182,0.6041414410453926,0.9649655270298678,0.6452054396433459,0.023456992700636836,0.5820826750649771,0.6188204795141636,0.7911080464724082,0.6525902357252688,0.8022444220313265,0.8048190673639662,0.19613207128319188,0.4950885043392237,0.797031590126949,0.6239149896931446,0.5492081614035164,0.8211722050973937,0.8828145039772093,0.14910242738590462,0.03637985320467252,0.3194344590456043,0.23231876579274335,0.4670321780652842,0.3189580373698121,0.1671405913727002,0.9452220985098263,0.59232176144693,0.28020849319229124,0.9769836606147908,0.4002127063132256,0.13651341669003392,0.780691836702782,0.8762555340866275,0.4885057016220259,0.05585884441250821,0.08101474525233165,0.0436222969005583,0.27235997216402963,0.922431352547059,0.11904107521710006,0.32049815696959516,0.834585848130783,0.07218688353124725,0.4609082222606282,0.5003758981865615,0.7900994242454261,0.625091353139286,0.9900908986162086,0.7720715208945577,0.5800031934607041,0.6139962580603985,0.26576448664622254,0.21192817051258817,0.39300337805694163,0.8832308423243365,0.8203104691763528,0.25905097803065413,0.7312775650439829,0.21469107015055988,0.14192225417035165,0.7769557538581283,0.6989235171204002,0.6358379640925277,0.2536020420930508,0.35886667256468807,0.5258633853521186,0.4299389693814314,0.9013225293973438,0.36561310436811933,0.41846782721074216,0.08118230356014655,0.32858689893679016,0.5873519902139661,0.3366882634380849,0.16534056558248889,0.7102610700004992,0.9249157957442723,0.4178814184093257,0.15241918124482945,0.059355301262927096,0.182880257463925,0.40473128876993125,0.7356565813842144,0.5929270446254898,0.6457650428093656,0.05856135205077462,0.24902766359840434,0.1798019356189824,0.40122216030999347,0.3477741034894869,0.23465636823101177,0.9780655541708995,0.9866083419638507,0.48244582643928513,0.9485763725733143,0.7403798164425487,0.43170239676018507,0.7882711621037282,0.5485575988969641,0.7414381530313106,0.16337307116240485,0.312605940271538,0.978395309496017,0.04556265063107878,0.5368869629307998,0.24223859033642425,0.023526033795063683,0.9295304377977174,0.5951624544715945,0.13557093042067192,0.6820066057816413,0.06250154643814376,0.9047058479404481,0.2716036831447256,0.26048289386855406,0.3370075023420609,0.5269803151629586,0.6773412822583997,0.9543624153316479,0.12113089975681157
Bhutan,0.3947142818001923,0.3693208071847197,0.8461183683091407,0.361118090835174,0.7303906739719216,0.20681532150207704,0.6024180939920596,0.026391074857211927,0.3999097543947918,0.281625975860723,0.8140019008963082,0.9933699046486224,0.09983047087849228,0.19290193727848082,0.36073412227591284,0.8222344007788666,0.45186881889172836,0.16258636869039134,0.7867980050645939,0.48333358699322726,0.7743119097922966,0.8234471041025262,0.2196227838876451,0.9173944035767887,0.996190046060916,0.9004145513417656,0.9337251341977187,0.38426850114264355,0.23428780224484902,0.9436757465677114,0.05131417598792232,0.7677663650962352,0.150267989832517,0.6533927635914843,0.6786453208873495,0.9309792721185257,0.17663233045284632,0.41630499292170986,0.5957055840684612,0.22367337443560165,0.24371403566464822,0.04581670096250945,0.7046429009397048,0.4987698815942134,0.6159994564440758,0.013271161695779354,0.9509637349108835,0.6001977880382703,0.6562288894242576,0.8824927850973697,0.23840255105538732,0.5004850114275723,0.9314869550681596,0.014648202552015599,0.6231989364892871,0.20053688218621135,0.3155103543321772,0.20320822798003169,0.012821225320102547,0.7721924553218988,0.6773472354997557,0.12739859775334395,0.9969707849794627,0.8569350892409592,0.8969196107125184,0.8264013577769854,0.6245593874330344,0.07701570127780877,0.6072400420865387,0.5746010871568917,0.7048891533345264,0.5821271791667811,0.22540515726937527,0.7177424298661449,0.24815629341486856,0.5082870769587051,0.8347485287078835,0.21040688218828785,0.701033451349992,0.21552913079760927,0.8690673836062149,0.08175864297085966,0.23648362846299842,0.0686198123003231,0.9788146754957721,0.1268132097035779,0.7395384392783683,0.46676940134708866,0.18782865322652598,0.33887603809235534,0.34847202429159607,0.6569990211047042,0.22383659811385748,0.2644884692513778,0.31174372995639765,0.722150046524326,0.30196542159365847,0.6224644764326459,0.9406708376620467,0.05755575313216266,0.45924525021244156,0.4471050677217965,0.9237510914048348,0.38934067061772226,0.11471466568520639,0.4538869179137339,0.2600196037829561,0.6205941529259463,0.27333252653900963,0.11036432493177972,0.9774788097494125,0.302243867011294,0.306331173769133,0.627705572276166,0.9542884316100656,0.08719896022540652,0.40501184812742186,0.4459928605705994,0.664424591626663,0.07970405597163499,0.045523398649886526
Bosnia and Herzegovina,0.4039348978177927,0.8352907941114064,0.9226671155970433,0.6294254398994537,0.8787584086183831,0.8465527945621766,0.031092314099533613,0.5344121592835586,0.1811448237780241,0.39653962267239407,0.8556590897928037,0.5733327895057887,0.2376698524285591,0.20771387923392315,0.9264212827687891,0.08057532861307082,0.793819619498964,0.7691503324012694,0.10418337368509845,0.9282521284233258,0.4978078386063386,0.430033199874029,0.4352719900430383,0.716829468604322,0.9483460855954082,0.7887360735141546,0.6618623462501897,0.4977006047829532,0.19744079580218166,0.9014263164048398,0.8287309179957751,0.824657741107862,0.9260665038228255,0.9590888322290352,0.06912498671978651,0.2591941892374041,0.3202238193609783,0.9138010332824111,0.5364271710947665,0.6414961686756021,0.3949265221929026,0.4425697158300438,0.1978074446056297,0.5256810531263796,0.7908954542357475,0.2903407492203991,0.9431383503325709,0.48281883428146166,0.24716713951946,0.002740960066290765,0.013035069340680216,0.5026401557755578,0.9488627551792961,0.5979334661384718,0.5555213876312102,0.9252681841486647,0.12363998454006286,0.13248398940913542,0.9592112536629758,0.15044535198925335,0.01097215276889596,0.8441737416205701,0.33367888446349425,0.1964584218058344,0.7580667007758608,0.9565480014025578,0.1845002349222692,0.8718826984238243,0.11285533426691485,0.954943586729502,0.285756957583726,0.2955117935799789,0.5695230898678543,0.8167578806020626,0.39415390066101597,0.09812449691358216,0.9561446607243925,0.3424799148527794,0.019476900092234906,0.4860859940185023,0.017805974801039626,0.6667144442343103,0.7402612135389012,0.24679068170021,0.926256175688934,0.868842784713451,0.44334668875342464,0.7098865503946479,0.5306242564372987,0.15535402759382555,0.3820140438193551,0.16913618644202089,0.7866889227523863,0.4904785239958075,0.4242414072327134,0.8529062017363743,0.2279262209766939,0.8594590512288156,0.8620120073240699,0.7757196519471884,0.20395564058220073,0.3661083881735948,0.8683216891328311,0.8595784147560613,0.7137049045380942,0.2881016147029879,0.18546073006776886,0.7994715461936079,0.5823009135491105,0.4451465830005784,0.448198320337753,0.015200811656423507,0.8920292218668711,0.27579238460691224,0.987346362208655,0.11745778070973678,0.32686381088549665,0.3878063284244774,0.8662763336477436,0.8598423333093438,0.3601067012895488
