,Afghanistan,Algeria,Argentina,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Haiti,Honduras,Hungary,India,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Madagascar,Malaysia,Mali,Mauritania,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Niger,Nigeria,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Svalbard,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,USA,Viet Nam,Zaire,Zambia,Zimbabwe
Afghanistan,0.21113084687318617,0.36730689344651823,0.5747555293401071,0.9070640466268923,0.9614088731574598,0.8541914431682825,0.9953808291578506,0.5477151331294773,0.251445872918745,0.5240052340545549,0.4866887596770596,0.4085466219417664,0.417800220292052,0.33946486232303763,0.6640624233096868,0.47990869781674383,0.19368712772035135,0.8839260460909648,0.4181251903379767,0.06863106463241364,0.505038405263773,0.3593785470807216,0.8161850635029654,0.8301846543481353,0.9945442744100531,0.6914413199460059,0.7395030736723261,0.5765266623156573,0.22094515604011422,0.9220627028085078,0.05438410539927263,0.5512542867858933,0.012964335613482869,0.10980455911286069,0.7621238767006656,0.9712467885634445,0.8816288186907228,0.8173172095703283,0.07702773494232507,0.5936056834353293,0.49238514983711457,0.9441883824086411,0.6134637399283668,0.15835278137112274,0.7304797153254025,0.9307206072568869,0.8485336497773769,0.23504398708929097,0.09327601062547586,0.07985287380834516,0.9230630865689902,0.9845888572564223,0.873933178607113,0.6737754874328747,0.26120845182321883,0.5423935263176514,0.6599320453081862,0.25077714880948176,0.5305589945063991,0.7224260748240348,0.02444525468233416,0.9690126435034674,0.537888514563187,0.4796478254171197,0.02746526208809208,0.6380092726294967,0.7654992881324527,0.42690211722834936,0.18296402236750564,0.4308322552482632,0.26289232081446035,0.5212553317373526,0.31954504840939546,0.4106068559516498,0.6629402690540147,0.6891708445407552,0.6285871431259825,0.3199494483693436,0.6717548742099246,0.09480395085843785,0.7415134902441268,0.02192976326446161,0.6198741077159109,0.21135889032094002,0.33034712384266884,0.717618797871233,0.3221573458673431,0.673670062628485,0.38061831784116107,0.21947315937528777,0.7512577615956822,0.335209159520943,0.9057655207000027,0.5382228951137921,0.09972409054448672,0.27993785592904485,0.7289289392165988,0.17833548313386105,0.2755118161542712,0.37003212264132146,0.9962676548611984,0.7890833518390126,0.8330476478827437,0.45489686066811374,0.30505831089782964,0.4959559445362498,0.2436100644344149,0.7921631717310879,0.19891293758857564,0.5350685717254882,0.9607914189235777,0.2742263736020776,0.8287496190203164,0.40129908876133047,0.46787598715384937,0.2671275160755502,0.939274269123861,0.8513995893306257,0.14978251214809268,0.7531806012394777,0.8813586312005252
Algeria,0.6417871339145376,0.5429063476618362,0.79602797533281,0.24471953063785246,0.6450960748061269,0.24859190187142044,0.25374489655938104,0.008391182027318145,0.3341553046105089,0.47015129696383795,0.20707262121359793,0.23799685834743056,0.9913815501174545,0.46763340397667275,0.7402527092169423,0.2738855157556712,0.4976883860296897,0.7386065279728669,0.7974345773635572,0.49819636167556036,0.9260019837998034,0.852288351864827,0.5288505793384007,0.387097430263293,0.6373494757743705,0.405426554250072,0.35938754049495314,0.9267252993735511,0.11093324398980109,0.487073007078886,0.9161268836659864,0.9989666684185791,0.6664348756388485,0.9470241312543634,0.4720041325565105,0.820053674730757,0.9672695183924935,0.6701339735606756,0.30647720377577514,0.33718102068741584,0.7571867172266294,0.7451770353691914,0.4582900480837394,0.4150197638941636,0.9487157122715184,0.8897224982950708,0.6043430123289498,0.9742363165480533,0.26332796553099513,0.7444733066226904,0.6296513777206618,0.8387520515463269,0.5198758969779824,0.5431040799798613,0.2549950793192747,0.0059762090472159635,0.1680190475301787,0.6721549548143958,0.1040634718161122,0.23984527151187385,0.6944983597477169,0.021119420979644365,0.20673478129834932,0.04549422186399976,0.8765803272548284,0.284837916348907,0.15927086644730903,0.4938270014386098,0.5074157072356191,0.06995334954567634,0.20854808021490912,0.6376213692822286,0.5266796776746017,0.9549089580503871,0.7105684672690266,0.357632122207325,0.07018935932219139,0.14015300861816937,0.4930179158652046,0.9351504432316575,0.5943010911754114,0.47034731416611286,0.1851730313031481,0.834569677745315,0.33600362679828977,0.8045545247813755,0.9732489565878107,0.33193602569302527,0.9032471921428287,0.4351837593845971,0.3042008337516495,0.9874806875426665,0.3983522475943062,0.4367073069777807,0.918073365966964,0.9320846134076992,0.04052482749983399,0.9679280920906792,0.9386194255118014,0.8156153617923776,0.016600064308515683,0.4616515223277945,0.9528333867654137,0.23431934113920883,0.18832514677231726,0.5711752020446349,0.5758731883239907,0.24198644921946333,0.9128917387359028,0.6788924486870869,0.8953177369318198,0.49197932372032516,0.8435125096423135,0.0533790138598732,0.41884010637869273,0.22269919067238086,0.6418919536097271,0.14925870659074836,0.06624451341435666,0.18820585787033706,0.4845177313995713
Argentina,0.9252182391599199,0.5953654037529242,0.6793905020151766,0.16722926936497096,0.7735787394496808,0.02232850190037039,0.5154501230422383,0.4614836715607753,0.5817907048941157,0.13458934843176218,0.33388850091966804,0.08257056020798348,0.9297961406824611,0.6843943715550241,0.8490869933664874,0.9248137307093742,0.36182061479084615,0.13447285319501412,0.2635152556127178,0.5438311796735497,0.7514222744266345,0.6791067924431962,0.5711703610634149,0.6797239321149932,0.5705738325802268,0.19491926512560243,0.8089334833933277,0.8052250525167063,0.2991878665470342,0.6110926987812302,0.326635078493562,0.4774198774112307,0.7865752993580115,0.3526641026297703,0.2321501357424538,0.837623909570643,0.7791866192433103,0.8396635199768363,0.6436307913366764,0.2593605707562805,0.2547245709133449,0.6827311318637616,0.8935843752381343,0.4360891491536971,0.7826362685225622,0.4320725972699816,0.7914732754422535,0.7550310583689143,0.35333307808503345,0.8589763560169466,0.500947874762047,0.32851705550825694,0.9529150242101166,0.7048735778963956,0.04595411491103485,0.09782397321206837,0.051995271125914955,0.47564638802479,0.07579351662544043,0.5106484802365797,0.7826680252593387,0.5938757343962242,0.5139396244271589,0.019941776386534826,0.8041932326941187,0.35366926074815563,0.015160314958869936,0.309523884544321,0.04449253166399447,0.47378362894270565,0.5216800817766533,0.6215475371687734,0.5774926683198055,0.5545319174538419,0.49545945612343567,0.37425651055662057,0.06996087276719676,0.7307991616644909,0.14447376179228133,0.24708475695747756,0.04294638854999677,0.837972806123921,0.016080795794289338,0.8028413332922664,0.729441353792326,0.0357967001828432,0.4732883047815193,0.7408685514557086,0.17856952629392897,0.5367590178340141,0.13147481708411735,0.8901583851998878,0.8708577413011227,0.8025967856305481,0.7449011358102192,0.9285011871600359,0.5447973352142351,0.20128294046077166,0.5171062107328134,0.708561459452067,0.3301326294079413,0.12511385962542632,0.9945217492890132,0.18031953954186797,0.8953753749469615,0.47395567957228535,0.959733198360752,0.12377799148271917,0.7726445062072335,0.9282160050845709,0.904831163174582,0.9930078011370268,0.7455032628305048,0.5372395223063244,0.8146281028064624,0.4580099195979199,0.37798124336591343,0.7398238442549295,0.7029977632753639,0.11921753906345212,0.8509400682487283
Austria,0.978672021989959,0.98294035109081,0.41020859290381684,0.09393653548566061,0.8470552282878612,0.33455444775053556,0.7553743472969912,0.8622097018770746,0.7628695548234721,0.7318666404664474,0.7183172498440282,0.6542053417277706,0.264809006567551,0.3959806400295063,0.5355231782791781,0.24498661883864892,0.42870796143063183,0.43874046663467414,0.777398852140503,0.06833716897111475,0.0730278657294392,0.07865164148611359,0.6267407636773089,0.6927756163111057,0.6916291661589594,0.9729517789422414,0.8146991676798907,0.2830826453172103,0.3507743143431026,0.22068334199049233,0.9095052418667667,0.5105860704935209,0.14631869751797644,0.7878428372910753,0.618233328684811,0.6034907421842535,0.5140478229014397,0.3798845838225491,0.2505234378850749,0.5108790586493712,0.16276418622497135,0.35341562643120905,0.051310344910936445,0.49713127841931926,0.5347500143113402,0.22325605562301343,0.706334584096878,0.36391283213249814,0.9262631465838839,0.774223478985254,0.33620460146404174,0.622134649491326,0.44680650587510684,0.84626306702489,0.13017765701451212,0.2680031082164346,0.9037060876138172,0.35485487591976406,0.3005464861949201,0.4627010584339296,0.7742171938694669,0.9672111352138177,0.37829294380175815,0.080590075369384,0.05527391987516683,0.30627243398743054,0.2768578469399967,0.9837744257105246,0.9729639267922671,0.7303522308321015,0.1729683460095477,0.3898388711187709,0.16035974069893222,0.882394372689817,0.8401059408507134,0.09996523876311392,0.4173584067047703,0.14656276281477232,0.9254887064630409,0.6680288183957215,0.6032392867675007,0.06775890858511358,0.9817545870487582,0.051491384432983955,0.8703484938909646,0.6776226716444327,0.264776015573878,0.4871499004472766,0.1824908005304694,0.24713478549536538,0.49447395254132565,0.12821759254071463,0.8615891898895965,0.7304238113596625,0.20250572635685904,0.2986066601329471,0.9249645903034954,0.41013539882346095,0.9317184006447776,0.20312335935791648,0.25309247397899093,0.5674843153035106,0.7457086084807479,0.816761453215219,0.7273352664415808,0.946915221711944,0.16092127008671253,0.031194911179588614,0.5441347254808645,0.11185946279104086,0.6685456364318606,0.7329935421701934,0.7645928156134181,0.6311422901589292,0.41893833280999593,0.09287809136525704,0.7949207941357315,0.8522763629671125,0.4665798195272518,0.40260859483143563,0.11143170021686388
Azerbaijan,0.9421983313991115,0.9880176060344195,0.4776044371231337,0.7262287598063913,0.7098099243114091,0.3352359575419154,0.6559414052847431,0.3600227368918545,0.6683775816888482,0.3645375414698403,0.21090348308249596,0.19013264755432202,0.7882690592350069,0.7080023900499014,0.9594999517740375,0.6635723652396426,0.7002549068471986,0.4728557504679872,0.39721587439782235,0.49744667909772833,0.43167514164725085,0.4128721571912778,0.9981751645825762,0.699280297111342,0.9529193392146379,0.23832925420402662,0.10957984412073496,0.3660542828954283,0.7175055949335465,0.5564574204849737,0.2698061940992432,0.8670173742646294,0.10013629908928234,0.33271383858867365,0.864239585780685,0.1569466050163234,0.35148939575493154,0.2822327767749314,0.7740133912125564,0.6520284452592432,0.5502543788838375,0.8632197233024287,0.6292416901572708,0.5442857644753796,0.0972428628496601,0.590382552605537,0.14397403384237184,0.10771545686944295,0.8888604081386369,0.7302987924227323,0.4285662593533054,0.8563083767778975,0.49777816744090086,0.7206393363152069,0.20504230378617072,0.7361344937526467,0.834949070022877,0.709053185752623,0.9816705568904628,0.8566109054861198,0.02525225574036205,0.525154575828842,0.14128690855012305,0.4998786351027369,0.07161585812048943,0.038844543563351985,0.9943715743724665,0.7792492535971078,0.7034575924460796,0.1586417252393496,0.213396822460319,0.7530515039849913,0.7235528881422238,0.16230180233845737,0.7983160336538758,0.5936477962556138,0.2761070550419804,0.2888528805942485,0.652305166023484,0.8644520252851232,0.06585999674673748,0.706959451680966,0.5368362069483186,0.9186259492997264,0.4918491739652311,0.7671526896691264,0.14788654119022893,0.04558860223305983,0.5856766150207506,0.21511056906257764,0.35651230797747857,0.9021455273104034,0.23924303734776076,0.0657211469127913,0.950477410898099,0.4976978325730307,0.3834952786708725,0.3047249048331704,0.7699573330088288,0.25125065471595065,0.6307529315276367,0.04126575982386438,0.3021463803913417,0.18270403715263683,0.02346442402258353,0.46330266669034037,0.8331365147518006,0.0804760493463289,0.14406449367819263,0.024324293244422868,0.7655872562685903,0.09269348858742488,0.9859651761499675,0.3390473344413548,0.5863415430683779,0.9783458439124568,0.4983434650998332,0.8096555262431343,0.19697850815630524,0.7519826890940262,0.805900453172904
Bangladesh,0.530080109997061,0.7497978784615802,0.5653874348731868,0.4735059967172879,0.720510003663451,0.6105181708518737,0.7756575716460264,0.3877804641866178,0.8037718291084818,0.48475207876897775,0.13955158027146775,0.917984160380815,0.2848806656299169,0.4645434346379387,0.7304765474796046,0.659593489683446,0.43284951868422816,0.8203514996373799,0.7956342229286733,0.19318496239971006,0.6804247470874459,0.7918998051924281,0.9102329765320674,0.16736652685971098,0.06112848386922243,0.9233901128891319,0.838091870681875,0.4061263236241641,0.03833404195557921,0.40384978876983946,0.4128642969926801,0.16624693318289374,0.5555488795082801,0.7605493167479837,0.6945471890030188,0.14815729295529823,0.9979928293904161,0.06318303588971064,0.42105232160428707,0.3983119837621437,0.6647728557642872,0.20015791253145143,0.5591809000957716,0.6438354571874322,0.4532514846206003,0.6152733080186963,0.41876179081597054,0.5177724759529646,0.2210974568251396,0.5179182609007108,0.6986658638297855,0.5034724261432408,0.025020346137601512,0.4510448347690661,0.5189303263657773,0.14838471770545658,0.18772037686747578,0.4069233579944179,0.5731109380946761,0.741099319446513,0.7195146008257705,0.660392931738721,0.18934383424695955,0.8756659804255148,0.44022965341520703,0.9649788665450825,0.22075730032464214,0.9635356355583283,0.29928869670627334,0.46782836987322307,0.09001712299089415,0.5676355174028009,0.3642499103422475,0.04328911888510123,0.5463455106793248,0.4876122158218751,0.3732283776060552,0.7586207533009937,0.37500701595935804,0.45326942419995564,0.23030317886020113,0.42315325792974423,0.6796598239054209,0.0045099192907325225,0.28147685050651394,0.16283407921518145,0.9928988085915216,0.03169884424190483,0.9804725076607754,0.856256472094126,0.20383481765197886,0.6158701000792214,0.49352509064655803,0.856305529613379,0.8035228003073935,0.5717708744340309,0.443958907260371,0.9675540579743057,0.2814988461864384,0.8394378018796058,0.2761117856721693,0.8128365328456003,0.2983437854387482,0.3474188748328009,0.18512159415149154,0.6359379135264953,0.8975135241278321,0.9828816444367816,0.6391052890521404,0.2586218878069082,0.8140275145543128,0.7374475472112224,0.5374901546616929,0.3999013283468257,0.25713990912481133,0.5076779451749335,0.17775544640508778,0.8971959841405902,0.9463463878776472,0.8420867623456719,0.945369185198462
Belgium,0.8595572652189672,0.7094878154435018,0.5659566719821446,0.061613678718406284,0.9333839512951508,0.4483167273613965,0.5044077969464632,0.7774427422570901,0.7386966521494872,0.28384075929278285,0.8119811883860444,0.04581151547218143,0.1801018812558538,0.7955130340774818,0.06151605137481442,0.6525604885447556,0.04101558402913641,0.11954878489487408,0.9388281920339584,0.7145372376278157,0.021922126254376062,0.41748609679168514,0.44445683526798385,0.7892573080855108,0.7731792816468368,0.9690479809763549,0.9443538698803455,0.5255637002365167,0.3899956858258593,0.07625190883366162,0.9951251007209078,0.8301184080001142,0.2969922203703399,0.0389962336578068,0.5116673896407822,0.9992128475926564,0.966478698607072,0.3523833019634668,0.530518878204166,0.5938363869357809,0.15402778216022273,0.5990112994717303,0.7009783501593605,0.4375525133522874,0.05345331497358796,0.7825610516707692,0.5444688417867086,0.4697689033523935,0.21021065544525008,0.5225999903869581,0.23019992018322688,0.9774423972827115,0.33651791757650273,0.0046870707960119384,0.08973335825055395,0.8309120064833072,0.7312316005422423,0.9648523668199619,0.2641328367878283,0.7881248312900178,0.7298747994516109,0.34982796976841724,0.5977969010040571,0.4673680392518075,0.6811704588030616,0.529005091539228,0.5175137070677939,0.04764949185127376,0.24510701810580748,0.139012265899078,0.47550298874245767,0.01949486490475527,0.7099280852688757,0.8180406753396839,0.9265252649140975,0.20374206677431506,0.5971754434217453,0.6622199721448782,0.5299763966543765,0.14155207517231816,0.2922679452737532,0.28254016562350825,0.9833859491775152,0.5159225358782625,0.7692450304427567,0.31318977174437257,0.2919136761021843,0.3141469342011811,0.2521270299716232,0.556261949237117,0.7188019528459969,0.7537967919589624,0.5762066256115391,0.5624645582879819,0.16080753220737842,0.8131759165223141,0.5330765277157342,0.8748879647603712,0.8020475238934178,0.6717085472028708,0.9046488744931005,0.803983170149037,0.08927463635786492,0.983341400685887,0.15626507228323128,0.24376882676255385,0.3327174680786108,0.5541995422930655,0.2669655904841871,0.9122952794851523,0.7171941510888251,0.17122287753030518,0.6880318775288359,0.9825459554966256,0.36832397194615296,0.6749195849128219,0.8593650405952031,0.33868699683899806,0.7766257498181526,0.19610161375530621,0.12572653898187924
Benin,0.8352898829178037,0.008486763386430174,0.19256634600002986,0.02623447349607899,0.4619404564711056,0.8777513614721375,0.822041565680714,0.2598701688101165,0.18929723369275275,0.8962580080433311,0.8816764189298051,0.16766824472186204,0.8445738760239269,0.6496960031476089,0.7766452549727558,0.7544192500635666,0.4053331807655143,0.7014713989976739,0.9523558655520113,0.46448594199181326,0.9008022866011974,0.7851691972809103,0.12602713279282862,0.4685564152467546,0.5155647952534328,0.9419766703075358,0.7242800204559825,0.5545180208579749,0.16749093831817374,0.10252436789045516,0.1606063306734009,0.12720748592399356,0.439066184394322,0.09542678148518335,0.2496172075233466,0.431573687921604,0.48610735645190106,0.8049755748987658,0.2901675816906497,0.6467228525675827,0.5968044139679743,0.9264312170204294,0.26302586862647104,0.9149769124756791,0.5345863562246217,0.10196566023444098,0.02724872515279475,0.8610627563631972,0.23415388740347742,0.7690775550035368,0.9020375489635322,0.9263481001801772,0.8333450474570918,0.6751208394883037,0.7685594822234991,0.8952214484779708,0.03492381767461539,0.20088894811226998,0.7229231672607621,0.3609499653921472,0.9003737187558938,0.6305221303162176,0.6563575416220173,0.016054357725850732,0.5724474105118686,0.3515172778189547,0.07668375876885569,0.6485341249010212,0.055112383942385046,0.7404025260416081,0.3214337697833667,0.22506334033094344,0.06268788325509222,0.7108470956903219,0.1628433878325577,0.34935687546619265,0.13706388749222376,0.8035045335227431,0.005075148722329503,0.7710516357229257,0.758718535553974,0.46899777711157853,0.7758350914344265,0.39716790675488134,0.9153523887213177,0.5835396176560189,0.7946546269218865,0.9410151611276147,0.8842838533399467,0.9657503683752388,0.08359237067234337,0.10914956262822029,0.48749215910102406,0.45742591814202826,0.025230388001185933,0.07946496028622951,0.903554812318827,0.860493884396564,0.9166745721922468,0.32987948697357006,0.7038880204365147,0.6327300389838059,0.9589428726365475,0.4080215689632203,0.07146244713242822,0.6685717585367932,0.4763749545281416,0.012886160247142842,0.48442064953952935,0.0050613405053305804,0.08402047368668741,0.16140098464893649,0.002830553660040147,0.46714097919926867,0.9959222528084796,0.6781063686068649,0.5230625975798924,0.9682527688275996,0.17087230686047572,0.5984111768351249,0.3047788715670515
Bhutan,0.46511595605775136,0.752816444647442,0.3658097377406626,0.12656375050237378,0.035101395463508656,0.11787308385293915,0.028380327340147726,0.1351530207199334,0.14315885900527325,0.9751095400502585,0.9901600378948353,0.1600537473511615,0.7182018998806567,0.6679643593449837,0.4824256330839015,0.37443181283091886,0.7501589102002749,0.6937148557114561,0.7123964053070454,0.654530794318502,0.016163422856033116,0.783457215798273,0.19300776841258327,0.4506206713990025,0.2873248801391237,0.5085230785317253,0.25935193786454847,0.8636314436066546,0.8353612380792715,0.42707216680458127,0.8976330659221032,0.06613970052458318,0.01446709352774167,0.2534680199318893,0.20248864414784584,0.056513564855858345,0.8887652750996854,0.7230350869933776,0.417626324020952,0.8318484235026876,0.02784009608940541,0.19561661443047307,0.5366434166906937,0.2702518272003853,0.42579615667110293,0.4148214958776887,0.8244892668920433,0.5763978281966455,0.79500354963459,0.9514473726001846,0.3329561596227626,0.0581164375462907,0.703846578988458,0.19846443725518415,0.9056059325659903,0.29011979764031404,0.2123577063948341,0.9442085696608925,0.976108235783057,0.6147350255279566,0.49403488915872507,0.06663387338020887,0.9264175030908974,0.470752489230962,0.22786108797072202,0.28366161478232066,0.7654958315520555,0.15912577269103512,0.7939845235390459,0.7244597145231135,0.8038629102134822,0.014181500424268467,0.5071351153142618,0.764377092494493,0.11890041411248797,0.7563180486099059,0.384736433488889,0.6861417754735787,0.1799714215228314,0.8965423846671299,0.025731274035251106,0.926213665832022,0.12503127802856084,0.2856441464429369,0.3901396997953551,0.22691128979072028,0.1745400947413417,0.7569435618907204,0.4117406848111653,0.8257797955201707,0.4206914045124832,0.2885827431810203,0.9573298779618792,0.7094717674548087,0.8686090713313358,0.07832707332745148,0.5858357366699657,0.6473231966804897,0.8092317845332478,0.88855622113732,0.8606112640930604,0.7204701145778016,0.9293480663713283,0.10767597611097013,0.46679590253502257,0.5277447747483603,0.6111742447978943,0.9766243338933052,0.9176914870295014,0.39604156608405927,0.6034327272731901,0.6358377947829816,0.21096400956710604,0.9345198599328962,0.4311192419568074,0.0796377481356132,0.6441935685055501,0.6083306891377702,0.05604031827297462,0.0377960167871072,0.5278949453512877
Bosnia and Herzegovina,0.15151413156591187,0.38068037456887527,0.10586204546214772,0.2990443528047536,0.4619408990390623,0.15505309812663315,0.5227303577566278,0.25482025369837513,0.7880273203639174,0.2673796084789992,0.032775599654456866,0.8074624637023914,0.5167246687064946,0.033798554069848996,0.22145452733081494,0.42253232207047065,0.9625632979141692,0.015847968154225955,0.4770172981387367,0.19060624686709626,0.1163109811997819,0.8496926814007444,0.7296165649665076,0.041163428703940075,0.4327300442119524,0.6837421345780138,0.15866205140121592,0.13117162022295226,0.5863618717581761,0.00036985502380415536,0.4533332009334615,0.5307852245338612,0.08901375408055234,0.2989408101713561,0.7709606434689483,0.09021182554115204,0.9076708026396038,0.15712040593674959,0.9317381598811445,0.3225213117975936,0.9096942774849553,0.8949535988916593,0.5436382492741944,0.45193130545726157,0.26269404333068525,0.24713330720970095,0.25243495031871477,0.4078913737782396,0.7920083607472644,0.5280202766655805,0.7459188095374832,0.14663137497406475,0.4120910750552469,0.745155950418764,0.44663909693035386,0.4123826408359609,0.24016382496553612,0.8444251348550869,0.058145928665489954,0.2239334861713288,0.14082096959979484,0.7286448845953096,0.05609044225246851,0.37646634574066307,0.842715789680272,0.45602882427767943,0.07551052267067604,0.22339951718659556,0.39626973941785637,0.8544850654072542,0.9022575470052523,0.7230426427672246,0.6376643259548881,0.15217774658297434,0.7185206000818849,0.9089218871636965,0.865450834769499,0.3952901191487681,0.6064801153059257,0.34440246798038787,0.10865950665892576,0.5302620688332076,0.28586544436096184,0.3212731392382405,0.16681625869747818,0.46186488846279494,0.6761582717809203,0.024543773913592415,0.3731732400910498,0.6970065970832852,0.6157211856990686,0.7833582216925148,0.38547184773414056,0.16953914417559857,0.6901306971194134,0.6973909345588921,0.914206465335975,0.7285966346710638,0.7253367106703564,0.19676440119895688,0.07721099353535354,0.18270235312154548,0.3268239658864488,0.22001766445734683,0.7050287742549607,0.6129095862106825,0.2660927266995664,0.537408269336557,0.1592619175348241,0.47960096838468114,0.1842800848608821,0.7783098624467515,0.21092484242847997,0.6766485323457772,0.4559046094649539,0.2083876030024091,0.8281641276901545,0.5670786531326325,0.8155459156271253,0.8739991363040699,0.47519593965863904
