,Afghanistan,Algeria,Argentina,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Haiti,Honduras,Hungary,India,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Madagascar,Malaysia,Mali,Mauritania,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Niger,Nigeria,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Svalbard,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,USA,Uganda,Ukraine,United Arab Emirates,United Kingdom,Viet Nam,Zaire,Zambia,Zimbabwe
Afghanistan,1,0.8915302743755644,0.44163084068203107,0.796880623955701,0.999251317990946,0.5513150798756963,0.0330394109916029,0.6236104375348117,0.23871211671856996,0.8894688035425488,0.20756478589618632,0.22645158926474518,0.9480585454063072,0.06993818840382549,0.3332020719719767,0.22104555816534144,0.7054699898667683,0.6355944967676423,0.17589043240545055,0.8563050060351881,0.3641483119671849,0.22294047056852573,0.5410481511243567,0.08910104847493872,0.27982170668400586,0.576782956954221,0.44208882224469537,0.22640131902909044,0.7906835835220185,0.41074234957666445,0.6939243981571013,0.8107745437465192,0.1457008884891342,0.19858485694060846,0.3964778357284525,0.18465954374000682,0.9927636527600135,0.4612209763799653,0.33962917505845114,0.4966926809851635,0.2003416166382177,0.43967859002127785,0.17341486052269928,0.15884406480628077,0.35224378255554,0.22590440022607805,0.38345011399472384,0.652505033769751,0.42273102630813,0.43440181460394456,0.44023863541617003,0.06274410007445053,0.9406623252849705,0.3454243175291539,0.1415967147898246,0.86087347167574,0.0355462488698155,0.2586650062994552,0.7813364974970931,0.7903596046388205,0.9753093918605207,0.45593912024374506,0.00918584018059776,0.7072899572237445,0.8497098000931839,0.5669550445088621,0.4604104352074556,0.2346061463207746,0.3037867841000218,0.01482439679657721,0.5124780729421142,0.06899045585333918,0.6968372808887637,0.8449412124880727,0.9514844722981157,0.01950581756182357,0.18015621102332724,0.6635927522430535,0.7321608016491334,0.7485845765980141,0.7047681463326604,0.45567476344416047,0.3667465518082986,0.8404384683739445,0.49169737654962564,0.8323956663452434,0.8061786074049818,0.950666650805214,0.7732380238895362,0.9978428711398816,0.29027480536913886,0.11645736242292282,0.7670150031861972,0.954248840059116,0.9031239654280783,0.38950974538817307,0.27908906265701017,0.4384629687750591,0.3792345360435083,0.40110266109767856,0.9713762250569116,0.44020809503161673,0.30563816562817137,0.914532796175086,0.5224068995729327,0.8813989767602538,0.9344440220120105,0.029072650307323977,0.7301645997666386,0.93680613512244,0.9510113654620267,0.565963949835813,0.015603390195185751,0.4936189041355261,0.38217079349728134,0.9287455787300414,0.35180897923396426,0.8175629087451094,0.661486312334609,0.8515911310245509,0.1934595705013772
Algeria,0.7537771987326769,1,0.37930224209468244,0.5120368561273365,0.5130129756452579,0.580669237993997,0.577479780290055,0.7753140156293059,0.5998670301745409,0.1759069416891036,0.9917737719403156,0.19766340917316616,0.13220764823923814,0.052196347149375044,0.24412698293464452,0.47521851347036537,0.025945473889461335,0.49885638602414883,0.15790875473345745,0.6666992310706373,0.7534758384901846,0.8953366380100155,0.2400263132753082,0.554782900062612,0.342813786899523,0.5601466238201008,0.4879468162279359,0.29838599885600137,0.6789441150297253,0.9486762815383117,0.3603500029095189,0.022753343185192287,0.40348887116362964,0.18915756815637585,0.3479837151898457,0.24922425309323415,0.8980979734658887,0.6635489971720245,0.11356866595892867,0.7317484422913577,0.43592963063602375,0.23595532697421706,0.3371816746964963,0.42915165045981885,0.39488470003014375,0.9207648821116347,0.8196944090627737,0.28628262224023315,0.5057599355999708,0.015256759186182967,0.04412641021506147,0.062024077334462246,0.22587521138791133,0.42575302005071036,0.3575468734721142,0.6450970088846605,0.6623086767975978,0.684691194234564,0.08801367230270818,0.34400281567436963,0.4254015993658341,0.2177859048957349,0.395202605059078,0.4470365530590733,0.3675478521087212,0.12898402789164332,0.638677579337433,0.47271607410417826,0.6588312805353923,0.11904106043910678,0.5205876542367596,0.15481184303518147,0.9873332095084252,0.8441386764458716,0.9865419690614772,0.9166558779827665,0.008767741835566945,0.7480746869676609,0.33833355332766735,0.17797692813686283,0.2945885768452289,0.19076315588773907,0.5828501716580545,0.6351451552600997,0.5305320546446989,0.269786846606779,0.2037508511355195,0.7717358833290968,0.42457702312732826,0.09247287207395993,0.11869690359583962,0.6313422086178982,0.4092116066732967,0.49991868640088744,0.5002751212187516,0.46753368562992426,0.5537188995487334,0.5514367208321094,0.20264600734252114,0.4820940946468265,0.5138733580182543,0.8482512611452938,0.5978819072361109,0.6777346223175184,0.9259187539665267,0.9041180273468616,0.141707615785155,0.3698615971610245,0.14307836484708647,0.4123390195082741,0.8306119201412371,0.9270782365424745,0.8697443598466207,0.972546539537453,0.9276941819464684,0.23272786043011962,0.7118948457316983,0.8903380321225467,0.4482264776939767,0.6038344672427219,0.4603548284860781
Argentina,0.7379850588842053,0.7895316512823563,1,0.044650912036140356,0.2663118511643622,0.4500512562641542,0.6545691935990114,0.5519291250987088,0.1182293614096821,0.7505561002568385,0.6925418013883564,0.2908560312165366,0.03130651620937552,0.6781318903008844,0.5821139190370547,0.5125357073414271,0.11089578556467061,0.4255609130454947,0.6718654111405804,0.9966038754119196,0.14677722145423688,0.6710319522153627,0.32171261110377536,0.06470444236676731,0.05463490551430461,0.8034520795112294,0.41210765414296147,0.44533755937133435,0.6714129392103523,0.7068882550579514,0.8576683451326089,0.08638731750910422,0.19553454023341144,0.24567459041155726,0.5561508203764076,0.836184177663228,0.6796020640938442,0.5437104520721485,0.07920336301160869,0.58925088124074,0.2587530560275725,0.4799656845597612,0.34612772089471666,0.41169813622392415,0.6459825610207532,0.6312679191217613,0.2132979631588806,0.4258003429271364,0.4665298903124724,0.6559730282079381,0.7130356717034476,0.6649646065004605,0.3672415755633137,0.3300848487729289,0.776233209755974,0.6837567292296289,0.29662082105462206,0.7391054028136991,0.8976656996749057,0.5236494093853047,0.5653268587496609,0.2442311483017633,0.9525019560915922,0.8589247503486066,0.5859348189498923,0.858811154860322,0.42898629445164294,0.12627297155172257,0.23385951932607196,0.297128996792445,0.30987730220761933,0.003850463049222097,0.02788388460461788,0.25848592401659864,0.30891284456022405,0.20895548310589396,0.18122736073380097,0.7721141115805216,0.6992592979742779,0.7906253755648344,0.4143039943202913,0.27949722779959163,0.6593035814856482,0.8889469094682368,0.5178073558046116,0.01829024640066168,0.304486057530859,0.6321460645627209,0.5444912979146979,0.09284254888823995,0.7793543513967585,0.20376350713656044,0.567337242401299,0.7420182033171498,0.43577663462298144,0.28454385892577294,0.38114347670921767,0.873768414387901,0.44302991599153907,0.9608022650962044,0.566655620013823,0.8171856790075741,0.27371518072750156,0.8111601649916859,0.16812141279805226,0.2949497297439627,0.8813220445620357,0.7563643567522309,0.9372520115406767,0.23082947274986898,0.19646900522901922,0.9742867633975714,0.8336893552863641,0.10798813102599014,0.9168161678366992,0.3711596186410585,0.3276913258608317,0.9428159903812176,0.5987693532163035,0.6138126643538743,0.8928547760258732
Austria,0.5338261066319759,0.28645744164543263,0.050119742967962955,1,0.5510969587309658,0.7184513147972371,0.07534517497598248,0.7936907058530206,0.45056981824046827,0.29148837465867194,0.6417184172250109,0.3264081833775121,0.7884175152331929,0.09700937402223908,0.15976574663077314,0.6213453665656701,0.9144357920073181,0.7482985353211492,0.027222260930397035,0.2846401343317385,0.46993939210752744,0.06224221715625666,0.9752550188356367,0.5436321711246908,0.7671653925910723,0.4497660932937906,0.9159700847556791,0.06587660180634036,0.1436198465748575,0.7035436208529345,0.5133074301420649,0.6704870492772808,0.715958239936919,0.3338367032414866,0.03568436798087282,0.8584155952059831,0.002982493488628446,0.7201692818433094,0.8309171439550289,0.672004082505184,0.32810569493367847,0.39073493006192095,0.3940338841006613,0.2917958524090549,0.7349346278376313,0.00960205800995273,0.6083334291257172,0.1789077053743101,0.5370196873976448,0.15631119172029895,0.7240987311671779,0.5695471560464219,0.944377938977997,0.4447122262772324,0.5538275393483505,0.7207509122986271,0.06597335711952002,0.8358918634820534,0.8465945170572793,0.8598212945814327,0.6056234582682316,0.9704417085383787,0.9567304387235905,0.40729730823531785,0.02003090897776283,0.5734287700711362,0.5906963855260138,0.0033194023920335436,0.3820748285812269,0.5519629013417168,0.4822470387220259,0.41923475805986166,0.206414143958629,0.7752632482154826,0.07349799864170481,0.1290122329172667,0.02686665454413084,0.809537793479133,0.5293831171492787,0.5395176891439936,0.2604965993655224,0.16307284143293266,0.6653536825853306,0.8698083510062312,0.5487366342402316,0.3445581621842084,0.8463959257626849,0.45381443623391515,0.8523490960115241,0.14724014153939602,0.4159246991808103,0.055207211546728474,0.41294111844366355,0.7105466875406687,0.08159763493692385,0.9036585210790516,0.13867855720222566,0.7398262510538626,0.5096822970272062,0.22592674520129563,0.5432412937184464,0.18826220349394296,0.1894712339147765,0.11193629405015637,0.8597714663555811,0.7716410266681972,0.3193128032649436,0.3854636208232384,0.31332304647466336,0.2046025537086401,0.8000686190813211,0.11055078469864699,0.44327352665891295,0.044056416216082694,0.9093171143924229,0.00799922750454507,0.005494833448941749,0.6919694964926791,0.9504483412930489,0.10205919912697303,0.4439927960607021
Azerbaijan,0.972585682856256,0.5627256174190833,0.07817461432167283,0.8806110653082198,1,0.5683776916910284,0.20845155654356007,0.13395882622145483,0.47000670286616275,0.9770386564112874,0.287786890835546,0.7674029632163524,0.5465590901481301,0.9635285461090475,0.2606381714565865,0.8315739811469495,0.8220654182740651,0.3756608541729395,0.5636880069498268,0.3124759879793484,0.9377878004511598,0.5029060387544101,0.5410499769754581,0.7597163561662635,0.4517634562799211,0.6622125438294818,0.7641583928490069,0.6717127947605502,0.20056833547690567,0.12295153538091963,0.15052662575827458,0.21419664433437224,0.2792622026645917,0.9295815764300713,0.4525834979538348,0.7249485459505283,0.20401763975076181,0.05510717423393596,0.4961358768295341,0.4078168401450397,0.8794148239963774,0.5572776547986192,0.5615788280881499,0.7969532733788787,0.7062059934771395,0.9318835418350083,0.16738965793338922,0.20517930051560207,0.07958332153817271,0.06997626099885845,0.2538198399674291,0.1424603875008177,0.8354230391933437,0.09105609706625795,0.12832776411088476,0.6023476516303817,0.47547976655997115,0.40343383388175935,0.7814060003586626,0.21077645862430816,0.6038179275998269,0.25577075631346813,0.5100105157669342,0.9284935106563875,0.1832610681307092,0.7522604665368618,0.9691836948980037,0.4934931654030821,0.31227216839375016,0.29648885878534226,0.23095415108079953,0.0855211810373947,0.028558790600281103,0.10722787166693803,0.5484355991219981,0.12306295319296179,0.82815672165279,0.19944220730573115,0.6887003768822483,0.016029623003583016,0.17143231241099655,0.9226287574738462,0.4422962445101307,0.8304112282663855,0.42547340022872915,0.548578010802619,0.5251340878652067,0.9853445350263151,0.6691332556473465,0.6453076507347562,0.1885275869514762,0.2177371172851954,0.9275294207808296,0.03739338880765142,0.21342554078671372,0.37408441697330985,0.19908872821187285,0.9302755312408618,0.04942808436642476,0.06684195955015859,0.19601022579744343,0.3983427732995888,0.16781496625877612,0.011224896861163125,0.6714822209637858,0.7842117693529718,0.3210623526556454,0.3917329015547776,0.7510090273619856,0.9412423376785828,0.001517619689409,0.03195212936840841,0.9395380847787828,0.8819522316404239,0.24854091732312533,0.4767691164038059,0.2595121455498357,0.6832044964531453,0.36802127646706095,0.48249402484393633,0.05576106235072187
Bangladesh,0.5302868917514594,0.0679159915312586,0.3830748009561996,0.23366742181795164,0.6589341710791364,1,0.3031993613515308,0.5016160460886441,0.6995134406833374,0.37553195209571866,0.9603012494769164,0.09382681814591631,0.703739043857481,0.2300500562705753,0.7857102961133563,0.7049904933615713,0.5928421312854969,0.5298305579769061,0.22221344660731002,0.8187198086366504,0.707269320659311,0.1478842108949664,0.843605487471088,0.35354131848084325,0.04316593552172654,0.6511171853946967,0.05626704061682786,0.07045054966242081,0.7583146241046803,0.6551824343033629,0.3808724849137044,0.5723112131725505,0.9803231289189543,0.8483202493572745,0.346657679441552,0.6749865422507292,0.5828042733604214,0.20997640156704334,0.6340343943358533,0.3057493773287814,0.6013999564086172,0.18499929377877677,0.04640184863244401,0.5880036269634676,0.07291879986918282,0.7430182940690551,0.7541415919243726,0.5371736096628519,0.016035678090720262,0.26789933119712606,0.6239328477154275,0.9716652509011438,0.7219194057410186,0.44876918507558894,0.3362990688913291,0.43414695851724106,0.4760098388546401,0.7157295440536253,0.3132440700746496,0.5270466540734293,0.9247788150369001,0.9204340996795987,0.9703540344483549,0.4657570448766981,0.5076098404469894,0.21676098987704828,0.11817786093209592,0.30458136888779064,0.1206141849794744,0.4791607767673838,0.36620480568822433,0.3593892060192033,0.23703516941527392,0.4980290080651103,0.6880703656064774,0.5859309084694685,0.9398355303169909,0.5533234902552714,0.6203191735708021,0.2863875540673566,0.2996425721202891,0.6166285647518689,0.2901314824699368,0.40073017352250373,0.09296354615023938,0.46433219115129987,0.2856851106616247,0.1678931200477889,0.1850790319579807,0.07795934996143883,0.3743172359176976,0.08890825090551269,0.7672918783940493,0.7441693571598377,0.441524156348427,0.08567926121469704,0.6189832432202823,0.5948489134852383,0.11296917147013319,0.8394592532945107,0.08504925215904313,0.06041771886434999,0.9190306238753085,0.2107417192947112,0.7074538710548619,0.8014161441875773,0.8736886664376851,0.14582368211014363,0.0525076933932187,0.31809372589686946,0.8835532179664723,0.26716099831719065,0.21924826264335306,0.5366467973752629,0.32882275079413226,0.6767145062907786,0.8633241507104674,0.16057482714187432,0.5293837914135269,0.7223335538475525,0.3186491300031047
Belgium,0.4158148419200992,0.20148138807584293,0.0685173504134714,0.31873823641443544,0.9998070392084938,0.04365194834320696,1,0.2761254182962818,0.11255344287525626,0.20720307009047967,0.6817513742231167,0.8642917096416928,0.6610597584666709,0.30252897729933514,0.6364030160530356,0.4927450983304106,0.18416566115098842,0.44955110761437533,0.9533368758830497,0.4333481570649964,0.7759540203713766,0.4953782401833666,0.0899122768559284,0.17806219202558715,0.024474630511744144,0.34041975159886273,0.6202119243692901,0.41445218394473893,0.9394307482907002,0.13327225267360188,0.547932471323291,0.6554803979879885,0.27944573517923965,0.7503816210530705,0.0173592381242359,0.5127445241742868,0.6595334276653604,0.6600982977144049,0.26186264890683775,0.4160979534390805,0.2882455960806144,0.13354068356418225,0.9273960415067636,0.08757737589204306,0.6119300864409234,0.5861232419121835,0.27484834516485346,0.9270540530700909,0.06278324534384228,0.8748329304013138,0.4886236144418107,0.05450412614502964,0.1132405731398376,0.8099260853668678,0.4237063022475782,0.2470938595339529,0.5684313876680233,0.2859271990240356,0.8334923596242299,0.24664047438795633,0.9752179184214838,0.053860887334924556,0.35683252802897114,0.6133845329210579,0.7727262992293296,0.0006860897024807411,0.6510584986871201,0.5274970872943107,0.636179170636378,0.22999672723235964,0.18875169902237277,0.6439625281751964,0.8318655178146354,0.30598642317951785,0.3558550991595809,0.8819031760666856,0.21003821152666202,0.820028672482561,0.19632818790286277,0.6651465851865677,0.6365146065985198,0.894557140594048,0.7782970658362781,0.3247556105480571,0.8896750188192608,0.1215244243911322,0.7159632064052287,0.05157995841641738,0.8932336073893336,0.10069205651733004,0.4325109279166084,0.7390407916781047,0.10161581915298834,0.5314179782793904,0.785272379632071,0.5668640786344185,0.1723936988042436,0.6007810519454618,0.13287708980694013,0.4587074061633062,0.6084196651771439,0.9341358134417357,0.6858950798709044,0.9410477517458461,0.1259796459312884,0.1591034351153474,0.8233334259838042,0.5587746208262245,0.20558125534007599,0.7142042076786708,0.21656245261177576,0.3438105198398246,0.555834127495955,0.4672903088396818,0.8511473401734623,0.40751502090587977,0.9428341860642923,0.9318367089366837,0.07678027158690603,0.45134953507879405,0.9151550388852343
Benin,0.46904922674440375,0.4226152902218714,0.08410934728033292,0.4072181832495415,0.07449012612607997,0.8795102995493103,0.40880869143743304,1,0.7535490436305993,0.8990700590941485,0.47532589321040597,0.3548131589099437,0.8929491900276221,0.5775385857190066,0.5219582059626584,0.2502233050758149,0.7585324773487784,0.09670292338898523,0.7311276002443979,0.48255134485027984,0.8548746648401363,0.07890948344870319,0.06975886252879115,0.21701347053964581,0.7901012753661982,0.6288550177145767,0.18620817013409718,0.30057054594963073,0.531052093341436,0.16929054057031112,0.032224472571547924,0.0954760862755164,0.7169248623972715,0.41616975811482704,0.17338137423041855,0.4505616174905276,0.5123311144158483,0.11179248051855384,0.4897432495120606,0.9938634585787305,0.6560493634182075,0.3908376325774856,0.2125829520669401,0.386479783295131,0.40006717775205436,0.16424085399221422,0.9532817021656149,0.3026026950913677,0.17406410343348977,0.5481513577149151,0.15860682882142885,0.7178361541347574,0.9513049755354762,0.22528679703024734,0.6067730753660541,0.3744335870247093,0.8896688696153301,0.11468718405821965,0.6269303557075625,0.2947510349909197,0.9940224155196316,0.2515519076093157,0.9022033568063063,0.3614786384755968,0.889794542223169,0.33765022440450543,0.3207689219083083,0.0745831972966009,0.15870083811278657,0.5119327555836405,0.46794928650126,0.8841356350125852,0.3730406139159599,0.6575376634699206,0.012658572642751609,0.005240995464727671,0.4602610770354887,0.0015766981384450762,0.16504770911705346,0.8947441554391633,0.30757662474194836,0.189720146955758,0.40750483380412983,0.7478241988438004,0.9014163373889135,0.9847434571234776,0.8085759727767706,0.25020529093191246,0.8297714011180807,0.9856202147950088,0.6235023128970697,0.33077046376016384,0.7857964804273755,0.11786875132904762,0.4928656609323542,0.45275007508777054,0.300657202244645,0.609552656828024,0.5295527132769108,0.12005314068850359,0.7025252614604448,0.8909368283695956,0.15944385987537968,0.7248869391207339,0.12508975482228568,0.5942494832276723,0.13200215361945988,0.5710492255106634,0.06148507747927667,0.3561248753972235,0.94898078794256,0.13815187469819312,0.7545582154370328,0.09829243808091037,0.0593453576446783,0.815185199029789,0.38768693162915213,0.45958999098184283,0.23687267915981236,0.2136942718433834,0.24155461577395076
Bhutan,0.4928916598683797,0.2794427598728848,0.690347373129236,0.3235210751175699,0.82635082708568,0.5004519529374296,0.6947164568753587,0.4320203925370394,1,0.513650313660851,0.2875505053315066,0.40410696013090985,0.7708776486943039,0.79328599121643,0.11099130728278772,0.7849042207147455,0.5944453289075647,0.6289491554684579,0.8877071613473029,0.6756032148698913,0.9565818994783012,0.7147902965389236,0.886231440590621,0.987319136864862,0.1960129935432623,0.9838761080993338,0.06722684191581252,0.6217489610138875,0.13328852020897253,0.36038263291412076,0.697883882193576,0.2745533278534892,0.8732951990301555,0.7789792982024273,0.5747816052031226,0.8726548151224824,0.3843402802809457,0.2916332269867701,0.3819148604392707,0.5214292258790034,0.30579602625530533,0.9296214497594693,0.027821229415012638,0.6188814542333769,0.0168323352921258,0.6188970894850983,0.8290006362298039,0.16758260140359338,0.7269745664607298,0.017992948205711734,0.6221932633185729,0.9561330430096232,0.9438065924332686,0.7725375807950534,0.9331942461809879,0.1442226011364911,0.8359167121536768,0.5087487088724919,0.13027374535846414,0.18975490521039406,0.7171110175655694,0.8660636421176816,0.11036429443545981,0.011332787825461987,0.6405281732166835,0.11242337663416735,0.39939380812621494,0.6064260724013922,0.0020797574592061885,0.13182706418185242,0.31482824436373713,0.7499412129513597,0.09867824114645418,0.7934905419147857,0.849503053908136,0.01509700432955463,0.9989124096694526,0.8123291421161122,0.7514121598363566,0.13906880069444394,0.34173918096787925,0.40262156588150844,0.2813136950591161,0.7562800735565433,0.7283155567517866,0.6517122637483628,0.7306726858186617,0.03439918213703086,0.6084764581820243,0.6581988663597991,0.6044536503253897,0.9628675954520441,0.48331836400919326,0.4258445607356982,0.3440361468141032,0.44475727218193783,0.5746068128129561,0.9288748253479738,0.3519266357919756,0.7363286347794508,0.31400970901553704,0.21704148088681907,0.009278641366953777,0.829402601823577,0.8258023046138856,0.456970012165955,0.30990370272813317,0.13608743319298044,0.9369749192984809,0.0050028133076779335,0.08089291543792432,0.30415097776588784,0.4561455092628389,0.5464151252440098,0.22173631650388037,0.9855536866973492,0.16029742949557568,0.5430509545140111,0.4550593088405823,0.31949190830232144,0.803216925924467
Bosnia and Herzegovina,0.06218745072361276,0.5514543202005519,0.40909526806496876,0.37436925679852895,0.35690101809899255,0.7757673310737615,0.9290296797355078,0.9811570444178335,0.03913364542430886,1,0.7649672253087036,0.9258723777403883,0.5565842702150902,0.5337665753144338,0.9502414191865073,0.46164928135224426,0.8234060129907841,0.5922540935345065,0.34957900932329133,0.6314571103537153,0.57876600773493,0.4084677683183445,0.6404649630301452,0.2906713282225183,0.13758423347691606,0.7783360629921786,0.957974566045453,0.40011715325954633,0.644056055755094,0.9671657511361769,0.07878189780074096,0.166703694665557,0.30447371985930827,0.12442351149630826,0.8844657058751486,0.24080647902187569,0.8586273857569915,0.45818302393313526,0.9532217281785446,0.11857178966728255,0.20670997043307604,0.03895455914986512,0.7725156951643914,0.46324335370586145,0.5000156404863166,0.7557535013300252,0.7352347182899647,0.3746774665648127,0.26559952997832426,0.23595134672336016,0.803122002897959,0.21727257741681394,0.28133429763255247,0.8912074381209096,0.10102869633287737,0.9780961470691729,0.6245927327555806,0.22045002178133655,0.35737799540033977,0.5456169981207553,0.5754370792622879,0.486728609713846,0.20128633087065229,0.34105995717357485,0.2808248017547098,0.4670440281749296,0.29912290330171554,0.13264756409828027,0.5270994093932707,0.06676826895728183,0.07712858011084656,0.732793714990207,0.7804527680985793,0.9960368628836535,0.8798155996690089,0.01223067150877366,0.8199471206809557,0.14350817523708992,0.43144656394087855,0.44782316409105016,0.10490257510863221,0.8447815696263142,0.3063689425323791,0.10101240149295687,0.05283392186267821,0.9322206066581988,0.28776048149830824,0.828173021224092,0.39869808270828244,0.5430180551566931,0.9165622511056206,0.5366026285376223,0.5750476595599467,0.1986507998327277,0.23401392888717698,0.6122954836051422,0.6861162830250584,0.10661041371986002,0.667158088115261,0.13206537553136333,0.005012843802624345,0.21477778180318152,0.8248712643574563,0.6092527753598319,0.2518188082719369,0.8755164313460253,0.7600589967843769,0.3197857523800872,0.7175553560343242,0.32141581781924855,0.4266739969031855,0.2865374689187612,0.1277836241630309,0.22848042735117413,0.6693616884598773,0.9155379597312594,0.9559957099601837,0.2182307952556869,0.5435387823621081,0.46785436600067454,0.4841235452894169
