id,Country
AZ4030_2005_5,Arizona
AZ1968_2004_5,Arizona
AZ7590_2005_5,Arizona
CA237_2002_5,California
CA29_2002_5,California
CA9242_2002_5,California
CAO120_2002_5,California
CA0253_2003_5,California
CA148_2004_5,California
CA6860_2004_5,California
CA0100_2005_5,California
GA31940_2004_5,Georgia
GA36568_2004_5,Georgia
IA042_2005_5,Iowa
IA381_2005_5,Iowa
IA543_2005_5,Iowa
MI1251_2003_5,Michigan
MI1271_2003_5,Michigan
MI1406_2003_5,Michigan
MI1586_2003_5,Michigan
MI1672_2003_5,Michigan
MI1833_2003_5,Michigan
MI782_2003_5,Michigan
MI784_2003_5,Michigan
MI1209_2005_5,Michigan
MI1328_2005_5,Michigan
MI1865_2005_5,Michigan
MI1905_2005_5,Michigan
MI399_2005_5,Michigan
MI596_2005_5,Michigan
NJ104_2005_5,NewJersey
NJ1049_2005_5,NewJersey
NJ1212_2005_5,NewJersey
NJ511_2005_5,NewJersey
NJ949_2005_5,NewJersey
VA1623_2004_5,Virginia
VA2057_2004_5,Virginia
WA0355_1999_5,Washington
WA369_1999_5,Washington
WA052_2000_5,Washington
WA173_2000_5,Washington
WA267_2000_5,Washington
WA1043_2003_5,Washington
WA1087_2003_5,Washington
WA1159_2003_5,Washington
WA016_2004_5,Washington
WA1455_2004_5,Washington
WA1586_2004_5,Washington
WA1596_2004_5,Washington
WA1625_2004_5,Washington
WA50_2004_5,Washington
WA1770_2005_5,Washington
WA1833_2005_5,Washington
WA1858_2005_5,Washington
WA2017_2005_5,Washington
CA16461_2002_5,California
CA0077_2003_5,California
FL701_2003_5,Florida
FL854_2003_5,Florida
GA60243_2005_5,Georgia
MI1625_2005_5,Michigan
NJ2262_2005_5,NewJersey
TN132_2004_5,Tennessee
TN269_2004_5,Tennessee
TN33_2004_5,Tennessee
TX4843_2003_5,Texas
TX6070_2003_5,Texas
TX2356_2004_5,Texas
TX5276_2004_5,Texas
TX5751_2004_5,Texas
TX5976_2004_5,Texas
AZ1838_2005_5,Arizona
AZ5392_2005_5,Arizona
AZ7771_2005_5,Arizona
ID7227_2005_5,Idaho
ID7232_2005_5,Idaho
TN183_2004_5,Tennessee
TN410_2004_5,Tennessee
WA0524_1998_5,Washington
WA1617_2004_5,Washington
WA2085_2005_5,Washington
FL1024_2001_5,Florida
FL845_2001_5,Florida
FL905_2001_5,Florida
FL978_2001_5,Florida
FL1165_2004_5,Florida
TX4904_2002_5,Texas
TX5433_2003_5,Texas
TX4350_2004_5,Texas
ID7376_2005_5,Idaho
FL769_2003_5,Florida
GA7034_2003_5,Georgia
TX6197_1998_5,Texas
TX5565_2000_5,Texas
TX5512_2002_5,Texas
TX5850_2002_5,Texas
TX6127a_2003_5,Texas
AZ2953_2004_5,Arizona
CA2070_2003_5,California
CA06_2004_5,California
FL1078_2001_5,Florida
FL331_2001_5,Florida
ID7198_2005_5,Idaho
ID7261_2005_5,Idaho
WA1502_2004_5,Washington
ID7233_2005_5,Idaho
WA2020_2005_5,Washington
MI1100_2005_5,Michigan
MI1367_2005_5,Michigan
TN39_2004_5,Tennessee
AZ2857_2004_5,Arizona
CA828_2004_5,California
CA957_2004_5,California
FL1384_2001_5,Florida
AZ1258_2004_5,Arizona
CA2167_2003_5,California
IN1657_2004_5,Indiana
TX5168_2004_5,Texas
CA178_2003_5,California
AZ2405_2005_5,Arizona
AZ2579_2005_5,Arizona
AZ3086_2005_5,Arizona
AZ6914_2005_5,Arizona
AZ982_2005_5,Arizona
CA0408_2002_5,California
CA0052_2003_5,California
CA0299_2003_5,California
CA15822_2003_5,California
CA15824_2003_5,California
CA1984_2003_5,California
CA2132_2003_5,California
CA268_2003_5,California
CA3054_2003_5,California
CA46_2003_5,California
CA1032_2004_5,California
CA96_2004_5,California
FL148_2004_5,Florida
GA093_2004_5,Georgia
GA112_2004_5,Georgia
GA135_2004_5,Georgia
GA187_2003_5,Georgia
MS076_2004_5,Mississippi
MS079_2004_5,Mississippi
TX5775_2003_5,Texas
TX5922_2003_5,Texas
TX6344_2003_5,Texas
TX7244_2003_5,Texas
TX5603_2004_5,Texas
AZ2609_2004_5,Arizona
CA141a_2003_5,California
AZ2408_2005_5,Arizona
AZ2472_2005_5,Arizona
CA09_2002_5,California
CA0115_2003_5,California
CA6795_2003_5,California
CA0515_2004_5,California
GA31217_2004_5,Georgia
GA31320_2004_5,Georgia
GA31454_2004_5,Georgia
GA32492_2005_5,Georgia
ID7318_2005_5,Idaho
IN1128_2004_5,Indiana
IN141_2004_5,Indiana
IN144_2004_5,Indiana
IN1515_2004_5,Indiana
IN833_2004_5,Indiana
IN845_2004_5,Indiana
IN121_2005_5,Indiana
IN133_2005_5,Indiana
IN1363_2005_5,Indiana
IN272_2005_5,Indiana
IN313_2005_5,Indiana
IN646_2005_5,Indiana
IN902_2005_5,Indiana
MI1957_2003_5,Michigan
MI1966_2003_5,Michigan
MI2114_2003_5,Michigan
MI2155_2003_5,Michigan
MI738_2003_5,Michigan
MI639_2004_5,Michigan
NJ1510_2005_5,NewJersey
NJ1548_2005_5,NewJersey
NJ1609_2005_5,NewJersey
NJ1681_2005_5,NewJersey
NJ1772_2005_5,NewJersey
NJ1793_2005_5,NewJersey
NJ1916_2005_5,NewJersey
NJ2027_2005_5,NewJersey
NJ2091_2005_5,NewJersey
NJ2282_2005_5,NewJersey
NJ2304_2005_5,NewJersey
NJ2305_2005_5,NewJersey
NJ2367_2005_5,NewJersey
NJ2405_2005_5,NewJersey
NJ2452_2005_5,NewJersey
NJ2605_2005_5,NewJersey
NJ2938_2005_5,NewJersey
TN103_2005_5,Tennessee
TN126_2005_5,Tennessee
TN259_2005_5,Tennessee
TN822_2005_5,Tennessee
VA1716_2002_5,Virginia
VA964_2002_5,Virginia
VA245_2003_5,Virginia
VA579_2003_5,Virginia
VA3448_2004_5,Virginia
VA1548_2005_5,Virginia
VA1597_2005_5,Virginia
VA190_2005_5,Virginia
VA2275_2005_5,Virginia
WA1086_2003_5,Washington
WA1459_2004_5,Washington
WA2028_2005_5,Washington
WA2102_2005_5,Washington
CA33_2004_5,California
GA32657_2005_5,Georgia
IN362_2005_5,Indiana
IN427_2005_5,Indiana
TN272_2004_5,Tennessee
TN209_2005_5,Tennessee
TN80_2005_5,Tennessee
TX5798_2003_5,Texas
TX5943_2003_5,Texas
TX5987_2003_5,Texas
TX6151_2003_5,Texas
TX4881_2004_5,Texas
TX5739_2004_5,Texas
TX5742_2004_5,Texas
TX5975_2004_5,Texas
TX6083_2004_5,Texas
TX5275_2002_5,Texas
VA1333_2000_5,Virginia
VA1340_2001_5,Virginia
VA399_2001_5,Virginia
VA679_2001_5,Virginia
VA1787_2002_5,Virginia
VA1924_2002_5,Virginia
VA200_2002_5,Virginia
VA1198_2004_5,Virginia
VA1973_2005_5,Virginia
VA2002_2005_5,Virginia
VA546_2005_5,Virginia
AZ2944_2005_5,Arizona
CA32_2001_5,California
CA030_2002_5,California
CA068_2002_5,California
CA217_2002_5,California
CA25_2002_5,California
CA3872_2002_5,California
CA545_2002_5,California
CA2586_2003_5,California
CA281_2003_5,California
CA48_2003_5,California
CA7979_2003_5,California
CA0579_2004_5,California
CA335_2004_5,California
CA47_2004_5,California
CA4287_2005_5,California
IN520_2004_5,Indiana
IN669_2004_5,Indiana
TN310_2004_5,Tennessee
TN59_2004_5,Tennessee
TN898_2005_5,Tennessee
TN977_2005_5,Tennessee
TX6362_2003_5,Texas
TX6464_2003_5,Texas
TX2130_2004_5,Texas
TX4688_2004_5,Texas
TX5370_2004_5,Texas
TX5427_2004_5,Texas
TX5695_2004_5,Texas
TX6295_2004_5,Texas
VA484_2004_5,Virginia
FL1010_2002_5,Florida
FL1191_2002_5,Florida
FL527_2002_5,Florida
FL879_2002_5,Florida
FLLi04_2004_5,Florida
TX5960_2002_5,Texas
TX6706_2002_5,Texas
TX4500_2003_5,Texas
TX3054_2003_5,Texas
ID7275_2005_5,Idaho
ID7282_2005_5,Idaho
ID7285_2005_5,Idaho
ID7360_2005_5,Idaho
WA0323_1997_5,Washington
WA0410_1997_5,Washington
WA341_1997_5,Washington
WA580_1998_5,Washington
WA0353_1999_5,Washington
WA161_2000_5,Washington
WA1066_2003_5,Washington
WA1185_2003_5,Washington
WA1347_2004_5,Washington
WA1400_2004_5,Washington
WA1955_2005_5,Washington
WA1991_2005_5,Washington
FL732_2001_5,Florida
FL673_2003_5,Florida
FL792_2004_5,Florida
FL793_2004_5,Florida
FL942_2004_5,Florida
TX5419_2003_5,Texas
TX6265_2003_5,Texas
AZ6954_2005_5,Arizona
CA120_2005_5,California
CA6054_2000_5,California
CA3974_2001_5,California
CA2306_2004_5,California
CA4262_2004_5,California
CA6846_2004_5,California
CA0044_2005_5,California
WA1316_2004_5,Washington
CA7629_2003_5,California
WA1890_2005_5,Washington
IN90_2005_5,Indiana
AZ2991_2004_5,Arizona
CA62_2002_5,California
AZ2407_2004_5,Arizona
AZ4490_2005_5,Arizona
CA286_2002_5,California
CA3481_2002_5,California
CA414_2002_5,California
CA114_2003_5,California
CA49_2004_5,California
CA9999_2004_5,California
VA2446_2003_5,Virginia
FL724_2003_5,Florida
TX5929_2003_5,Texas
CA2149_2003_5,California
CA2022_2004_5,California
CA164_2005_5,California
GA31526_2004_5,Georgia
GA5162_2005_5,Georgia
IA429_2005_5,Iowa
IN279_2004_5,Indiana
IN304_2004_5,Indiana
IN1487_2005_5,Indiana
TN169_2004_5,Tennessee
TN107_2005_5,Tennessee
TN186_2005_5,Tennessee
TX3775_2002_5,Texas
VA1615_2005_5,Virginia
VA1700_2005_5,Virginia
AZ360_2005_5,Arizona
AZ468_2005_5,Arizona
AZ7773_2005_5,Arizona
CA141_2002_5,California
CA0030_2004_5,California
CAO42_2004_5,California
CA0057_2005_5,California
FL1079_2001_5,Florida
FL1318_2002_5,Florida
FL2369_2003_5,Florida
FL385_2003_5,Florida
FL1002_2004_5,Florida
FL2835_2004_5,Florida
FL333_2004_5,Florida
FL412_2004_5,Florida
FL542_2004_5,Florida
FL967_2004_5,Florida
TX5638_2003_5,Texas
TX6224_2003_5,Texas
TX6820_2003_5,Texas
TX6989_2003_5,Texas
TX5218_2004_5,Texas
TX5573_2004_5,Texas
TX6127b_2004_5,Texas
TX6604_2004_5,Texas
TX7040_2004_5,Texas
TX3545_2004_5,Texas
