node	Loc	RTK70R
ROOT	Central Africa	sensitive
AY253307	East Africa	sensitive
node_3616	Central Africa	sensitive
node_2	Central Africa	sensitive
node_3615	Central Africa	sensitive
MF373128	Europe	sensitive
node_1	Central Africa	sensitive
HM119880	Central Africa	sensitive
node_3614	Central Africa	sensitive
EU248524	Europe	sensitive
node_0	Central Africa	sensitive
node_22	Central Africa	sensitive
node_3613	Central Africa	sensitive
FR666658	Central Africa	sensitive
AM041002	Central Africa	sensitive
node_19	Central Africa	sensitive
node_21	Central Africa	sensitive
node_25	Central Africa	sensitive
node_3612	Central Africa	sensitive
KM050580	Central Africa	sensitive
node_18	Central Africa	sensitive
KU168263	Central Africa	sensitive
KU168263	Europe	
KU168263	South Africa	
KU168263	Southern Africa ex SA	
node_20	Central Africa	sensitive
GQ433821	Central Africa	sensitive
node_24	Central Africa	sensitive
node_26	Central Africa	sensitive
node_3611	Central Africa	sensitive
node_12	Central Africa	sensitive
node_17	Central Africa	sensitive
KM050254	Central Africa	sensitive
KM049982	Central Africa	sensitive
GQ433869	Central Africa	sensitive
node_23	Central Africa	sensitive
KM050663	Central Africa	sensitive
AJ578177	Europe	sensitive
node_37	Central Africa	sensitive
node_3610	Central Africa	sensitive
node_10	Central Africa	sensitive
node_11	Central Africa	sensitive
HM119675	Central Africa	sensitive
node_16	Central Africa	sensitive
JF683755	Europe	sensitive
HM119832	Central Africa	sensitive
node_32	Central Africa	sensitive
node_36	Central Africa	sensitive
node_41	Central Africa	sensitive
node_3609	Central Africa	sensitive
KM050083	Central Africa	sensitive
node_9	Central Africa	sensitive
KM050754	Central Africa	sensitive
KM050502	Central Africa	sensitive
node_14	Central Africa	sensitive
node_15	Central Africa	sensitive
HM120073	Central Africa	sensitive
node_31	Central Africa	sensitive
node_33	South Africa	sensitive
node_35	Central Africa	sensitive
KM050739	Central Africa	sensitive
node_40	Central Africa	sensitive
node_40	South Africa	
node_120	Central Africa	sensitive
node_3608	Central Africa	sensitive
node_7	West Africa	sensitive
node_8	Central Africa	sensitive
KM050570	Central Africa	sensitive
node_13	Central Africa	sensitive
HM119844	Central Africa	sensitive
HM120045	Central Africa	sensitive
node_29	Central Africa	sensitive
node_30	Central Africa	sensitive
AY136970	South Africa	sensitive
AY136971	South Africa	sensitive
HM119802	Central Africa	sensitive
node_34	Central Africa	sensitive
AY196503	South Africa	sensitive
node_39	Central Africa	sensitive
node_39	South Africa	
node_54	Central Africa	sensitive
node_119	Central Africa	sensitive
node_191	Central Africa	sensitive
node_3607	Central Africa	sensitive
node_5	West Africa	sensitive
node_6	West Africa	sensitive
KM050311	Central Africa	sensitive
AY032091	North America	sensitive
HM119976	Central Africa	sensitive
AY165209	Europe	sensitive
HM119839	Central Africa	sensitive
node_28	Central Africa	sensitive
KM050514	Central Africa	sensitive
HM119789	Central Africa	sensitive
HM119741	Central Africa	sensitive
HM119774	Central Africa	sensitive
EF602237	South Africa	sensitive
node_38	East Africa	sensitive
KM050691	Central Africa	sensitive
node_53	Central Africa	sensitive
node_61	Central Africa	sensitive
node_118	Central Africa	sensitive
node_122	Central Africa	sensitive
node_190	Central Africa	sensitive
node_203	Central Africa	sensitive
node_3606	Central Africa	sensitive
node_3	Europe	sensitive
node_4	West Africa	sensitive
AY140617	West Africa	sensitive
AJ583739	West Africa	sensitive
FJ445732	Southern Africa ex SA	sensitive
node_27	Central Africa	sensitive
KX907384	East Africa	sensitive
KX907356	East Africa	sensitive
node_51	Central Africa	sensitive
node_52	Central Africa	sensitive
node_56	Central Africa	sensitive
node_60	Central Africa	sensitive
node_103	Central Africa	sensitive
node_117	Central Africa	sensitive
HM120032	Central Africa	sensitive
node_121	Central Africa	sensitive
node_183	Central Africa	sensitive
node_189	Central Africa	sensitive
node_200	Central Africa	sensitive
node_202	Central Africa	sensitive
node_709	Central Africa	sensitive
node_3605	Central Africa	sensitive
GQ241127	Europe	sensitive
EU255374	Europe	sensitive
FN557338	West Africa	sensitive
GQ241073	Europe	sensitive
KM050069	Central Africa	sensitive
HM120027	Central Africa	sensitive
node_43	Central Africa	sensitive
node_50	Central Africa	sensitive
HM119878	Central Africa	sensitive
GQ433858	Central Africa	sensitive
KM050430	Central Africa	sensitive
node_55	Central Africa	sensitive
node_58	Central Africa	sensitive
node_59	Central Africa	sensitive
node_76	Central Africa	sensitive
node_102	Central Africa	sensitive
HM120072	Central Africa	sensitive
node_116	Central Africa	sensitive
GQ433830	Central Africa	sensitive
GQ433881	Central Africa	sensitive
node_129	Central Africa	sensitive
node_182	Central Africa	sensitive
GQ427136	Central Africa	sensitive
node_188	Central Africa	sensitive
AY165187	Europe	sensitive
node_199	Central Africa	sensitive
HM120127	Central Africa	sensitive
node_201	Southern Africa ex SA	sensitive
node_702	Central Africa	sensitive
node_708	Central Africa	sensitive
node_718	Central Africa	sensitive
node_3604	Central Africa	sensitive
HM119604	Central Africa	sensitive
node_42	Central Africa	sensitive
FJ653087	Europe	sensitive
node_49	Central Africa	sensitive
KM050380	Central Africa	sensitive
HM120018	Central Africa	sensitive
KM050764	Central Africa	sensitive
node_57	Central Africa	sensitive
HM120026	Central Africa	sensitive
AY228557	South Africa	sensitive
node_67	Central Africa	sensitive
node_75	Central Africa	sensitive
HM120008	Central Africa	sensitive
node_101	Central Africa	sensitive
node_114	Central Africa	sensitive
node_115	Central Africa	sensitive
node_115	Europe	
node_125	South Africa	sensitive
node_128	Central Africa	sensitive
node_132	Central Africa	sensitive
node_181	Central Africa	sensitive
node_181	South Africa	
node_186	Central Africa	sensitive
node_186	South Africa	
node_187	Central Africa	sensitive
node_194	Central Africa	sensitive
node_198	Central Africa	sensitive
FJ445711	Southern Africa ex SA	sensitive
FJ445724	Southern Africa ex SA	sensitive
node_649	Central Africa	sensitive
node_701	Central Africa	sensitive
node_705	Central Africa	sensitive
node_707	Central Africa	sensitive
node_713	Central Africa	sensitive
node_717	Central Africa	sensitive
node_721	East Africa	sensitive
node_3603	Central Africa	sensitive
HM119756	Central Africa	sensitive
GQ433816	Central Africa	sensitive
node_44	Central Africa	sensitive
node_48	Central Africa	sensitive
HM119850	Central Africa	sensitive
HM119856	Central Africa	sensitive
HM120091	Central Africa	sensitive
node_66	Central Africa	sensitive
FJ659642	South America	sensitive
node_74	Central Africa	sensitive
node_97	Central Africa	sensitive
