accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
JX286525	DENV2_JX286525_AsianAmerican_BR_2010	BR	DENV2	AsianAmerican	2010	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
EU687246	DENV2_EU687246_Asian_I_TH_1994	TH	DENV2	AsianI	1994	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF100466	DENV2_AF100466_AsianAmerican_VE_1990	VE	DENV2	AsianAmerican	1990	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
EF105389	DENV2_EF105389_Sylvatic_SN_1999	SN	DENV2	Sylvatic	1999	SEN	Africa	Senegal	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
DQ181801	DENV2_DQ181801_American_TH_1990	TH	DENV2	American	1990	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AY858035	DENV2_AY858035_Cosmopolitan_ID_2004	ID	DENV2	Cosmopolitan	2004	IDN	Asia	Indonesia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210214	DENV2_FM210214_Asian_I_VN_2004	VN	DENV2	AsianI	2004	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210204	DENV2_FM210204_AsianAmerican_VN_2003	VN	DENV2	AsianAmerican	2003	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JX669483	DENV2_JX669483_AsianAmerican_BR_1997	BR	DENV2	AsianAmerican	1997	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
GQ868553	DENV2_GQ868553_AsianAmerican_CO_1999	CO	DENV2	AsianAmerican	1999	COL	Americas	Colombia	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482635	DENV2_EU482635_AsianAmerican_NI_2005	NI	DENV2	AsianAmerican	2005	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ390387	DENV2_FJ390387_Asian_I_VN_2007	VN	DENV2	AsianI	2007	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210241	DENV2_FM210241_AsianAmerican_VN_2004	VN	DENV2	AsianAmerican	2004	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF204178	DENV2_AF204178_Asian_II_CN_1987	CN	DENV2	AsianII	1987	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
AF100469	DENV2_AF100469_American_MX_1992	MX	DENV2	American	1992	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
