node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
AF022434_EU003591	0.06447367383810841	0.08502974272096604	0.05756344036582879	0.21517068792011781	0.026888254171239422	0.10785155905537801	0.2222168378013452	0.12128067450742762	0.0724433133367662	0.027081816282822482
AF022434_JQ922552.2	0.022146921388065274	0.03914107212621826	0.022669418501107083	0.08517571016535398	0.01053128075533303	0.0505813915729738	0.09103314253733442	0.38154158381863673	0.28656689269175856	0.01061258644321891
EF105379_EU003591	0.18366471132481976	0.06775620555954906	0.04595981079503183	0.17178629233153517	0.021699978456436814	0.08591980751302354	0.17733944296988588	0.17249006679926335	0.051759775189838285	0.021623909060616463
AF022434_GU131843.2	0.0017746285013129004	0.009291344566493926	0.0017953573693632882	0.008997845687522458	0.0008366466744161577	0.014483695140441814	0.007034057676422798	0.905179740081779	0.049763569680760636	0.0008431146214870121
AF100465_JQ922552.2	0.0020336064939548426	0.016101112396783687	0.002519663714655623	0.007790155472059165	0.0009705172778584634	0.0200407633970663	0.0235890974560225	0.0118552268836868	0.9141218348128842	0.000978022095028279
EF105379_EF105379.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EF105383_EU003591	0.9958262341674414	0.00022323961781284482	0.00015144216009131946	0.000566051119060009	0.0018078602448142387	0.00028308015903642336	0.0005843363107391531	0.00031703711607042486	0.00016946594602446375	7.125315890990553e-05
AF276619_GU131843.2	0.0008607071828591157	0.0019959259047199135	0.0008032006763130058	0.0033804478064461516	0.00037480967523922346	0.0028774507192435585	0.0031121624212528663	0.9185663598041679	0.06765122684108539	0.00037770896867279127
AF022434_FJ639701.1	0.001056289130615906	0.012167914580639486	0.0010734105093362664	0.007725585461079202	0.0005005810497485256	0.01978426182075902	0.00418081938890189	0.9343108007009597	0.018695885195622056	0.0005044521623381096
0.968272	0.00040888932457037026	0.0030411302956632577	0.0005000180705238656	0.0015661740524670186	0.0001951564378019492	0.0037863195656511455	0.0045086831095327755	0.002262352562521206	0.9835346109747515	0.0001966656065170472
AF100465_HM582115.1	0.004870856655946122	0.23474140926451526	0.012843441478060205	0.018634498374795933	0.0023273145176458967	0.2891070051141483	0.2966873611982448	0.010180619419229868	0.128262173374655	0.0023453206027586543
EF105379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EF105379.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
0.991190	0.9995861788010867	2.3648170159737054e-05	1.6042579336055135e-05	5.9962953904867225e-05	0.00016384704891987364	2.9987175045542398e-05	6.189990834287046e-05	3.293629769841962e-05	1.7949071336100117e-05	7.547994169993042e-06
EF105383_JF260983	0.9875027554323476	0.00047689970402350944	0.00032352534908979447	0.0012092525086738882	0.007509694400513132	0.0006047341077281078	0.0012483116650652416	0.000610866836382985	0.00036174206702201995	0.0001522179291538545
AY037116_GU131843.2	0.00025977125512085484	0.0002768468038034716	0.00013380024425917124	0.0006960470807336652	6.245045707600531e-05	0.0004075075871801741	0.0005175421368349116	0.9908880183266617	0.006695082529433871	6.293357889605359e-05
AF276619_JX475906.1	2.4143639143549347e-05	3.718289220336057e-05	2.4625471497281504e-05	9.27342842951288e-05	1.1497063394513368e-05	4.752682109172843e-05	9.503064929841377e-05	0.0010426405474985394	0.9986130326150502	1.1586016527111574e-05
AF489932_FJ639701.1	0.0011708191161485936	0.1075026531012348	0.0011974478496640005	0.004881274720040634	0.0005590077378806183	0.004179702301617377	0.004624587714517297	0.8720719477150888	0.003249227122541524	0.0005633326212660695
AF022434_KJ734727.1	0.0011398535134214867	0.006955953595487988	0.001162800409590422	0.012456465774484119	0.000542608000983763	0.04055133867712121	0.004505986353741566	0.9221745076484956	0.009963680773057116	0.0005468052536164765
JQ922550_JQ922553.1	0.00017984314641811765	0.0010675466329301692	0.00021084201212339304	0.0006886324530068477	8.586150315695529e-05	0.0013307164838796846	0.0016607012008961809	0.0008281097562320242	0.9938612212442712	8.65255670853768e-05
JQ922552_JQ922552.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AF100465_GQ868600	0.0029760435633614264	0.3541468831933895	0.015134468046082688	0.011385178078721457	0.0014220003377387283	0.1168262835639633	0.4385501926144921	0.00598846827459546	0.05213748006572394	0.0014330022619315542
HM582115_HM582115.1	1.2727741321831972e-07	1.8528695144041002e-06	1.876593943040782e-07	4.86899548426669e-07	6.081673101709618e-08	0.999993406755576	2.5290969876152977e-06	2.456120533958821e-07	1.0417255100845569e-06	6.128727153794323e-08
EF105384_EF105385.1	0.999992228067979	7.060764556490905e-07	4.789988874137244e-07	1.7903714384253602e-06	4.1361874961972084e-07	8.953419711450148e-07	1.8481995458496997e-06	8.784882709655667e-07	5.354688092861798e-07	2.2536789258411132e-07
EF105387_EU003591	0.9999998880653441	1.0134636849251046e-08	6.875288561955277e-09	2.569801439283293e-08	6.3086920443382844e-09	1.2851251103894129e-08	2.652804793090971e-08	1.2618052438822577e-08	7.68586469475321e-09	3.2348077023633154e-09
EF105383_EF105383.3	0.9999999948609474	3.306933568168941e-10	2.2434063974796585e-10	8.385261274373587e-10	1.6904141743185199e-09	4.1933655414862857e-10	8.656102248250836e-10	4.1378090964090555e-10	2.507986243648209e-10	1.0555176126730369e-10
JF260983	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
GQ398259_GU131843.2	0.0006074808251786673	2.6089641487257845e-05	1.626674435909378e-05	6.599694443859356e-05	7.594203734834278e-06	3.4580090828253736e-05	6.279854019257647e-05	0.998979772689888	0.00019176736078144405	7.652959111179123e-06
AY037116_JN851131.2	1.5644936856771964e-05	2.2519779438066717e-05	1.4768980545782797e-05	0.0019440126935490012	6.895243424432975e-06	0.0002225454560399107	5.6997595415948645e-05	0.9976315527956012	7.811392716888567e-05	6.948591960071919e-06
0.856077	1.4471881358112987e-07	2.2262302762124066e-07	1.4763525740406065e-07	8.498954581357154e-07	6.892755946380914e-08	2.844309938653398e-07	5.697254149220217e-07	5.915630589723592e-06	0.99999172695203	6.946085530867275e-08
JX475906_JX475906.1	5.423783483681315e-10	8.185656698215973e-10	5.550669007364062e-10	2.0749753649381064e-09	2.5915255194377897e-10	1.0381378983659101e-09	2.1417106544929347e-09	1.4198595603667522e-09	0.9999999908889954	2.611576386673196e-10
AF489932_M20558	1.5511304328425037e-05	0.9985318991691389	1.5873995103012834e-05	5.990099656273606e-05	7.4112480086467545e-06	3.239173766875248e-05	6.134596424698048e-05	0.001247775181657572	2.042181406734717e-05	7.468589217546915e-06
