node	Location	genotype
root	Caribbean	American
root	Eastern Asia	Sylvatic
root	Oceania	
root	South America	
root	South-eastern Asia	
n0	South-eastern Asia	American
n0		AsianII
n0		Cosmopolitan
n342	Africa	Sylvatic
n342	Caribbean	
n342	Eastern Asia	
n342	South America	
n342	South-eastern Asia	
n1	South-eastern Asia	American
n1		AsianAmerican
n1		AsianI
n1		AsianII
n1		Cosmopolitan
n328	South-eastern Asia	American
n328	Southern Asia	
n343	Africa	Sylvatic
n353	South-eastern Asia	Sylvatic
n2	South-eastern Asia	American
n2		AsianAmerican
n2		AsianI
n2		AsianII
n2		Cosmopolitan
n286	South-eastern Asia	Cosmopolitan
n329	Southern Asia	American
GQ398257	South-eastern Asia	American
n344	Africa	Sylvatic
n349	Africa	Sylvatic
FJ467493	South-eastern Asia	Sylvatic
EF105379	South-eastern Asia	Sylvatic
n3	South-eastern Asia	AsianAmerican
n178	South-eastern Asia	AsianI
n178		AsianII
n287	South-eastern Asia	Cosmopolitan
n313	Southern Asia	Cosmopolitan
n330	Caribbean	American
n341	Oceania	American
n340	Southern Asia	American
JQ922552	Southern Asia	American
n345	Africa	Sylvatic
n347	Africa	Sylvatic
n350	Africa	Sylvatic
n351	Africa	Sylvatic
n4	South-eastern Asia	AsianAmerican
n155	South-eastern Asia	AsianAmerican
n179	Oceania	AsianII
n179	South-eastern Asia	
n183	South-eastern Asia	AsianI
n288	South-eastern Asia	Cosmopolitan
n311	South-eastern Asia	Cosmopolitan
n314	Southern Asia	Cosmopolitan
JX475906	Southern Asia	Cosmopolitan
n331	Caribbean	American
EU056812	Caribbean	American
HM582107	Oceania	American
HM582115	Oceania	American
JQ922553	Southern Asia	American
JQ922550	Southern Asia	American
n346	Africa	Sylvatic
EF105378	Africa	Sylvatic
n348	Africa	Sylvatic
EF457904	Africa	Sylvatic
EF105385	Africa	Sylvatic
EF105384	Africa	Sylvatic
n352	Africa	Sylvatic
EU003591	Africa	Sylvatic
n5	Caribbean	AsianAmerican
JN819418	South-eastern Asia	AsianAmerican
n156	South-eastern Asia	AsianAmerican
DQ181801	South-eastern Asia	American
n180	Oceania	AsianII
KJ734727	Eastern Asia	AsianII
n184	South-eastern Asia	AsianI
n285	South-eastern Asia	AsianI
n289	South-eastern Asia	Cosmopolitan
GQ398263	South-eastern Asia	Cosmopolitan
n312	South-eastern Asia	Cosmopolitan
GQ398259	South-eastern Asia	Cosmopolitan
FJ882602	Southern Asia	Cosmopolitan
n316	Southern Asia	Cosmopolitan
JQ922551	Southern Asia	Cosmopolitan
n332	Central America	American
n332	South America	
GQ868600	Caribbean	American
EF105380	Africa	Sylvatic
EF105383	Africa	Sylvatic
EF105389	Africa	Sylvatic
JF260983	Europe	Sylvatic
EF105388	Africa	Sylvatic
EF105387	Africa	Sylvatic
n6	Caribbean	AsianAmerican
M20558	Caribbean	AsianAmerican
n157	South-eastern Asia	AsianAmerican
AF119661	Eastern Asia	American
n181	Oceania	AsianII
KF704355	Caribbean	AsianII
n185	South-eastern Asia	AsianI
AJ487271	South-eastern Asia	AsianI
M84727	South-eastern Asia	AsianI
M84728	South-eastern Asia	AsianI
n290	South-eastern Asia	Cosmopolitan
n293	South-eastern Asia	Cosmopolitan
GQ398262	South-eastern Asia	Cosmopolitan
GU131843	Africa	Cosmopolitan
n317	Southern Asia	Cosmopolitan
n318	Southern Asia	Cosmopolitan
n333	Central America	American
n336	South America	American
n104	Caribbean	AsianAmerican
n8	Caribbean	AsianAmerican
n102	Caribbean	AsianAmerican
n175	South-eastern Asia	AsianAmerican
n159	South-eastern Asia	AsianAmerican
n167	South-eastern Asia	AsianAmerican
AF204177	Eastern Asia	AsianII
AF204178	Eastern Asia	AsianII
M29095	Oceania	AsianII
DQ181804	South-eastern Asia	AsianI
n187	South-eastern Asia	AsianI
DQ181805	South-eastern Asia	AsianI
n291	South-eastern Asia	Cosmopolitan
AB189123	South-eastern Asia	Cosmopolitan
n294	South-eastern Asia	Cosmopolitan
n309	Eastern Asia	Cosmopolitan
n309	South-eastern Asia	
KF041236	Southern Asia	Cosmopolitan
AF276619	Eastern Asia	Cosmopolitan
JQ955623	Southern Asia	Cosmopolitan
n320	Southern Asia	Cosmopolitan
JQ922549	Southern Asia	Cosmopolitan
n334	Central America	American
n335	Central America	American
n337	South America	American
GQ868592	South America	American
GQ868603	Caribbean	AsianAmerican
n106	Caribbean	AsianAmerican
n140	Caribbean	AsianAmerican
n9	Caribbean	AsianAmerican
n96	Caribbean	AsianAmerican
n103	Caribbean	AsianAmerican
EU482572	Caribbean	AsianAmerican
n176	South-eastern Asia	AsianAmerican
FJ639701	South-eastern Asia	AsianAmerican
n160	South-eastern Asia	AsianAmerican
n166	South-eastern Asia	AsianAmerican
n168	South-eastern Asia	AsianAmerican
n172	South-eastern Asia	AsianAmerican
n284	South-eastern Asia	AsianI
DQ181803	South-eastern Asia	AsianI
DQ181802	South-eastern Asia	AsianI
n191	South-eastern Asia	AsianI
n275	South-eastern Asia	AsianI
n292	Eastern Asia	Cosmopolitan
JN851131	South-eastern Asia	Cosmopolitan
n304	South-eastern Asia	Cosmopolitan
n296	South-eastern Asia	Cosmopolitan
n299	South-eastern Asia	Cosmopolitan
n303	South-eastern Asia	Cosmopolitan
n310	Eastern Asia	Cosmopolitan
AY037116	Oceania	Cosmopolitan
n321	Southern Asia	Cosmopolitan
n322	Southern Asia	Cosmopolitan
JX966379	Central America	American
AF100469	Central America	American
AF100465	South America	American
FJ898449	Central America	American
AF100468	South America	American
AF100467	South America	American
n107	Caribbean	AsianAmerican
n127	South America	AsianAmerican
n141	Caribbean	AsianAmerican
EU482576	Caribbean	AsianAmerican
n10	South America	AsianAmerican
n72	Caribbean	AsianAmerican
n95	Caribbean	AsianAmerican
n97	South America	AsianAmerican
EU482545	Caribbean	AsianAmerican
GQ398284	Caribbean	AsianAmerican
EU529701	Caribbean	AsianAmerican
n177	South-eastern Asia	AsianAmerican
JX649148	South-eastern Asia	AsianAmerican
n161	South-eastern Asia	AsianAmerican
n164	South-eastern Asia	AsianAmerican
FM210204	South-eastern Asia	AsianAmerican
FM210227	South-eastern Asia	AsianAmerican
n169	South-eastern Asia	AsianAmerican
FM210243	South-eastern Asia	AsianAmerican
n173	South-eastern Asia	AsianAmerican
FM210213	South-eastern Asia	AsianAmerican
AF100462	South-eastern Asia	AsianI
EU726767	South-eastern Asia	AsianI
GQ868542	South-eastern Asia	AsianI
DQ181799	South-eastern Asia	AsianI
n194	South-eastern Asia	AsianI
n274	South-eastern Asia	AsianI
AF022434	South-eastern Asia	AsianI
n277	South-eastern Asia	AsianI
n281	South-eastern Asia	AsianI
FJ196852	Eastern Asia	Cosmopolitan
DQ645550	Eastern Asia	Cosmopolitan
n305	South-eastern Asia	Cosmopolitan
AY858036	South-eastern Asia	Cosmopolitan
n297	South-eastern Asia	Cosmopolitan
EU081180	South-eastern Asia	Cosmopolitan
n300	South-eastern Asia	Cosmopolitan
n302	South-eastern Asia	Cosmopolitan
GU370051	South-eastern Asia	Cosmopolitan
