node	American	AsianAmerican	AsianI	AsianII	Cosmopolitan	Sylvatic
root	0.2392977544931861	0.06378885757012401	0.0485240951768669	0.06884979364730358	0.0929147889195841	0.4866247101929353
n0	0.008052305702303593	0.002538298374611679	0.0019961061520627037	0.0024434537486153593	0.003048143469173088	0.9819216925532337
n12	0.4841596144811924	0.09036841158887653	0.062302004091659126	0.12679107984514626	0.19573349061618842	0.04064539937693743
n1	5.7095336882088457e-05	2.0943431879696647e-05	1.6884461614461983e-05	1.8277731172364274e-05	2.1023561760737857e-05	0.9998657754766905
n2	1.6501778155023864e-06	6.078424146746068e-07	4.903450296003611e-07	5.290843611533002e-07	6.071192915853845e-07	0.9999961154310875
n13	0.15123511379319568	0.15537585169187254	0.10566002615972832	0.22462826875636585	0.35106213565898897	0.012038603939848742
n340	0.991993558895457	0.001432622887885227	0.001006169221253174	0.0019260762428770293	0.002919005153556699	0.0007225675989706916
EF105379	0.0	0.0	0.0	0.0	0.0	1.0
FJ467493	0.0	0.0	0.0	0.0	0.0	1.0
n3	1.7663683355401537e-07	7.288814257160754e-08	5.974125518775392e-08	5.9163295725538674e-08	6.342090001157115e-08	0.9999995681495729
n7	1.7607958106661344e-07	7.583018125406566e-08	6.24937476953073e-08	6.000215907584896e-08	6.25860153716767e-08	0.9999995630083155
n14	0.00021070513766977808	0.00020459432990675626	0.00014038390820309045	0.00029008912733302823	0.9991301893729418	2.403812394552971e-05
n56	0.10163932309668623	0.22180625599515166	0.15049473189133766	0.32221085580823217	0.1962199644690045	0.007628868739587667
n341	0.9999999969258174	5.608426036759201e-10	4.0039093266728417e-10	7.24516289120767e-10	1.078079498257029e-09	3.1035325050373187e-10
GQ398257	1.0	0.0	0.0	0.0	0.0	0.0
n4	5.237590018037621e-08	2.269177923086981e-08	1.871489958465874e-08	1.789184839433649e-08	1.858942875834985e-08	0.9999998697361437
n5	1.2683743192487666e-09	5.495189818377266e-10	4.532120286040499e-10	4.3328176842514764e-10	4.5017608708511514e-10	0.9999999968454368
n8	3.669324139181637e-08	1.5898354145378175e-08	1.3112174635467168e-08	1.2534923701177965e-08	1.3023074580011944e-08	0.9999999087382314
n10	6.879973599904897e-08	2.980863714217021e-08	2.4584611208038965e-08	2.3502712309565346e-08	2.4418379855599053e-08	0.9999998288859234
n15	9.7416957658502e-07	9.093305394037853e-07	6.280297698965526e-07	1.270760224424054e-06	0.9999960841965617	1.3351332794692935e-07
n41	7.867417321111546e-08	6.281979044495565e-08	4.4620038607109784e-08	8.218655631014752e-08	0.9999997144230095	1.7276431913146877e-08
n57	0.044724952722396474	0.9533795845146478	0.0004231189369103472	0.0008800923722072732	0.0005449104895611703	4.734096427693959e-05
n232	0.0424373829209506	0.08941609759311288	0.24907449442548651	0.5361650943252266	0.07904972362783085	0.003857207107392403
n342	0.9999991686490289	1.8662573387512112e-07	1.5391936292342018e-07	1.4714482604884976e-07	1.5287666443446766e-07	1.9078438370350817e-07
n351	0.9999987932503482	2.708986391085994e-07	2.234241023975503e-07	2.135862582293226e-07	2.2190227988265103e-07	2.769383722347327e-07
n353	0.9999981328779693	4.19117253984803e-07	3.456552110457645e-07	3.3050365807017163e-07	3.434369888302272e-07	4.284089187260174e-07
JQ922552	1.0	0.0	0.0	0.0	0.0	0.0
EF105384	0.0	0.0	0.0	0.0	0.0	1.0
EF105385	0.0	0.0	0.0	0.0	0.0	1.0
n6	2.091161063588353e-10	9.06060681036804e-11	7.472747417364276e-11	7.14372326938964e-11	7.421881686169399e-11	0.9999999994798944
EU003591	0.0	0.0	0.0	0.0	0.0	1.0
n9	3.030812748025817e-08	1.313203679094267e-08	1.0830674527495953e-08	1.035374703672818e-08	1.0756843992145306e-08	0.9999999246185702
EF457904	0.0	0.0	0.0	0.0	0.0	1.0
n11	4.950564721868545e-09	2.1450028854238087e-09	1.7690956472058522e-09	1.6911933023467402e-09	1.7570352325865334e-09	0.9999999876871082
EF105378	0.0	0.0	0.0	0.0	0.0	1.0
n16	1.2339727754385701e-07	5.702973347478502e-08	4.6143521575859964e-08	4.90146982904319e-08	0.9999996719359575	5.2478811605537785e-08
n39	4.860462340437059e-08	2.1695565233157712e-08	1.7734306947778136e-08	1.7828344589123296e-08	0.9999998729968875	2.1140272400164718e-08
n42	5.0552313887981664e-11	3.0751807877460237e-11	2.31481351295501e-11	3.430305051622438e-11	0.9999999998442644	1.698039307441119e-11
JX475906	0.0	0.0	0.0	0.0	1.0	0.0
n58	4.616736726101491e-05	0.9999513676322558	5.583715699077504e-07	1.0210106189875318e-06	6.822875138201495e-07	2.0333078041809642e-07
n209	0.05371463841792125	0.9459032098057837	8.553251508962726e-05	0.00017400194124870665	0.00010912828655561141	1.3489033401226188e-05
n233	0.00011200978726660342	0.00019000054951971446	0.9984336571218747	0.0010772752949612773	0.0001671996387573582	1.9857607620341764e-05
n336	0.0010876545709587967	0.002139804794110723	0.005883465251132732	0.9888690913636684	0.0018891750235607776	0.00013080899656854454
n343	0.9999994452190131	1.2454076654992635e-07	1.0271524876915694e-07	9.819222912016457e-08	1.0201512793755228e-07	1.2731761440777538e-07
EU056812	1.0	0.0	0.0	0.0	0.0	0.0
HM582107	1.0	0.0	0.0	0.0	0.0	0.0
HM582115	1.0	0.0	0.0	0.0	0.0	0.0
JQ922553	1.0	0.0	0.0	0.0	0.0	0.0
JQ922550	1.0	0.0	0.0	0.0	0.0	0.0
EF105388	0.0	0.0	0.0	0.0	0.0	1.0
EF105387	0.0	0.0	0.0	0.0	0.0	1.0
JF260983	0.0	0.0	0.0	0.0	0.0	1.0
EF105389	0.0	0.0	0.0	0.0	0.0	1.0
EF105380	0.0	0.0	0.0	0.0	0.0	1.0
EF105383	0.0	0.0	0.0	0.0	0.0	1.0
n17	8.131251355833395e-09	3.5239807905575785e-09	2.9062016643142396e-09	2.7793752341620776e-09	0.9999999790579999	3.60119116347608e-09
GQ398263	0.0	0.0	0.0	0.0	1.0	0.0
n40	3.546325722060029e-08	1.5371147540284104e-08	1.2676018792465863e-08	1.2125346725749265e-08	0.9999999086592791	1.570495054582905e-08
GQ398259	0.0	0.0	0.0	0.0	1.0	0.0
FJ882602	0.0	0.0	0.0	0.0	1.0	0.0
n44	1.952683794162549e-09	8.460723273128406e-10	6.977988081513362e-10	6.670773400040526e-10	0.9999999949714379	8.649298663846127e-10
JQ922551	0.0	0.0	0.0	0.0	1.0	0.0
n59	5.0760905765360866e-08	0.9999999447296524	1.0442765195244973e-09	1.5208420484573418e-09	1.1741395369183563e-09	7.701837397407628e-10
JN819418	0.0	1.0	0.0	0.0	0.0	0.0
n210	0.05046532385152405	0.9494930583414544	9.381282255610603e-06	1.793798290393401e-05	1.1668688025977941e-05	2.6298538361610034e-06
DQ181801	1.0	0.0	0.0	0.0	0.0	0.0
n234	2.0400879895430826e-07	2.9705295493416177e-07	0.9999975898975021	1.60218350326311e-06	2.6038203627635867e-07	4.6475204583775084e-08
n335	6.282624588598632e-08	6.745042110313624e-08	0.9999994748957037	3.169215893935005e-07	5.8539199051116525e-08	1.9366840855990135e-08
