Name	Year	Country Code	Country	 Region 	Europe	Continent	Access Number	Subtype
04AREF0337	2004	AR	Argentina	SouthAmerica	SouthAmerica	America	EF120337	C
03AREF0336	2003	AR	Argentina	SouthAmerica	SouthAmerica	America	EF120336	C
05AREF0254	2005	AR	Argentina	SouthAmerica	SouthAmerica	America	EF120254	C
05AREF0244	2005	AR	Argentina	SouthAmerica	SouthAmerica	America	EF120244	C
01ARAY3175	2001	AR	Argentina	SouthAmerica	SouthAmerica	America	AY563175	C
01ARAY3172	2001	AR	Argentina	SouthAmerica	SouthAmerica	America	AY563172	C
02ARAY3171	2002	AR	Argentina	SouthAmerica	SouthAmerica	America	AY563171	C
01ARAY3170	2001	AR	Argentina	SouthAmerica	SouthAmerica	America	AY563170	C
04ATGQ0369	2004	AT	Austria	WesternEurope	Europe	Europe	GQ400369	C
04ATGQ0143	2004	AT	Austria	WesternEurope	Europe	Europe	GQ400143	C
04ATGQ9796	2004	AT	Austria	WesternEurope	Europe	Europe	GQ399796	C
99BEAF8992	1999	BE	Belgium	WesternEurope	Europe	Europe	AF338992	C
99BEAF8990	1999	BE	Belgium	WesternEurope	Europe	Europe	AF338990	C
99BEAF8984	1999	BE	Belgium	WesternEurope	Europe	Europe	AF338984	C
03BEDQ7762	2003	BE	Belgium	WesternEurope	Europe	Europe	DQ877762	C
99BEAY9181	1999	BE	Belgium	WesternEurope	Europe	Europe	AY749181	C
98BEAY9180	1998	BE	Belgium	WesternEurope	Europe	Europe	AY749180	C
02BEAY9179	2002	BE	Belgium	WesternEurope	Europe	Europe	AY749179	C
01BEAY9177	2001	BE	Belgium	WesternEurope	Europe	Europe	AY749177	C
94BEAY9174	1994	BE	Belgium	WesternEurope	Europe	Europe	AY749174	C
96BEAY9172	1996	BE	Belgium	WesternEurope	Europe	Europe	AY749172	C
90BEAY9171	1990	BE	Belgium	WesternEurope	Europe	Europe	AY749171	C
96BEAY9170	1996	BE	Belgium	WesternEurope	Europe	Europe	AY749170	C
00BEAY9169	2000	BE	Belgium	WesternEurope	Europe	Europe	AY749169	C
03BEEU8490	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248490	C
03BEEU8485	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248485	C
03BEEU8453	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248453	C
03BEEU8397	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248397	C
03BEEU8393	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248393	C
03BEEU8376	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248376	C
03BEEU8356	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248356	C
03BEEU8348	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248348	C
03BEEU8333	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248333	C
03BEEU8298	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248298	C
03BEEU8293	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248293	C
03BEEU8586	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248586	C
03BEEU8584	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248584	C
03BEEU8569	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248569	C
03BEEU8558	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248558	C
03BEEU8545	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248545	C
03BEEU8543	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248543	C
03BEEU8524	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248524	C
03BEEU8523	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248523	C
03BEEU8516	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248516	C
03BEEU8493	2003	BE	Belgium	WesternEurope	Europe	Europe	EU248493	C
02BIAM0284	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260284	C
